,time,state,action,reward,rep
0,0,0.75,0.0,0.0,0
1,1,0.80625,0.0,0.0,0
2,2,0.7330177470814077,0.13993394374847412,0.13993394374847412,0
3,3,0.7917285659449392,0.0,0.0,0
4,4,0.8174929086784732,0.02843928337097168,0.02843928337097168,0
5,5,0.6636279708639925,0.22637414932250977,0.22637414932250977,0
6,6,0.7305957370092723,0.0,0.0,0
7,7,0.7896434188312175,0.0,0.0,0
8,8,0.8291466529440454,0.01244509220123291,0.01244509220123291,0
9,9,0.5880275213151323,0.31606781482696533,0.31606781482696533,0
10,10,0.6607028679624665,0.0,0.0,0
11,11,0.7279552444310579,0.0,0.0,0
12,12,0.7873661663919709,0.0,0.0,0
13,13,0.8375923723159255,0.0,0.0,0
14,14,0.5309005853352878,0.38112330436706543,0.38112330436706543,0
15,15,0.6056141314830688,0.0,0.0,0
16,16,0.6772678280523918,0.0,0.0,0
17,17,0.7428406631936681,0.0,0.0,0
18,18,0.800149186883566,0.0,0.0,0
19,19,0.7692146757317875,0.09306997060775757,0.09306997060775757,0
20,20,0.8224717132429761,0.0,0.0,0
21,21,0.6317871899473535,0.2646826505661011,0.2646826505661011,0
22,22,0.7015768309170876,0.0,0.0,0
23,23,0.7643868652883147,0.0,0.0,0
24,24,0.8184167409272203,0.0,0.0,0
25,25,0.657771356753795,0.23348116874694824,0.23348116874694824,0
26,26,0.725303816450215,0.0,0.0,0
27,27,0.7850752735381054,0.0,0.0,0
28,28,0.8356949000632576,0.0,0.0,0
29,29,0.5439061867894239,0.3665039539337158,0.3665039539337158,0
30,30,0.6183278608179076,0.0,0.0,0
31,31,0.6891274160241849,0.0,0.0,0
32,32,0.7533966621765894,0.0,0.0,0
33,33,0.8091337016559185,0.0,0.0,0
34,34,0.7155518718470121,0.1620957851409912,0.1620957851409912,0
35,35,0.7766130890099868,0.0,0.0,0
36,36,0.8286586487064928,0.0,0.0,0
37,37,0.591268425607372,0.31231003999710083,0.31231003999710083,0
38,38,0.6637694479535174,0.0,0.0,0
39,39,0.7307233183286175,0.0,0.0,0
40,40,0.7897533434424469,0.0,0.0,0
41,41,0.8285353005804242,0.013288140296936035,0.013288140296936035,0
42,42,0.5920864478050198,0.31136035919189453,0.31136035919189453,0
43,43,0.6645424736442158,0.0,0.0,0
44,44,0.7314202059543286,0.0,0.0,0
45,45,0.7903536124371454,0.0,0.0,0
46,46,0.8251908113596925,0.01789224147796631,0.01789224147796631,0
47,47,0.6141092865714551,0.2856115698814392,0.2856115698814392,0
48,48,0.6852030077869011,0.0,0.0,0
49,49,0.7499129615589066,0.0,0.0,0
50,50,0.8061760150523636,0.0,0.0,0
51,51,0.7334630104022565,0.13936525583267212,0.13936525583267212,0
