#{"t_start": 1609441792.9551113, "env_id": "conservation-v5"}
r,l,t
-86.334055,101,0.107024
52.42913,101,0.205451
36.362991,101,0.300908
36.362991,101,0.392892
36.362991,101,0.464868
36.362991,101,0.55524
36.362991,101,0.646065
36.362991,101,0.735999
36.362991,101,0.825267
36.362991,101,0.898215
36.362991,101,0.988716
36.362991,101,1.079606
36.362991,101,1.171834
36.362991,101,1.260146
36.362991,101,1.3351
36.362991,101,1.426169
36.362991,101,1.51868
36.362991,101,1.611613
36.362991,101,1.685425
36.362991,101,1.779332
36.362991,101,1.876172
36.362991,101,1.975106
36.362991,101,2.074911
36.362991,101,2.152244
36.362991,101,2.429436
36.362991,101,2.518428
36.362991,101,2.612271
36.362991,101,2.709469
36.362991,101,2.787968
36.362991,101,2.885544
36.362991,101,2.981509
36.362991,101,3.074224
36.362991,101,3.156256
36.362991,101,3.229084
36.362991,101,3.321325
36.362991,101,3.424529
36.362991,101,3.533744
36.362991,101,3.61827
36.362991,101,3.708436
36.362991,101,3.797944
36.362991,101,3.887971
36.362991,101,3.982168
36.362991,101,4.057045
36.362991,101,4.152024
36.362991,101,4.244159
36.362991,101,4.340154
36.362991,101,4.430473
36.362991,101,4.503969
36.362991,101,4.593965
36.362991,101,4.854581
36.362991,101,4.947378
36.362991,101,5.035599
36.362991,101,5.120167
36.362991,101,5.240052
36.362991,101,5.358535
36.362991,101,5.471702
36.362991,101,5.54469
36.362991,101,5.644532
36.362991,101,5.737319
36.362991,101,5.829531
36.362991,101,5.920622
36.362991,101,5.993532
36.362991,101,6.101726
36.362991,101,6.191304
36.362991,101,6.28879
36.362991,101,6.379576
36.362991,101,6.452148
36.362991,101,6.544565
36.362991,101,6.638344
36.362991,101,6.731851
36.362991,101,6.819225
36.362991,101,6.893394
36.362991,101,6.984313
36.362991,101,7.074282
36.362991,101,7.327989
36.362991,101,7.400112
36.362991,101,7.489721
36.362991,101,7.583409
36.362991,101,7.673657
36.362991,101,7.764635
36.362991,101,7.836785
36.362991,101,7.929403
36.362991,101,8.024521
36.362991,101,8.118105
36.362991,101,8.210439
36.362991,101,8.292069
36.362991,101,8.400063
36.362991,101,8.501619
36.362991,101,8.609136
36.362991,101,8.720146
36.362991,101,8.804157
36.362991,101,8.899523
36.362991,101,8.991131
36.362991,101,9.082812
36.362991,101,9.156017
36.362991,101,9.248264
36.362991,101,9.342055
36.362991,101,9.43223
36.362991,101,9.522096
36.362991,101,9.771707
36.362991,101,9.883767
36.362991,101,10.004373
36.362991,101,10.12251
36.362991,101,10.236207
36.362991,101,10.31706
36.362991,101,10.417412
36.362991,101,10.510094
36.362991,101,10.598994
36.362991,101,10.680284
36.362991,101,10.75579
36.362991,101,10.84774
36.362991,101,10.939259
36.362991,101,11.030597
36.362991,101,11.105143
36.362991,101,11.210496
36.362991,101,11.304752
36.362991,101,11.387842
36.362991,101,11.470287
36.362991,101,11.535377
36.362991,101,11.618384
36.362991,101,11.704437
36.362991,101,11.789488
36.362991,101,11.873461
36.362991,101,12.105802
36.362991,101,12.195166
36.362991,101,12.285683
36.362991,101,12.380358
36.362991,101,12.452883
36.362991,101,12.543286
36.362991,101,12.63388
36.362991,101,12.723001
36.362991,101,12.812869
36.362991,101,12.885489
36.362991,101,12.974555
36.362991,101,13.065191
36.362991,101,13.154697
36.362991,101,13.246734
36.362991,101,13.320804
36.362991,101,13.411726
36.362991,101,13.506508
36.362991,101,13.599029
36.362991,101,13.689283
36.362991,101,13.766896
36.362991,101,13.860167
36.362991,101,13.963086
36.362991,101,14.061448
36.362991,101,14.138114
36.362991,101,14.235166
36.362991,101,14.516764
36.362991,101,14.609931
36.362991,101,14.706285
36.362991,101,14.807134
36.362991,101,14.923818
36.362991,101,15.043415
36.362991,101,15.151374
36.362991,101,15.245504
36.362991,101,15.323037
36.362991,101,15.441247
36.362991,101,15.544832
36.362991,101,15.638195
36.362991,101,15.729693
36.362991,101,15.808349
36.362991,101,15.904523
36.362991,101,16.008723
36.362991,101,16.103352
36.362991,101,16.180303
36.362991,101,16.266503
36.362991,101,16.353409
36.362991,101,16.440974
36.362991,101,16.534646
36.362991,101,16.616879
36.362991,101,16.721108
36.362991,101,16.822725
36.362991,101,17.085168
36.362991,101,17.176206
36.362991,101,17.251728
36.362991,101,17.341548
36.362991,101,17.431279
36.362991,101,17.523102
36.362991,101,17.605521
36.362991,101,17.68029
36.362991,101,17.771197
36.362991,101,17.862322
36.362991,101,17.957352
36.362991,101,18.039285
36.362991,101,18.130622
36.362991,101,18.221685
36.362991,101,18.314052
36.362991,101,18.404826
