#{"t_start": 1607536640.6449866, "env_id": "fishing-v1"}
r,l,t
0.75,1,0.03541
0.75,1,0.036427
0.75,1,0.037329
0.75,1,0.038235
0.75,1,0.039229
0.75,1,0.04143
0.75,1,0.042381
0.75,1,0.043279
0.75,1,0.04413
0.75,1,0.044977
0.75,1,0.045897
0.75,1,0.046842
0.75,1,0.047729
0.75,1,0.048574
0.75,1,0.049424
0.75,1,0.050271
0.75,1,0.051145
0.75,1,0.052001
0.75,1,0.052849
0.75,1,0.053687
0.75,1,0.054574
0.75,1,0.05542
0.75,1,0.056264
0.75,1,0.057104
0.75,1,0.05795
0.75,1,0.058923
0.75,1,0.059771
0.75,1,0.06061
0.75,1,0.061449
0.75,1,0.062294
0.75,1,0.063279
0.75,1,0.064123
0.75,1,0.065142
0.75,1,0.065977
0.75,1,0.066834
0.75,1,0.067679
0.75,1,0.068521
0.75,1,0.069358
0.75,1,0.070316
0.75,1,0.07119
0.75,1,0.072036
0.75,1,0.072938
0.75,1,0.07378
0.75,1,0.074648
0.75,1,0.075492
0.75,1,0.076393
0.75,1,0.077235
0.75,1,0.078085
0.75,1,0.078938
0.75,1,0.079775
0.75,1,0.080624
0.75,1,0.081602
0.75,1,0.082436
0.75,1,0.083295
0.75,1,0.084187
0.75,1,0.085024
0.75,1,0.08586
0.75,1,0.086751
0.75,1,0.087601
0.75,1,0.088445
0.75,1,0.089288
0.75,1,0.090127
0.75,1,0.091061
0.75,1,0.091918
0.75,1,0.092753
0.75,1,0.093595
0.75,1,0.094429
0.75,1,0.095275
0.75,1,0.096112
0.75,1,0.096948
0.75,1,0.097784
0.75,1,0.098644
0.75,1,0.099498
0.75,1,0.100346
0.75,1,0.101187
0.75,1,0.102029
0.75,1,0.102879
0.75,1,0.103709
0.75,1,0.10453
0.75,1,0.105362
0.75,1,0.106205
0.75,1,0.107062
0.75,1,0.107898
0.75,1,0.108734
0.75,1,0.10958
0.75,1,0.110415
0.75,1,0.111266
0.75,1,0.112106
0.75,1,0.112953
0.75,1,0.113808
0.75,1,0.114661
0.75,1,0.115499
0.75,1,0.116343
0.75,1,0.117187
0.75,1,0.118025
0.75,1,0.118894
0.75,1,0.119748
0.75,1,0.120594
0.75,1,0.121437
0.75,1,0.122277
0.75,1,0.123136
0.75,1,0.123977
0.75,1,0.124814
0.75,1,0.125651
0.75,1,0.126491
0.75,1,0.127359
0.75,1,0.128208
0.75,1,0.129048
0.75,1,0.129886
0.75,1,0.13074
0.75,1,0.131675
0.75,1,0.132514
0.75,1,0.133365
0.75,1,0.134206
0.75,1,0.135068
0.75,1,0.135905
0.75,1,0.136752
0.75,1,0.137591
0.75,1,0.138435
0.75,1,0.13929
0.75,1,0.14014
0.75,1,0.140983
0.75,1,0.141811
0.75,1,0.142669
0.75,1,0.143511
0.75,1,0.144353
0.75,1,0.145191
0.75,1,0.14605
0.75,1,0.146916
0.75,1,0.147756
0.75,1,0.148593
0.75,1,0.149431
0.75,1,0.150276
0.75,1,0.151131
0.75,1,0.151967
0.75,1,0.152805
0.75,1,0.153642
0.75,1,0.154486
0.75,1,0.155341
0.75,1,0.156181
0.75,1,0.157016
0.75,1,0.157851
0.75,1,0.158705
0.75,1,0.159557
0.75,1,0.160398
0.75,1,0.161234
0.75,1,0.162077
0.75,1,0.162994
0.75,1,0.163844
0.75,1,0.164681
0.75,1,0.165517
0.75,1,0.166352
0.75,1,0.167212
0.75,1,0.168041
0.75,1,0.168872
0.75,1,0.169726
0.75,1,0.170575
0.75,1,0.171418
0.75,1,0.172254
0.75,1,0.173101
0.75,1,0.173938
0.75,1,0.174802
0.75,1,0.17565
0.75,1,0.176483
0.75,1,0.177324
0.75,1,0.178162
0.75,1,0.179016
0.75,1,0.179853
0.75,1,0.180687
0.75,1,0.181527
0.75,1,0.182364
0.75,1,0.18321
0.75,1,0.184043
0.75,1,0.184876
0.75,1,0.185722
0.75,1,0.186574
0.75,1,0.18741
0.75,1,0.18823
0.75,1,0.189051
0.75,1,0.189883
0.75,1,0.190745
0.75,1,0.191582
0.75,1,0.19241
0.75,1,0.193236
0.75,1,0.194063
0.75,1,0.194928
0.75,1,0.195766
0.75,1,0.196594
0.75,1,0.197422
0.75,1,0.198251
0.75,1,0.199101
0.75,1,0.199929
0.75,1,0.200769
0.75,1,0.201603
0.75,1,0.202443
0.75,1,0.203297
0.75,1,0.204137
0.75,1,0.204965
0.75,1,0.205804
0.75,1,0.206656
0.75,1,0.207493
0.75,1,0.208332
0.75,1,0.209179
0.75,1,0.210014
0.75,1,0.210864
0.75,1,0.211704
0.75,1,0.212528
0.75,1,0.213365
0.75,1,0.214197
0.75,1,0.215039
0.75,1,0.215883
0.75,1,0.216718
0.75,1,0.217557
0.75,1,0.21839
0.75,1,0.219253
0.75,1,0.220093
