#{"t_start": 1607536640.6441472, "env_id": "fishing-v1"}
r,l,t
0.75,1,0.281826
0.75,1,0.282661
0.75,1,0.283515
0.75,1,0.284352
0.75,1,0.285182
0.75,1,0.286011
0.75,1,0.286847
0.75,1,0.287912
0.75,1,0.288748
0.75,1,0.289581
0.75,1,0.290415
0.75,1,0.291249
0.75,1,0.292093
0.75,1,0.292923
0.75,1,0.293752
0.75,1,0.294582
0.75,1,0.295431
0.75,1,0.296273
0.75,1,0.297107
0.75,1,0.297939
0.75,1,0.298766
0.75,1,0.299616
0.75,1,0.30045
0.75,1,0.3013
0.75,1,0.302129
0.75,1,0.302966
0.75,1,0.303825
0.75,1,0.304663
0.75,1,0.305495
0.75,1,0.306325
0.75,1,0.307163
0.75,1,0.307997
0.75,1,0.308823
0.75,1,0.30966
0.75,1,0.310495
0.75,1,0.311333
0.75,1,0.312184
0.75,1,0.313017
0.75,1,0.313854
0.75,1,0.314682
0.75,1,0.315538
0.75,1,0.316375
0.75,1,0.317202
0.75,1,0.318039
0.75,1,0.31887
0.75,1,0.319755
0.75,1,0.320588
0.75,1,0.321805
0.75,1,0.322633
0.75,1,0.323494
0.75,1,0.324338
0.75,1,0.32517
0.75,1,0.326
0.75,1,0.326834
0.75,1,0.327688
0.75,1,0.328526
0.75,1,0.32938
0.75,1,0.330216
0.75,1,0.331056
0.75,1,0.331902
0.75,1,0.332736
0.75,1,0.33357
0.75,1,0.33442
0.75,1,0.33526
0.75,1,0.336135
0.75,1,0.33698
0.75,1,0.337825
0.75,1,0.33866
0.75,1,0.339546
0.75,1,0.340384
0.75,1,0.341225
0.75,1,0.342059
0.75,1,0.342899
0.75,1,0.343765
0.75,1,0.34461
0.75,1,0.345446
0.75,1,0.346283
0.75,1,0.347105
0.75,1,0.347958
0.75,1,0.348786
0.75,1,0.349612
0.75,1,0.350437
0.75,1,0.351274
0.75,1,0.352467
0.75,1,0.3533
0.75,1,0.354122
0.75,1,0.354962
0.75,1,0.355812
0.75,1,0.356645
0.75,1,0.357475
0.75,1,0.35831
0.75,1,0.35914
0.75,1,0.35999
0.75,1,0.360822
0.75,1,0.361653
0.75,1,0.362493
0.75,1,0.363327
0.75,1,0.364175
0.75,1,0.365008
0.75,1,0.365843
