,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,0.75,2020-11-20 22:58:42.222820,2020-11-21 00:56:07.763572,0 days 01:57:25.540752,32,10000,True,0.9,0.06123872765503755,big,0.863414950354913,,0.001,,COMPLETE
1,1,6.944858551025391,2020-11-20 22:58:42.236904,2020-11-21 01:01:44.183955,0 days 02:03:01.947051,512,1000000,True,0.9,0.0007141192876071534,medium,0.3311548625356848,,0.02,,COMPLETE
2,2,0.75,2020-11-20 22:58:42.259844,2020-11-21 00:58:43.587977,0 days 02:00:01.328133,32,100000,False,0.9,0.018796712386886044,big,0.8289466425332966,normal,0.02,1000.0,COMPLETE
3,3,0.75,2020-11-20 22:58:42.273274,2020-11-21 00:54:00.146472,0 days 01:55:17.873198,128,1000000,True,0.95,0.00015421994726302636,small,0.9926391656404847,ornstein-uhlenbeck,0.02,,COMPLETE
4,4,7.0498046875,2020-11-21 00:54:00.187757,2020-11-21 02:51:09.579246,0 days 01:57:09.391489,128,100000,False,0.98,0.005558172155804792,small,0.7656319804404523,ornstein-uhlenbeck,0.001,2000.0,COMPLETE
5,5,0.0,2020-11-21 00:56:07.793986,2020-11-21 02:55:28.249734,0 days 01:59:20.455748,64,100000,False,0.95,0.14555235541368772,medium,0.21488156441879858,ornstein-uhlenbeck,0.005,1.0,COMPLETE
6,6,7.314101219177246,2020-11-21 00:58:43.632050,2020-11-21 02:57:53.484902,0 days 01:59:09.852852,64,100000,False,0.9,0.003047197057139802,small,0.3165470084795794,normal,0.01,1.0,COMPLETE
7,7,0.75,2020-11-21 01:01:44.223707,2020-11-21 03:03:12.601659,0 days 02:01:28.377952,256,100000,False,0.98,0.18390630831048282,small,0.9110116882985416,,0.001,2000.0,COMPLETE
8,8,0.0,2020-11-21 02:51:09.624442,2020-11-21 04:45:24.865952,0 days 01:54:15.241510,128,1000000,False,0.99,0.13289090253584887,medium,0.7014115129500422,normal,0.005,2000.0,COMPLETE
9,9,0.0,2020-11-21 02:55:28.280151,2020-11-21 04:49:59.398602,0 days 01:54:31.118451,32,10000,False,0.995,0.29660935403993005,medium,0.7899077586270769,,0.005,1.0,COMPLETE
10,10,7.600240230560303,2020-11-21 02:57:53.522936,2020-11-21 04:55:08.576240,0 days 01:57:15.053304,128,1000000,False,0.995,1.0368131984262752e-05,medium,0.5137878886637627,,0.01,2000.0,COMPLETE
11,11,0.0,2020-11-21 03:03:12.658460,2020-11-21 04:55:14.920661,0 days 01:52:02.262201,256,10000,False,0.98,0.17191114314169706,small,0.06500506938654149,ornstein-uhlenbeck,0.01,2000.0,PRUNED
12,12,,2020-11-21 04:45:24.912311,,,128,1000000,True,0.98,0.08848480975097639,big,0.3801939705030577,normal,0.01,,RUNNING
13,13,,2020-11-21 04:49:59.435095,,,16,1000000,False,0.9,0.10066814706147018,medium,0.309624538328129,normal,0.02,128.0,RUNNING
14,14,0.0,2020-11-21 04:55:09.164189,2020-11-21 05:31:22.824320,0 days 00:36:13.660131,512,100000,False,0.995,0.10256260696540434,medium,0.028221666449628202,,0.02,16.0,PRUNED
15,15,,2020-11-21 04:55:14.933145,,,256,100000,True,0.999,0.005899825082084834,big,0.34904813031174786,ornstein-uhlenbeck,0.02,,RUNNING
16,16,,2020-11-21 05:31:22.837885,,,256,10000,False,0.999,4.571363380910037e-05,big,0.1341226957623074,normal,0.02,1000.0,RUNNING
