,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,148.708586,2020-12-18 05:55:57.411820,2020-12-18 06:11:26.104536,0 days 00:15:28.692716,16,10000,False,0.999,0.07014210392002093,small,0.9221426467189702,,0.02,2000.0,COMPLETE
1,1,448.74339799999996,2020-12-18 06:11:26.139996,2020-12-18 06:27:28.899549,0 days 00:16:02.759553,64,10000,True,0.98,6.967915049791173e-05,big,0.10067639197358891,normal,0.005,,COMPLETE
2,2,148.708586,2020-12-18 06:27:28.918848,2020-12-18 06:43:37.279185,0 days 00:16:08.360337,128,100000,False,0.95,0.009444739202406002,big,0.8723682122207878,,0.005,128.0,COMPLETE
3,3,455.169505,2020-12-18 06:43:37.301531,2020-12-18 06:59:45.584617,0 days 00:16:08.283086,128,10000,False,0.95,0.0002233405913064707,medium,0.6316020257613745,,0.02,128.0,COMPLETE
4,4,148.708586,2020-12-18 06:59:45.603401,2020-12-18 07:14:58.261605,0 days 00:15:12.658204,64,100000,True,0.99,0.06666838146712989,medium,0.9973901730606936,,0.01,,COMPLETE
5,5,148.708586,2020-12-18 07:14:58.280326,2020-12-18 07:29:16.399683,0 days 00:14:18.119357,32,1000000,True,0.98,0.03759855100208191,small,0.4417913799476998,ornstein-uhlenbeck,0.02,,COMPLETE
6,6,148.708586,2020-12-18 07:29:16.419417,2020-12-18 07:43:44.819680,0 days 00:14:28.400263,16,1000000,False,0.995,0.011082484487142406,big,0.7838619557206616,normal,0.01,128.0,COMPLETE
7,7,435.030479,2020-12-18 07:43:44.850187,2020-12-18 07:58:02.865556,0 days 00:14:18.015369,100,1000000,False,0.95,0.0039543889243158275,small,0.9546309267080829,ornstein-uhlenbeck,0.01,128.0,COMPLETE
8,8,148.708586,2020-12-18 07:58:02.884270,2020-12-18 08:12:43.834740,0 days 00:14:40.950470,256,100000,True,0.999,0.01568613672059239,medium,0.019873922691148183,,0.02,,COMPLETE
9,9,457.3810240000001,2020-12-18 08:12:43.865604,2020-12-18 08:27:22.206574,0 days 00:14:38.340970,512,10000,False,0.98,0.0005758508478650271,small,0.28106868922851247,,0.02,128.0,COMPLETE
10,10,456.566957,2020-12-18 08:27:22.225581,2020-12-18 08:41:47.940230,0 days 00:14:25.714649,100,100000,True,0.9,0.0033473135615998384,small,0.7422675233494965,,0.01,,COMPLETE
11,11,148.708586,2020-12-18 08:41:47.970072,2020-12-18 08:56:20.774085,0 days 00:14:32.804013,16,10000,True,0.999,0.5522201817075781,big,0.10299057843616244,,0.01,,COMPLETE
12,12,148.708586,2020-12-18 08:56:20.793241,2020-12-18 09:10:50.933048,0 days 00:14:30.139807,100,10000,False,0.95,0.042675823757661296,small,0.6301736055560032,ornstein-uhlenbeck,0.001,1000.0,COMPLETE
13,13,148.708586,2020-12-18 09:10:50.965152,2020-12-18 09:25:24.768738,0 days 00:14:33.803586,512,100000,True,0.99,0.001516447000026948,small,0.9835337712375752,,0.005,,COMPLETE
14,14,148.708586,2020-12-18 09:25:24.789298,2020-12-18 09:40:12.343804,0 days 00:14:47.554506,64,10000,True,0.9,0.40704961524057537,medium,0.5410246978258405,normal,0.02,,COMPLETE
15,15,148.708586,2020-12-18 09:40:12.362449,2020-12-18 09:54:55.873090,0 days 00:14:43.510641,512,1000000,False,0.9999,0.13219129088722786,big,0.7053603196537429,normal,0.02,2000.0,COMPLETE
16,16,148.708586,2020-12-18 09:54:55.892761,2020-12-18 10:09:21.908108,0 days 00:14:26.015347,64,100000,True,0.9999,4.077143119094182e-05,small,0.9570950634290895,ornstein-uhlenbeck,0.01,,COMPLETE
17,17,450.86112,2020-12-18 10:09:21.927236,2020-12-18 10:23:47.397610,0 days 00:14:25.470374,64,100000,True,0.95,0.0007435166678803291,small,0.18898137977371188,ornstein-uhlenbeck,0.01,,COMPLETE
18,18,148.708586,2020-12-18 10:23:47.452970,2020-12-18 10:37:54.478810,0 days 00:14:07.025840,100,10000,False,0.95,0.1983542177557464,small,0.43856533359390815,normal,0.01,1000.0,COMPLETE
19,19,148.708586,2020-12-18 10:37:54.497811,2020-12-18 10:50:17.532688,0 days 00:12:23.034877,64,1000000,True,0.999,0.7442004447563948,small,0.31286254481511266,,0.02,,COMPLETE
20,20,446.125759,2020-12-18 19:10:56.742898,2020-12-18 19:42:55.563526,0 days 00:31:58.820628,100,100000,False,0.999,0.014040694453998413,big,0.5071495055394666,,0.01,128.0,COMPLETE
21,21,1178.043049,2020-12-18 19:42:55.596993,2020-12-18 20:14:34.781980,0 days 00:31:39.184987,512,10000,True,0.95,0.001953602702911687,small,0.5025382168673006,normal,0.001,,COMPLETE
22,22,1193.452435,2020-12-18 20:14:34.800722,2020-12-18 20:43:56.284798,0 days 00:29:21.484076,32,1000000,True,0.9,0.007015086096509535,small,0.7277079026166643,,0.02,,COMPLETE
23,23,446.125759,2020-12-18 20:43:56.299107,2020-12-18 21:14:38.557206,0 days 00:30:42.258099,64,10000,False,0.99,1.9199291175530322e-05,medium,0.8327086229408739,,0.005,1.0,COMPLETE
24,24,446.125759,2020-12-18 21:14:38.575702,2020-12-18 21:43:34.453472,0 days 00:28:55.877770,128,10000,True,0.999,2.3603022396224243e-05,small,0.2726512696538448,,0.005,,COMPLETE
25,25,1188.711086,2020-12-18 21:43:34.470558,2020-12-18 22:13:36.611226,0 days 00:30:02.140668,64,100000,True,0.9,0.0010309600194053866,big,0.5295125907675146,normal,0.005,,COMPLETE
26,26,446.125759,2020-12-18 22:13:36.643828,2020-12-18 22:43:16.261396,0 days 00:29:39.617568,256,100000,True,0.98,0.03471341498048997,medium,0.06632559954059525,normal,0.02,,COMPLETE
27,27,446.125759,2020-12-18 22:43:16.280501,2020-12-18 23:11:52.312187,0 days 00:28:36.031686,100,10000,False,0.95,0.007998009306260557,small,0.03301879952427855,,0.005,16.0,COMPLETE
28,28,446.125759,2020-12-18 23:11:52.331170,2020-12-18 23:41:06.309456,0 days 00:29:13.978286,512,1000000,True,0.9999,0.007054798556790468,medium,0.940486344451951,ornstein-uhlenbeck,0.01,,COMPLETE
29,29,446.125759,2020-12-18 23:41:06.328462,2020-12-19 00:08:53.024584,0 days 00:27:46.696122,512,10000,False,0.995,0.42064714739224757,small,0.4480334743535007,normal,0.01,128.0,COMPLETE
