,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
29,29,100.838625,2020-12-18 11:50:17.090006,2020-12-18 12:02:00.313480,0 days 00:11:43.223474,64,100000,False,0.9,0.024632429540398994,small,0.41671617955663054,,0.02,256.0,COMPLETE
30,30,100.838625,2020-12-18 12:02:00.332569,2020-12-18 12:13:50.697511,0 days 00:11:50.364942,16,10000,True,0.995,0.22686374048512697,medium,0.2884505702696234,normal,0.02,,COMPLETE
31,31,100.838625,2020-12-18 12:13:50.728662,2020-12-18 12:25:40.917208,0 days 00:11:50.188546,100,100000,True,0.95,0.026095454984601803,small,0.13234677881340084,ornstein-uhlenbeck,0.005,,COMPLETE
32,32,100.838625,2020-12-18 12:25:40.948659,2020-12-18 12:37:34.900874,0 days 00:11:53.952215,256,10000,True,0.95,0.0002847779943898696,big,0.5251198663986861,normal,0.005,,COMPLETE
33,33,100.838625,2020-12-18 12:37:34.932628,2020-12-18 12:49:17.561805,0 days 00:11:42.629177,128,100000,False,0.95,0.018140909746422584,small,0.1431509710170228,ornstein-uhlenbeck,0.001,1000.0,COMPLETE
34,34,100.838625,2020-12-18 12:49:17.580577,2020-12-18 13:01:10.704819,0 days 00:11:53.124242,16,1000000,True,0.99,0.18224734928442515,medium,0.5495570952586635,,0.01,,COMPLETE
35,35,100.838625,2020-12-18 13:01:10.723637,2020-12-18 13:13:02.845474,0 days 00:11:52.121837,512,10000,False,0.995,0.0007169393903478855,small,0.5551331715559537,ornstein-uhlenbeck,0.001,16.0,COMPLETE
36,36,-32.804044,2020-12-18 13:13:02.864437,2020-12-18 13:16:34.728449,0 days 00:03:31.864012,256,10000,False,0.99,0.12932030305616699,small,0.012589143402931269,,0.01,128.0,PRUNED
37,37,100.838625,2020-12-18 13:16:34.735107,2020-12-18 13:28:29.873465,0 days 00:11:55.138358,32,100000,True,0.9,9.079333155729416e-05,medium,0.6707596011978663,normal,0.005,,COMPLETE
38,38,100.838625,2020-12-18 13:28:29.906776,2020-12-18 13:40:25.363567,0 days 00:11:55.456791,512,100000,False,0.98,0.011041964439289986,medium,0.6857572424733722,ornstein-uhlenbeck,0.005,256.0,COMPLETE
39,39,100.838625,2020-12-18 13:40:25.383600,2020-12-18 13:52:24.086387,0 days 00:11:58.702787,512,1000000,False,0.99,0.003666824090432431,small,0.5560574632691789,normal,0.005,16.0,COMPLETE
40,40,100.838625,2020-12-18 13:52:24.104644,2020-12-18 14:04:23.926854,0 days 00:11:59.822210,256,1000000,False,0.995,0.0005455408764576554,medium,0.5898904536682785,,0.001,1000.0,COMPLETE
41,41,100.838625,2020-12-18 14:04:23.959236,2020-12-18 14:16:11.588557,0 days 00:11:47.629321,16,100000,False,0.9,0.08564955763486762,small,0.9718029897930944,normal,0.001,16.0,COMPLETE
42,42,100.838625,2020-12-18 14:16:11.608408,2020-12-18 14:28:09.867950,0 days 00:11:58.259542,512,1000000,True,0.9,0.0140862530333766,medium,0.6843069803735856,ornstein-uhlenbeck,0.005,,COMPLETE
43,43,-32.804044,2020-12-18 14:28:09.899956,2020-12-18 14:31:35.797684,0 days 00:03:25.897728,128,100000,False,0.995,0.0021987371829203114,big,0.12252632933837249,normal,0.005,2000.0,PRUNED
44,44,100.838625,2020-12-18 14:31:35.804943,2020-12-18 14:43:30.136658,0 days 00:11:54.331715,16,100000,False,0.9999,0.0006131995422609796,big,0.7256443196496046,,0.01,128.0,COMPLETE
45,45,100.838625,2020-12-18 14:43:30.168736,2020-12-18 14:55:36.594944,0 days 00:12:06.426208,128,100000,False,0.95,1.82236925645725e-05,medium,0.9117488011494079,normal,0.01,1000.0,COMPLETE
46,46,-32.804044,2020-12-18 14:55:36.614257,2020-12-18 14:59:13.290755,0 days 00:03:36.676498,256,10000,True,0.9999,0.014494501778730403,big,0.0732044541193142,ornstein-uhlenbeck,0.001,,PRUNED
47,47,100.838625,2020-12-18 14:59:13.299626,2020-12-18 15:10:57.370732,0 days 00:11:44.071106,256,100000,False,0.9,0.08564910334962085,small,0.37730540585477157,ornstein-uhlenbeck,0.001,1000.0,COMPLETE
48,48,-32.804044,2020-12-18 15:10:57.389339,2020-12-18 15:14:14.950687,0 days 00:03:17.561348,16,10000,False,0.9999,0.08768832614706429,small,0.17055954468142587,normal,0.005,2000.0,PRUNED
49,49,100.838625,2020-12-18 15:14:14.958803,2020-12-18 15:26:10.917980,0 days 00:11:55.959177,512,100000,True,0.995,0.001315979209606391,small,0.3485817831732708,normal,0.02,,COMPLETE
50,50,446.125759,2020-12-18 18:49:07.206897,2020-12-18 19:35:57.736054,0 days 00:46:50.529157,100,1000000,False,0.95,2.7709209027584855e-05,small,0.5422293554665685,normal,0.01,1000.0,COMPLETE
51,51,446.125759,2020-12-18 19:35:57.760509,2020-12-18 20:23:57.137537,0 days 00:47:59.377028,512,1000000,False,0.9,2.6258057361662212e-05,big,0.05655869058246943,ornstein-uhlenbeck,0.005,2000.0,COMPLETE
52,52,446.125759,2020-12-18 20:23:57.170595,2020-12-18 21:10:52.138487,0 days 00:46:54.967892,64,1000000,True,0.98,0.0001085282771796398,medium,0.14607778480967415,ornstein-uhlenbeck,0.001,,COMPLETE
53,53,446.125759,2020-12-18 21:10:52.174185,2020-12-18 21:54:46.443732,0 days 00:43:54.269547,32,100000,True,0.99,7.777955654929645e-05,medium,0.6377941526373025,normal,0.005,,COMPLETE
54,54,446.125759,2020-12-18 21:54:46.462820,2020-12-18 22:39:31.286650,0 days 00:44:44.823830,128,1000000,False,0.999,0.017057703533357577,medium,0.09377401371965788,,0.005,256.0,COMPLETE
55,55,446.125759,2020-12-18 22:39:31.306182,2020-12-18 23:24:23.015018,0 days 00:44:51.708836,100,100000,True,0.99,0.02583875813004845,big,0.7314299812308305,ornstein-uhlenbeck,0.02,,COMPLETE
56,56,446.125759,2020-12-18 23:24:23.047097,2020-12-19 00:08:20.191693,0 days 00:43:57.144596,512,100000,False,0.995,0.17163677123497093,medium,0.5935465151699921,ornstein-uhlenbeck,0.02,256.0,COMPLETE
57,57,446.125759,2020-12-19 00:08:20.210811,2020-12-19 00:51:59.313978,0 days 00:43:39.103167,32,10000,False,0.99,0.5074183978238787,big,0.5969136755002408,normal,0.005,2000.0,COMPLETE
58,58,446.125759,2020-12-19 00:51:59.332653,2020-12-19 01:35:25.904594,0 days 00:43:26.571941,512,100000,True,0.98,0.27052393997969143,medium,0.7257277892809253,ornstein-uhlenbeck,0.01,,COMPLETE
59,59,446.125759,2020-12-19 01:35:25.937629,2020-12-19 02:16:56.234971,0 days 00:41:30.297342,16,10000,False,0.99,0.007148238140800527,big,0.623560759270312,ornstein-uhlenbeck,0.005,1000.0,COMPLETE
60,60,446.125759,2020-12-19 05:19:55.110425,2020-12-19 06:05:02.162083,0 days 00:45:07.051658,512,100000,False,0.995,1.565853816248941e-05,big,0.9821703645218302,ornstein-uhlenbeck,0.001,128.0,COMPLETE
61,61,446.125759,2020-12-19 06:05:02.193070,2020-12-19 06:50:21.377222,0 days 00:45:19.184152,128,100000,True,0.95,1.0398908339707054e-05,small,0.942640144000478,normal,0.005,,COMPLETE
62,62,446.125759,2020-12-19 06:50:21.410276,2020-12-19 07:35:47.043551,0 days 00:45:25.633275,64,100000,False,0.999,0.026583437764364875,medium,0.6110215179302251,normal,0.02,128.0,COMPLETE
63,63,446.125759,2020-12-19 07:35:47.072974,2020-12-19 08:15:51.691272,0 days 00:40:04.618298,100,1000000,True,0.95,0.008505952234261305,big,0.4726395242278051,,0.005,,COMPLETE
64,64,446.125759,2020-12-19 08:15:51.718511,2020-12-19 08:58:01.148616,0 days 00:42:09.430105,128,1000000,True,0.95,1.0489386631614774e-05,small,0.6049160137397059,ornstein-uhlenbeck,0.02,,COMPLETE
65,65,446.125759,2020-12-19 08:58:01.178994,2020-12-19 09:40:43.327355,0 days 00:42:42.148361,128,10000,False,0.99,0.06718170848997917,small,0.17833260822519714,ornstein-uhlenbeck,0.01,1.0,COMPLETE
66,66,446.125759,2020-12-19 09:40:43.349035,2020-12-19 10:22:18.415256,0 days 00:41:35.066221,16,10000,True,0.995,0.00018827073827675214,big,0.2569971486052497,ornstein-uhlenbeck,0.001,,COMPLETE
67,67,446.125759,2020-12-19 10:22:18.435204,2020-12-19 11:04:42.782591,0 days 00:42:24.347387,100,10000,True,0.999,0.037215884944079965,big,0.11147338513230043,normal,0.02,,COMPLETE
68,68,446.125759,2020-12-19 11:04:42.806210,2020-12-19 11:47:30.491588,0 days 00:42:47.685378,128,100000,True,0.95,0.022282174747442107,big,0.906477043770958,,0.001,,COMPLETE
69,69,446.125759,2020-12-19 11:47:30.514078,2020-12-19 12:29:38.248410,0 days 00:42:07.734332,256,100000,True,0.99,0.0007738053743661374,big,0.3743905570219197,,0.01,,COMPLETE
70,70,446.125759,2020-12-19 12:29:38.271733,2020-12-19 13:12:36.073612,0 days 00:42:57.801879,100,1000000,True,0.98,0.001937388603209511,big,0.728753669094589,,0.001,,COMPLETE
71,71,446.125759,2020-12-19 13:12:36.106009,2020-12-19 13:55:36.174052,0 days 00:43:00.068043,100,100000,False,0.98,0.0004623869074201618,medium,0.778871263914315,,0.01,256.0,COMPLETE
72,72,446.125759,2020-12-19 13:55:36.196059,2020-12-19 14:37:26.314468,0 days 00:41:50.118409,256,1000000,False,0.99,3.126414610499384e-05,small,0.3924237636193745,,0.001,1000.0,COMPLETE
