,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,-192.13123560000002,2021-01-12 19:59:07.913892,2021-01-12 20:33:43.745890,0 days 00:34:35.831998,512,1000000,True,0.99,0.003618906163503749,big,0.7601733119629386,ornstein-uhlenbeck,,COMPLETE
1,1,-1464.3861929999998,2021-01-12 20:33:43.766959,2021-01-12 21:08:58.782558,0 days 00:35:15.015599,256,10000,False,0.999,1.4437984813374317e-05,medium,0.2958430136589303,normal,16.0,COMPLETE
2,2,-1267.8618114,2021-01-12 21:08:58.800517,2021-01-12 21:40:59.780724,0 days 00:32:00.980207,64,100000,True,0.999,0.15386026458973034,big,0.9167134049847906,normal,,COMPLETE
3,3,-754.3941950000001,2021-01-12 21:40:59.801228,2021-01-12 22:14:24.169272,0 days 00:33:24.368044,64,100000,True,0.995,4.4006641133046716e-05,small,0.7236971965768707,,,COMPLETE
4,4,-192.1845106,2021-01-12 22:14:24.189839,2021-01-12 22:48:17.353573,0 days 00:33:53.163734,128,100000,False,0.98,0.0013005131497681726,medium,0.2978983688765684,normal,256.0,COMPLETE
5,5,-187.7064862,2021-01-12 22:48:17.372837,2021-01-12 23:23:01.804980,0 days 00:34:44.432143,128,1000000,False,0.99,0.00011738301836529928,medium,0.402637016195228,,128.0,COMPLETE
6,6,-183.3629934,2021-01-12 23:23:01.823957,2021-01-12 23:56:37.125190,0 days 00:33:35.301233,32,100000,True,0.99,0.00014815342174512433,small,0.1668274718295859,,,COMPLETE
7,7,-197.713684,2021-01-12 23:56:37.144290,2021-01-13 00:30:56.375224,0 days 00:34:19.230934,512,10000,True,0.995,0.0008255805087255111,small,0.05073926716996991,normal,,COMPLETE
8,8,-203.8374602,2021-01-13 00:30:56.394603,2021-01-13 01:04:29.221820,0 days 00:33:32.827217,64,10000,True,0.95,0.0002599446966417582,small,0.5726442285548847,normal,,COMPLETE
9,9,-1267.8618114,2021-01-13 01:04:29.242730,2021-01-13 01:39:28.282241,0 days 00:34:59.039511,100,100000,True,0.999,0.0219129578367303,medium,0.6587275142718436,ornstein-uhlenbeck,,COMPLETE
10,10,-840.182372,2021-01-13 01:39:28.300546,2021-01-13 01:48:33.772561,0 days 00:09:05.472015,32,100000,False,0.99,6.447819589147241e-05,small,0.0,,2000.0,PRUNED
11,11,-427.40179900000004,2021-01-13 01:48:33.780389,2021-01-13 01:57:49.293292,0 days 00:09:15.512903,64,10000,True,0.98,3.702788516422119e-05,small,0.7823934322330135,normal,,PRUNED
12,12,-202.65103459999997,2021-01-13 01:57:49.302195,2021-01-13 02:31:18.905888,0 days 00:33:29.603693,32,10000,False,0.95,0.00017608424728925715,small,0.47871204242091764,,1000.0,COMPLETE
13,13,-1426.3869223999998,2021-01-13 02:31:18.940404,2021-01-13 02:40:32.148321,0 days 00:09:13.207917,16,1000000,False,0.95,1e-05,small,0.0,,128.0,PRUNED
14,14,-1362.8815948,2021-01-13 02:40:32.156613,2021-01-13 02:49:42.949422,0 days 00:09:10.792809,16,100000,False,0.99,1e-05,small,0.0,,1000.0,PRUNED
15,15,-952.5100374000001,2021-01-13 02:49:42.957141,2021-01-13 02:59:07.265905,0 days 00:09:24.308764,16,1000000,True,0.98,2.6179632411154814e-05,big,0.9999999999999999,,,PRUNED
16,16,-1766.1985568,2021-01-13 02:59:07.272967,2021-01-13 03:08:30.023758,0 days 00:09:22.750791,16,100000,False,0.99,1e-05,small,0.0,,16.0,PRUNED
17,17,-1132.4249908000002,2021-01-13 03:08:30.031668,2021-01-13 03:18:01.056388,0 days 00:09:31.024720,16,1000000,False,0.95,1e-05,medium,0.0,,16.0,PRUNED
18,18,-1396.6615212000002,2021-01-13 03:18:01.062813,2021-01-13 03:27:17.168552,0 days 00:09:16.105739,16,100000,True,0.99,0.01939705292542915,small,0.9989437828365452,,,PRUNED
19,19,-1396.6615212000002,2021-01-13 03:27:17.175094,2021-01-13 03:36:34.259106,0 days 00:09:17.084012,32,1000000,True,0.98,0.6189889236991676,small,0.9832539437012062,,,PRUNED
