,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,197.069035,2020-12-18 05:55:57.444545,2020-12-18 05:59:45.060467,0 days 00:03:47.615922,tanh,5.933643129375291e-06,0.9,0.995,0.30856794752373773,6.0631242076836945e-05,linear,5.0,512,small,True,True,False,0.6913817336535105,COMPLETE
1,1,426.237114,2020-12-18 05:55:57.461981,2020-12-18 05:59:48.540961,0 days 00:03:51.078980,relu,0.005650284874638619,0.99,0.999,-1.5651497793025784,0.001145178448708412,linear,0.7,1024,small,True,False,True,0.7451418854751924,COMPLETE
2,2,151.511363,2020-12-18 05:55:57.530430,2020-12-18 05:59:57.609373,0 days 00:04:00.078943,relu,4.1414167614229625e-05,1.0,0.99,-1.5872656564548642,1.8241014855262816e-05,constant,0.7,2048,medium,False,False,False,0.8986396434111288,COMPLETE
3,3,148.708586,2020-12-18 05:55:57.516661,2020-12-18 06:02:05.819049,0 days 00:06:08.302388,relu,0.0021375645936348017,0.98,0.999,-0.2021709995664045,0.0017198888733619233,constant,1.0,8,medium,True,False,False,0.19695777158441508,COMPLETE
4,4,148.708586,2020-12-18 05:59:45.111304,2020-12-18 06:03:31.933969,0 days 00:03:46.822665,relu,0.0017630357517931803,1.0,0.98,-0.8148863742394106,0.18354915960222454,constant,0.5,256,small,False,True,True,0.3249088340326477,COMPLETE
5,5,204.476332,2020-12-18 05:59:48.571216,2020-12-18 06:03:40.428317,0 days 00:03:51.857101,relu,5.338180955940971e-05,0.9,0.98,-0.21677455616994434,2.4618764788257298e-05,constant,0.3,128,small,True,True,True,0.19776138087295358,COMPLETE
6,6,148.708586,2020-12-18 05:59:57.639411,2020-12-18 06:03:55.784305,0 days 00:03:58.144894,relu,2.0742520924332064e-05,0.9,0.9,0.056099757369265646,0.0004744390150825814,constant,0.7,64,small,False,True,True,0.058579262709711255,COMPLETE
7,7,434.665926,2020-12-18 06:02:05.851002,2020-12-18 06:06:58.555349,0 days 00:04:52.704347,tanh,0.0022134982155640566,0.95,0.9999,-2.2574373868585687,1.469243414761579e-05,linear,0.5,16,medium,False,False,False,0.25522940241198333,COMPLETE
8,8,148.708586,2020-12-18 06:03:31.975774,2020-12-18 06:07:14.607054,0 days 00:03:42.631280,tanh,3.0648655549675076e-06,0.99,0.99,-0.7863123493117277,0.0013971408960936076,constant,5.0,512,small,True,True,False,0.16382474543690984,COMPLETE
9,9,148.708586,2020-12-18 06:03:40.464618,2020-12-18 06:07:50.611654,0 days 00:04:10.147036,relu,0.008435145515972305,0.9,0.98,-0.02273793419790504,0.0061733691849047475,linear,2.0,32,small,True,True,True,0.002989496116522772,COMPLETE
