,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
24,24,45.2882714,2021-01-04 22:36:06.831570,2021-01-04 22:46:33.286149,0 days 00:10:26.454579,relu,2.401983742083264e-07,0.9,0.995,-0.7315363337794797,0.06830539178403296,constant,5.0,1024,small,True,True,False,0.18029253434298292,COMPLETE
25,25,45.717739200000004,2021-01-04 22:38:45.364430,2021-01-04 22:49:07.292480,0 days 00:10:21.928050,relu,2.8586004529004457e-07,0.9,0.995,-0.9676232622264722,0.08835787710275618,constant,5.0,1024,small,True,False,False,0.23546417793567034,COMPLETE
26,26,47.13777220000001,2021-01-04 22:42:22.531640,2021-01-04 22:52:52.793149,0 days 00:10:30.261509,relu,6.22670581813011e-07,0.9,0.995,-1.0048026794174818,0.1332687363463721,constant,5.0,256,small,True,False,False,0.1856811181304601,COMPLETE
27,27,44.8090626,2021-01-04 22:42:31.560891,2021-01-04 22:52:57.437470,0 days 00:10:25.876579,relu,2.43745858559448e-07,0.98,0.995,-0.6979134123027859,0.08903053528665535,constant,5.0,1024,medium,True,False,False,0.13964286015273886,COMPLETE
28,28,47.5538934,2021-01-04 22:46:33.327392,2021-01-04 22:57:01.047487,0 days 00:10:27.720095,relu,1.804834764799954e-06,0.98,0.99,-0.793961834388677,0.12969233624836388,constant,5.0,1024,small,True,True,False,0.26185787281254713,COMPLETE
29,29,42.8915356,2021-01-04 22:49:07.336965,2021-01-04 22:59:29.025117,0 days 00:10:21.688152,relu,2.7126177084651536e-06,0.98,0.99,-1.6100348447598298,0.1235656288716667,constant,5.0,256,small,True,True,False,0.33736957663264067,COMPLETE
30,30,43.19758840000001,2021-01-04 22:52:52.833652,2021-01-04 23:03:02.089360,0 days 00:10:09.255708,relu,3.055790853001742e-06,0.98,0.99,-1.4188049966925655,0.023432967576635273,constant,5.0,1024,small,True,True,False,0.3473139277559399,COMPLETE
31,31,47.221619399999994,2021-01-04 22:52:57.475316,2021-01-04 23:03:05.160233,0 days 00:10:07.684917,relu,2.7719299390802788e-06,0.9,0.95,-1.6552932315921673,0.0248360785732041,constant,2.0,1024,small,True,True,False,0.28582131331425303,COMPLETE
32,32,38.7764926,2021-01-04 22:57:01.085533,2021-01-04 23:06:54.514818,0 days 00:09:53.429285,relu,2.410936856043418e-06,0.98,0.99,-1.592568961158919,0.028718683512775553,constant,0.7,1024,small,True,True,False,0.3448620682830306,COMPLETE
33,33,46.78922680000001,2021-01-04 22:59:29.067639,2021-01-04 23:09:23.397583,0 days 00:09:54.329944,relu,4.7560441560051325e-06,0.98,0.99,-1.6478969733014301,0.02465027245586706,constant,0.9,1024,small,True,True,False,0.11883127706189721,COMPLETE
34,34,41.7256196,2021-01-04 23:03:02.191178,2021-01-04 23:12:55.703714,0 days 00:09:53.512536,relu,4.9787326613314064e-08,0.98,0.99,-0.36853439027737817,0.005146158640226382,constant,1.0,1024,small,True,True,True,0.09807529470142884,COMPLETE
35,35,47.4167602,2021-01-04 23:03:05.197906,2021-01-04 23:12:59.371464,0 days 00:09:54.173558,relu,9.52304023764225e-08,0.98,0.99,-0.41546989542314017,0.005119477551798539,constant,1.0,2048,small,True,True,True,0.0881775617730386,COMPLETE
36,36,40.567327999999996,2021-01-04 23:06:54.565654,2021-01-04 23:17:42.486093,0 days 00:10:47.920439,relu,8.890954738421271e-08,0.95,0.99,-0.32257318901723964,0.005722490646702881,constant,0.9,32,small,True,True,True,0.4593835489722293,COMPLETE
37,37,-4242.3141646,2021-01-04 23:09:23.439751,2021-01-04 23:19:04.183686,0 days 00:09:40.743935,relu,8.909646968854743e-08,0.8,0.98,-0.4732942141960417,0.2898223378257595,constant,0.8,2048,small,True,True,True,0.4929777774740363,COMPLETE
38,38,46.0917152,2021-01-04 23:12:55.753358,2021-01-04 23:27:43.606930,0 days 00:14:47.853572,relu,7.842678290721078e-08,0.9,0.95,-1.1756019740996906,0.21316154795372827,constant,5.0,8,small,True,True,False,0.46295449063824223,COMPLETE
39,39,-4243.403487400001,2021-01-04 23:12:59.422489,2021-01-04 23:22:35.614817,0 days 00:09:36.192328,relu,5.740279039196155e-08,1.0,0.99,0.4381715511119201,0.2972869774266436,constant,1.0,2048,small,True,True,True,0.4605534392133314,COMPLETE
40,40,41.5056402,2021-01-04 23:17:42.520438,2021-01-04 23:20:37.775492,0 days 00:02:55.255054,relu,7.463696537361027e-08,1.0,0.99,0.3687984465990062,0.0019015182927117538,constant,1.0,2048,small,True,True,True,0.08155687036902926,PRUNED
41,41,43.100728,2021-01-04 23:19:04.222111,2021-01-04 23:28:25.856555,0 days 00:09:21.634444,relu,1.0958660130730946e-08,1.0,0.9,0.23050415003473945,0.27045437978263065,constant,1.0,2048,small,True,True,True,0.0027909346517385747,COMPLETE
42,42,41.2239252,2021-01-04 23:20:37.798934,2021-01-04 23:24:53.368082,0 days 00:04:15.569148,relu,9.893337785059005e-07,0.99,0.9,-1.2998923057663545,0.2567500042852985,constant,1.0,8,small,True,True,True,0.018766702431631525,PRUNED
43,43,42.830528799999996,2021-01-04 23:22:35.655203,2021-01-04 23:36:34.639296,0 days 00:13:58.984093,relu,9.32011328830854e-07,0.99,0.9,-2.50429781021289,0.001030563163021967,linear,1.0,8,small,True,False,True,0.21361105337498937,COMPLETE
44,44,42.5424292,2021-01-04 23:24:53.387532,2021-01-04 23:38:55.405054,0 days 00:14:02.017522,relu,1.1832522204769066e-08,0.98,0.999,-0.7566145521988212,0.047901799675947945,linear,0.6,8,small,True,False,True,0.20088036725171982,COMPLETE
45,45,41.3247424,2021-01-04 23:27:43.645122,2021-01-04 23:39:22.257301,0 days 00:11:38.612179,tanh,1.0734906006222137e-05,0.98,0.999,-2.5499009003466098,0.0011370866088372415,linear,0.6,16,small,True,False,True,0.2138873094511376,COMPLETE
46,46,43.89943519999999,2021-01-04 23:28:25.896031,2021-01-04 23:40:05.273702,0 days 00:11:39.377671,tanh,8.199020239296237e-06,0.98,0.999,-2.4165217494087403,0.0010918024310575887,linear,2.0,16,small,True,False,True,0.7809039732093943,COMPLETE
47,47,47.55579519999999,2021-01-04 23:36:34.681399,2021-01-04 23:49:24.159616,0 days 00:12:49.478217,relu,1.0241497983302183e-05,0.98,0.999,-0.6489529453188732,0.006020894058065893,linear,2.0,16,medium,False,False,False,0.1011212141399764,COMPLETE
48,48,43.1787374,2021-01-04 23:38:55.445266,2021-01-04 23:49:05.866277,0 days 00:10:10.421011,tanh,1.0520448988154782e-05,0.9,0.95,-0.15580696734699595,0.0066612429891142145,constant,2.0,1024,small,True,True,False,0.26212052477220943,COMPLETE
49,49,43.901258,2021-01-04 23:39:22.292988,2021-01-04 23:49:35.406934,0 days 00:10:13.113946,relu,3.8055543698354043e-07,0.9,0.95,-1.7964641986112388,0.006484595834863775,constant,2.0,1024,small,True,True,False,0.27214689606750814,COMPLETE
50,50,-781.531575,2021-01-04 23:40:05.315532,2021-01-04 23:43:08.441205,0 days 00:03:03.125673,relu,4.488005235511686e-07,0.9,0.95,-1.8724939108674699,0.007033082829797269,constant,5.0,1024,small,False,True,False,0.284201394941442,PRUNED
51,51,45.4929626,2021-01-04 23:43:08.461060,2021-01-04 23:53:31.338930,0 days 00:10:22.877870,relu,1.8217332617999785e-07,0.8,0.95,-0.5508368839938509,0.0471541131106973,constant,5.0,128,medium,True,True,False,0.28804164232363916,COMPLETE
52,52,48.6386702,2021-01-04 23:49:05.937626,2021-01-04 23:59:09.455499,0 days 00:10:03.517873,relu,9.757980714021527e-05,0.92,0.9999,-0.5321748855789481,0.042572227180765226,constant,0.3,128,small,True,True,False,0.08150822511386513,COMPLETE
53,53,48.6701962,2021-01-04 23:49:24.197603,2021-01-05 00:01:57.544512,0 days 00:12:33.346909,relu,9.533923627219439e-05,0.92,0.9999,-0.5529420815850419,0.00300251627488663,linear,2.0,16,medium,False,False,False,0.08232325409641299,COMPLETE
54,54,43.586951600000006,2021-01-04 23:49:35.446407,2021-01-05 00:02:11.751442,0 days 00:12:36.305035,relu,2.6795465685337714e-05,0.92,0.9999,-0.6495974456112654,0.0036817451791911803,linear,0.5,16,medium,False,False,False,0.06687073659652794,COMPLETE
55,55,41.387687799999995,2021-01-04 23:53:31.381793,2021-01-05 00:06:34.491144,0 days 00:13:03.109351,relu,2.8226103920079827e-05,0.98,0.9999,-0.08851407065123584,0.003413643747480812,linear,0.3,16,medium,False,False,False,0.077936274523628,COMPLETE
56,56,43.98217939999999,2021-01-04 23:59:09.495227,2021-01-05 00:10:21.265045,0 days 00:11:11.769818,relu,6.24728443493439e-05,0.92,0.9999,-1.294883514394926,0.012328065028855084,linear,0.3,128,medium,False,False,False,0.0633916254430579,COMPLETE
57,57,45.097481800000004,2021-01-05 00:01:57.583282,2021-01-05 00:16:28.865745,0 days 00:14:31.282463,relu,0.00010140964648266675,0.92,0.9999,-0.07264915283408147,0.0003362827055658758,linear,0.3,16,medium,False,False,False,0.0004248972884077634,COMPLETE
58,58,43.5505686,2021-01-05 00:02:11.789957,2021-01-05 00:13:53.616772,0 days 00:11:41.826815,relu,0.0003561758687470436,0.92,0.9999,-0.09462873803726812,0.011485338452679331,linear,0.3,128,medium,False,False,False,0.14443956170743308,COMPLETE
59,59,42.941138200000005,2021-01-05 00:06:34.528762,2021-01-05 00:18:17.176431,0 days 00:11:42.647669,relu,0.00041150258287721243,0.92,0.9999,-1.347841310292351,0.0003741082440109216,linear,0.3,128,medium,False,False,False,0.15228960678787018,COMPLETE
60,60,47.082589000000006,2021-01-05 00:10:21.303204,2021-01-05 00:21:32.404935,0 days 00:11:11.101731,relu,0.00019881445515122596,0.92,0.9999,-0.8046781640133618,0.000563269527776712,linear,2.0,128,medium,False,False,False,0.1539244794001722,COMPLETE
61,61,46.984044,2021-01-05 00:13:53.652666,2021-01-05 00:24:50.669485,0 days 00:10:57.016819,relu,9.474043039821157e-05,0.92,0.9999,-0.8679554310431788,0.0003712166935704255,linear,2.0,16,medium,False,False,False,0.0011792714366548884,COMPLETE
62,62,-4240.9295278,2021-01-05 00:16:28.904655,2021-01-05 00:20:08.757833,0 days 00:03:39.853178,relu,0.003803873362216223,0.92,0.9999,-2.9565245827405846,0.044555076340218935,linear,2.0,64,medium,False,False,False,0.12168534401226845,PRUNED
63,63,47.0817838,2021-01-05 00:18:17.215915,2021-01-05 00:25:24.965459,0 days 00:07:07.749544,relu,0.00015086833154447676,0.92,0.999,-0.80560953471172,0.045557333927339454,linear,2.0,64,medium,False,False,False,0.11197584017682162,COMPLETE
64,64,43.7304262,2021-01-05 00:45:27.486293,2021-01-05 00:58:09.718238,0 days 00:12:42.231945,relu,1.9262775686357817e-05,0.95,0.995,-1.0528822713585244,0.00016395046699029463,constant,0.8,32,medium,False,False,False,0.0308498416794857,COMPLETE
65,65,,2021-01-05 00:45:27.500825,2021-01-05 00:49:20.174229,0 days 00:03:52.673404,relu,1.450661963474546e-06,0.95,0.995,-1.146052676278305,0.97455136541295,constant,0.8,32,medium,False,False,False,0.03834324882086828,PRUNED
66,66,47.4903432,2021-01-05 00:45:27.513453,2021-01-05 00:58:08.819801,0 days 00:12:41.306348,relu,1.5202539410628615e-06,0.95,0.995,-1.0995339042791636,0.016245317740772976,constant,0.8,32,medium,False,False,False,0.03864906065411708,COMPLETE
67,67,,2021-01-05 00:45:27.526892,2021-01-05 00:49:19.196706,0 days 00:03:51.669814,relu,1.604656637672141e-05,0.95,0.995,-1.1644068071055664,0.9968676456408672,constant,0.8,32,medium,False,False,False,0.03491347270939197,PRUNED
68,68,44.511159000000006,2021-01-05 00:49:19.215642,2021-01-05 01:03:27.766656,0 days 00:14:08.551014,relu,1.4686045793308257e-06,0.98,0.995,-0.3795547665620932,0.0019417564673673594,constant,0.8,16,small,True,True,False,0.055803995422357484,COMPLETE
69,69,43.9832462,2021-01-05 00:49:20.198276,2021-01-05 01:00:37.140560,0 days 00:11:16.942284,relu,2.483502582565679e-08,0.98,0.999,-0.3315238522591973,0.0020932661699300274,constant,0.7,256,small,True,True,False,0.09759764348041675,COMPLETE
70,70,42.8363222,2021-01-05 00:58:08.862310,2021-01-05 01:10:52.916561,0 days 00:12:44.054251,relu,5.396921218196561e-06,0.95,0.995,-2.112773597818947,0.01592271327728721,constant,0.8,32,medium,False,False,False,0.17221134989324394,COMPLETE
71,71,47.016510000000004,2021-01-05 00:58:09.758147,2021-01-05 01:09:30.926220,0 days 00:11:21.168073,relu,5.467044882800978e-06,0.95,0.995,-2.1172069652718086,0.016903841972638473,constant,0.7,256,medium,False,False,False,0.1741366259276027,COMPLETE
72,72,41.834031800000005,2021-01-05 01:00:37.178880,2021-01-05 01:14:47.792072,0 days 00:14:10.613192,relu,4.721001071061924e-06,0.95,0.995,-2.1153208211526726,0.016944954813986616,constant,0.8,16,medium,False,False,False,0.1784744011359172,COMPLETE
73,73,44.181298600000005,2021-01-05 01:03:27.803590,2021-01-05 01:14:34.749039,0 days 00:11:06.945449,relu,4.758471451884172e-06,0.95,0.995,-2.182215931743161,0.0157888363900376,constant,0.8,512,medium,False,False,False,0.1299926403740139,COMPLETE
74,74,42.515709400000006,2021-01-05 01:09:30.963905,2021-01-05 01:21:22.816500,0 days 00:11:51.852595,relu,5.699772002977277e-06,0.95,0.995,-0.5315447917142126,0.1776745467040183,constant,0.8,32,medium,False,False,False,0.1324681154697821,COMPLETE
75,75,46.082241599999996,2021-01-05 01:10:52.954677,2021-01-05 01:21:13.865817,0 days 00:10:20.911140,tanh,0.0015748702986463593,0.8,0.98,-1.4410579526467318,0.009986269125291691,constant,0.8,1024,medium,False,False,False,0.0011031057373559056,COMPLETE
76,76,44.6976892,2021-01-05 01:14:34.788963,2021-01-05 01:24:52.908008,0 days 00:10:18.119045,relu,5.435836696983285e-05,0.8,0.98,-0.6106517930358151,0.15211660311013261,constant,0.5,1024,medium,False,False,False,0.5544984750890155,COMPLETE
77,77,43.2882524,2021-01-05 01:14:47.851143,2021-01-05 01:25:06.096399,0 days 00:10:18.245256,tanh,4.656782845603343e-05,0.99,0.98,-0.5729333400110477,0.18162353935349293,constant,5.0,1024,small,False,False,False,0.10576876146521365,COMPLETE
78,78,45.455611000000005,2021-01-05 01:21:13.977204,2021-01-05 01:31:43.821467,0 days 00:10:29.844263,relu,5.332368885755114e-05,0.98,0.99,-0.581648931817805,0.0305371303706149,constant,0.5,2048,small,True,True,False,0.08511196088880678,COMPLETE
79,79,43.792707,2021-01-05 01:21:22.858490,2021-01-05 01:31:53.775775,0 days 00:10:30.917285,relu,5.0329112608777086e-05,0.98,0.99,-0.6484496197950653,0.03429066463090966,constant,0.5,2048,small,True,True,False,0.09120609557349107,COMPLETE
80,80,47.7928712,2021-01-05 01:24:52.950722,2021-01-05 01:35:18.248805,0 days 00:10:25.298083,relu,1.3259336309988037e-07,0.98,0.99,-0.954226922279139,0.004420872174710093,constant,5.0,1024,small,True,True,False,0.10212472095659701,COMPLETE
81,81,45.908332200000004,2021-01-05 01:25:06.136970,2021-01-05 01:35:24.886702,0 days 00:10:18.749732,relu,1.3121206079877942e-07,0.98,0.99,0.15797145765087328,0.029955602764565364,constant,0.9,2048,small,True,True,False,0.05602940509580619,COMPLETE
82,82,-428.6305354,2021-01-05 01:31:43.863484,2021-01-05 01:34:46.859481,0 days 00:03:02.995997,relu,1.3552135657302936e-07,0.98,0.99,0.14695562584099398,0.004709445931240798,constant,2.0,2048,small,True,True,False,0.39552780989751357,PRUNED
83,83,44.9476202,2021-01-05 01:31:53.828956,2021-01-05 01:44:32.800366,0 days 00:12:38.971410,relu,1.7321455553212532e-07,0.9,0.99,-0.9665177548645177,0.07058301765558318,constant,0.9,16,small,True,True,False,0.3919158441992577,COMPLETE
84,84,44.289549,2021-01-05 01:34:46.882328,2021-01-05 01:47:31.781666,0 days 00:12:44.899338,relu,1.925004016062636e-06,0.9,0.999,-0.982279283637755,0.008476167871459623,constant,0.9,16,small,True,True,False,0.048342351256517535,COMPLETE
85,85,44.5615054,2021-01-05 01:35:18.289310,2021-01-05 01:45:13.000193,0 days 00:09:54.710883,relu,1.7264858777032123e-06,0.9,0.999,-0.979356552405954,0.00839663413175645,constant,5.0,1024,small,True,True,False,0.24146890505803903,COMPLETE
86,86,46.310661,2021-01-05 01:35:24.934654,2021-01-05 01:45:19.506901,0 days 00:09:54.572247,relu,1.8173859292599399e-06,0.9,0.999,-0.9085199974163374,0.4231672457025849,linear,5.0,1024,small,True,True,False,0.2511935052469879,COMPLETE
87,87,45.9827434,2021-01-05 01:44:32.837263,2021-01-05 01:54:55.055722,0 days 00:10:22.218459,relu,1.716015939544488e-06,0.9,0.999,-1.6931168210375427,0.008797589683285775,linear,5.0,1024,small,True,True,False,0.04570582657589639,COMPLETE
88,88,43.89525440000001,2021-01-05 01:45:13.039908,2021-01-05 01:55:35.879128,0 days 00:10:22.839220,relu,3.429128454463344e-08,0.98,0.99,-1.7451230056573797,0.003789731698958,constant,5.0,1024,small,True,True,False,0.046693062837340045,COMPLETE
89,89,43.409084199999995,2021-01-05 01:45:19.544396,2021-01-05 01:55:42.099253,0 days 00:10:22.554857,relu,4.439859265194448e-08,0.98,0.99,-0.2689271049244112,0.0031590977643385764,constant,5.0,1024,small,True,True,True,0.04565238437486782,COMPLETE
90,90,41.8609608,2021-01-05 01:47:31.830456,2021-01-05 01:57:52.659880,0 days 00:10:20.829424,relu,4.3319519633138754e-08,0.98,0.99,-0.22415452186331358,0.004185419611742717,constant,5.0,1024,small,True,True,True,0.02491955252197335,COMPLETE
91,91,42.7345444,2021-01-05 01:54:55.098102,2021-01-05 02:05:21.367469,0 days 00:10:26.269367,relu,8.287319144281716e-07,0.98,0.99,-0.24544299078555887,0.004337411210990307,constant,1.0,1024,small,True,True,True,0.0177856371839048,COMPLETE
92,92,46.74253180000001,2021-01-05 01:55:35.916416,2021-01-05 02:06:02.158482,0 days 00:10:26.242066,relu,8.100423063943703e-07,0.98,0.99,-0.2340202045593367,0.005012835768325068,constant,1.0,512,small,True,True,True,0.008968514608845096,COMPLETE
93,93,42.4338276,2021-01-05 01:55:42.142302,2021-01-05 02:06:20.705594,0 days 00:10:38.563292,relu,6.843503868866139e-07,0.98,0.99,-0.42992423188373224,0.0029040214711822214,constant,1.0,128,small,True,True,True,0.005384014339246131,COMPLETE
94,94,44.5233838,2021-01-05 01:57:52.702483,2021-01-05 02:08:36.647004,0 days 00:10:43.944521,relu,3.655694325189605e-07,1.0,0.9999,-1.518234146091452,0.0056837990204974065,constant,1.0,128,small,True,True,False,0.20876946773844546,COMPLETE
95,95,42.8625172,2021-01-05 02:05:21.411238,2021-01-05 02:16:13.235880,0 days 00:10:51.824642,relu,3.5728415914659004e-07,0.92,0.9999,-1.5392946720022145,0.0015399067533077115,constant,0.6,128,small,True,True,False,0.07818787850098016,COMPLETE
96,96,44.519601800000004,2021-01-05 02:06:02.201394,2021-01-05 02:16:53.990650,0 days 00:10:51.789256,relu,4.6358828535136987e-07,0.92,0.9999,-1.5517854993682307,0.0014939073235694278,constant,0.6,128,small,True,True,False,0.20006456166484335,COMPLETE
97,97,45.9127434,2021-01-05 02:06:20.744595,2021-01-05 02:17:13.241608,0 days 00:10:52.497013,relu,1.622538547808368e-08,0.92,0.9999,-1.9449127876159495,0.001497306609783889,linear,0.6,128,small,True,True,False,0.20521837494067544,COMPLETE
98,98,42.66764200000001,2021-01-05 02:08:36.683414,2021-01-05 02:19:13.705589,0 days 00:10:37.022175,relu,3.0563752503086757e-07,0.9,0.95,-1.242995876543431,0.08268527603096763,constant,5.0,1024,small,True,True,False,0.08299526515303322,COMPLETE
99,99,43.027495,2021-01-05 02:16:13.275553,2021-01-05 02:26:56.270858,0 days 00:10:42.995305,relu,5.758711807696793e-07,0.9,0.95,-1.2412582897167637,0.09386844990644791,constant,5.0,1024,small,True,True,False,0.11638349921101523,COMPLETE
