,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,system_attrs_fail_reason,state
23,23,28.607762400000002,2021-01-01 19:31:17.439923,2021-01-01 19:54:21.777068,0 days 00:23:04.337145,tanh,0.01915797431453329,0.92,0.999,-1.725926726431695,0.00026526333089136445,constant,0.8,8,medium,False,False,False,0.7863851884351618,,COMPLETE
24,24,,2021-01-01 19:31:42.602776,2021-01-01 19:38:14.017577,0 days 00:06:31.414801,tanh,0.027569705146573583,0.98,0.999,-1.6806683131994655,0.916933683866827,constant,0.8,8,medium,False,True,False,0.8022245284601492,,PRUNED
25,25,28.637639999999998,2021-01-01 19:32:05.974293,2021-01-01 19:55:12.655044,0 days 00:23:06.680751,tanh,0.017881847334355314,0.9,0.999,-3.2450969551195747,0.0003358625669141397,constant,5.0,8,medium,False,True,False,0.7921381160046024,,COMPLETE
26,26,35.556727,2021-01-01 19:38:14.028892,2021-01-01 19:54:03.321517,0 days 00:15:49.292625,tanh,0.006879049581033892,0.92,0.98,-3.135424104205826,0.00038047999027130867,constant,5.0,32,medium,False,True,False,0.9923878885791588,,COMPLETE
27,27,32.2097904,2021-01-01 19:43:05.554005,2021-01-01 19:59:25.340850,0 days 00:16:19.786845,tanh,0.013082237147632438,0.9,0.98,-3.3779711479004213,0.0004266840667547562,constant,5.0,32,medium,False,True,False,0.9976311407648172,,COMPLETE
28,28,30.538507999999997,2021-01-01 19:54:03.354039,2021-01-01 20:11:12.062218,0 days 00:17:08.708179,tanh,0.011073556307740472,0.92,0.98,-3.313420592926678,0.00031044701022984057,constant,5.0,32,medium,False,True,False,0.9748313663337365,,COMPLETE
29,29,29.294153800000004,2021-01-01 19:54:21.808712,2021-01-01 19:59:29.811517,0 days 00:05:08.002805,tanh,0.010742427005577924,0.92,0.98,-3.41463882450616,0.0002116307056729264,constant,5.0,32,medium,False,True,False,0.965925172924507,,PRUNED
30,30,30.0049264,2021-01-01 19:55:12.684541,2021-01-01 20:12:11.435775,0 days 00:16:58.751234,tanh,1.7766917396154385e-07,0.92,0.98,-3.450264867688828,4.132695505877018e-05,constant,5.0,32,medium,False,True,True,0.9669219965161899,,COMPLETE
31,31,22.4709778,2021-01-01 19:59:25.380185,2021-01-01 20:16:49.456460,0 days 00:17:24.076275,tanh,0.008503971336164167,0.9,0.98,-3.532595520837426,0.00011858816137401858,constant,5.0,32,medium,False,True,False,0.9399672357270621,,COMPLETE
32,32,-30.6224598,2021-01-01 19:59:29.826285,2021-01-01 20:04:37.547907,0 days 00:05:07.721622,tanh,0.06292193136317008,0.9,0.98,-3.6276401986871014,5.157543280865735e-05,constant,5.0,32,small,False,True,False,0.580999645046088,,PRUNED
