,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,system_attrs_fail_reason,state
0,0,36.362991,2020-12-31 03:57:29.100218,2020-12-31 04:07:05.758776,0 days 00:09:36.658558,tanh,2.3507042479461035e-08,0.98,0.98,-2.869330712248387,0.5784340394918388,constant,1.0,256,medium,True,True,False,0.08054795389206582,,COMPLETE
1,1,36.362991,2020-12-31 03:57:29.108969,2020-12-31 04:07:00.907862,0 days 00:09:31.798893,tanh,5.836654611802792e-06,0.98,0.9,-2.972114059199567,0.28056920188373224,linear,5.0,2048,small,True,True,False,0.47623086066521136,,COMPLETE
2,2,36.362991,2020-12-31 03:57:29.125238,2020-12-31 04:07:18.021975,0 days 00:09:48.896737,tanh,0.005724347407367899,0.98,0.98,-0.9933290740488396,0.0002898329865104199,linear,0.6,128,small,False,False,True,0.9588178887616321,,COMPLETE
3,3,36.362991,2020-12-31 03:57:29.137388,2020-12-31 04:07:05.660836,0 days 00:09:36.523448,tanh,0.035442404035672094,1.0,0.95,-3.450326542330904,0.0007277794454344895,linear,1.0,256,medium,False,False,True,0.1436460546318018,,COMPLETE
4,4,-36.542976,2020-12-31 04:07:00.944083,2020-12-31 04:16:42.679219,0 days 00:09:41.735136,tanh,5.243697515874929e-06,1.0,0.95,-0.9924979330314723,2.1417802609338188e-05,constant,0.5,512,small,True,True,False,0.08687341391930437,,COMPLETE
5,5,-7.407556,2020-12-31 04:07:05.690048,2020-12-31 04:16:44.238831,0 days 00:09:38.548783,tanh,2.720191989036921e-08,0.95,0.99,-1.6310644098465796,4.5164713819141935e-05,linear,1.0,2048,small,False,False,True,0.43294725865081807,,COMPLETE
6,6,36.362991,2020-12-31 04:07:05.789657,2020-12-31 04:16:45.969863,0 days 00:09:40.180206,tanh,3.317229302918395e-07,0.8,0.98,-2.0180799705235617,0.016492022399926726,linear,0.5,512,medium,True,False,True,0.773904646838405,,COMPLETE
7,7,-21.443231,2020-12-31 04:07:18.060570,2020-12-31 04:17:01.804195,0 days 00:09:43.743625,relu,0.011482985967636987,1.0,0.98,-1.7803541063564579,1.532677518099334e-05,linear,0.7,1024,small,False,False,False,0.4573052572842532,,COMPLETE
8,8,36.362991,2020-12-31 04:16:42.714285,2020-12-31 04:26:58.988504,0 days 00:10:16.274219,tanh,0.045228531780753874,0.9,0.999,0.7939510954203657,0.0008466834353430811,constant,0.7,64,small,False,False,True,0.36559176198414356,,COMPLETE
9,9,36.362991,2020-12-31 04:16:44.267619,2020-12-31 04:26:21.017481,0 days 00:09:36.749862,tanh,6.686096106834184e-08,0.99,0.9,-0.6021381741420715,0.0003485231499724403,linear,5.0,512,small,True,False,False,0.7999682124727708,,COMPLETE
