,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,system_attrs_fail_reason,state
0,0,-855.787456,2021-01-07 18:18:21.430927,2021-01-07 18:34:29.215151,0 days 00:16:07.784224,relu,2.5855841725926486e-07,0.9,0.95,-2.2482638440409946,7.81893196073291e-05,linear,0.3,256,medium,False,True,True,0.6501112717097297,,COMPLETE
1,1,50.737378,2021-01-07 18:18:21.432743,2021-01-07 18:36:20.910083,0 days 00:17:59.477340,tanh,0.00547607830874387,0.9,0.98,-1.0479519830173496,4.530220429450755e-05,linear,0.7,32,medium,True,True,False,0.113411253853412,,COMPLETE
2,2,50.737378,2021-01-07 18:18:21.435725,2021-01-07 18:34:25.998840,0 days 00:16:04.563115,tanh,0.054971615854750966,0.92,0.9999,-2.3922718128649443,0.06517872802976572,constant,0.9,512,small,True,False,False,0.2461166482640854,,COMPLETE
3,3,50.737378,2021-01-07 18:18:21.437072,2021-01-07 18:34:24.841344,0 days 00:16:03.404272,relu,0.0005792575915886945,0.95,0.99,0.2988801247986643,0.0002173592257659234,constant,0.8,1024,medium,True,False,True,0.5611831971126381,,COMPLETE
4,4,-4236.781872,2021-01-07 18:34:24.843958,2021-01-07 18:51:24.844050,0 days 00:17:00.000092,relu,1.3115567541142996e-06,0.98,0.99,-0.057735088053767036,0.12015602407530707,constant,2.0,32,small,False,True,True,0.9809321402269408,,COMPLETE
5,5,50.737378,2021-01-07 18:34:26.000617,2021-01-07 18:56:37.831104,0 days 00:22:11.830487,relu,5.718721386885906e-05,0.95,0.999,-1.0275714772087081,0.004681714783325246,constant,0.7,8,small,True,True,True,0.31525665167291217,,COMPLETE
6,6,-845.46095,2021-01-07 18:34:29.216730,2021-01-07 18:49:49.967043,0 days 00:15:20.750313,tanh,0.013157463512097907,0.99,0.9,-2.3796270827330965,3.3872195430795465e-05,constant,0.5,2048,medium,False,True,False,0.34003524820396946,,COMPLETE
7,7,50.737378,2021-01-07 18:36:20.912274,2021-01-07 18:52:26.733425,0 days 00:16:05.821151,relu,0.0026603502696466753,0.92,0.9999,-0.1297799149566048,0.0009941909663175926,linear,0.6,64,medium,False,False,False,0.7728200794982062,,COMPLETE
8,8,,2021-01-07 18:49:49.968709,2021-01-07 19:11:48.761858,0 days 00:21:58.793149,relu,6.914836123702043e-07,0.95,0.995,-0.04486148716267735,0.6104314069051435,linear,0.9,8,medium,True,True,True,0.1824783836147026,"Trial 8 failed, because the objective function returned nan.",FAIL
9,9,,2021-01-07 18:51:24.846045,2021-01-07 19:08:11.400831,0 days 00:16:46.554786,relu,0.09877403617231946,0.92,0.995,0.14824420711486397,0.24427918782473837,linear,1.0,32,medium,True,True,True,0.9005436992721484,"Trial 9 failed, because the objective function returned nan.",FAIL
