,time,state,action,reward,rep
0,0,0.75,0.0,0.0,0
1,1,0.80625,0.0,0.0,0
2,2,0.85311328125,0.0,0.0,0
3,3,0.8907065844314574,0.0,0.0,0
4,4,0.9199110938960288,0.0,0.0,0
5,5,0.9420134958629409,0.0,0.0,0
6,6,0.9584007167054475,0.0,0.0,0
7,7,0.970361351582627,0.0,0.0,0
8,8,0.9789894112638363,0.0,0.0,0
9,9,0.9300039760650646,0.0750306248664856,0.0750306248664856,0
10,10,0.9495329502355352,0.0,0.0,0
11,11,0.9639089882312959,0.0,0.0,0
12,12,0.9743455234227605,0.0,0.0,0
13,13,0.9818444207453967,0.0,0.0,0
14,14,0.9871922070043566,0.0,0.0,0
15,15,0.9909853330346239,0.0,0.0,0
16,16,0.9936653538580877,0.0,0.0,0
17,17,0.8146475120842245,0.23375123739242554,0.23375123739242554,0
18,18,0.8599465950259868,0.0,0.0,0
19,19,0.8960781296447463,0.0,0.0,0
20,20,0.9240147642098822,0.0,0.0,0
21,21,0.732105053961694,0.2587122321128845,0.2587122321128845,0
22,22,0.7909432271393257,0.0,0.0,0
23,23,0.810021041802304,0.036499738693237305,0.036499738693237305,0
24,24,0.8561871278942482,0.0,0.0,0
25,25,0.6904918932919315,0.23638981580734253,0.23638981580734253,0
26,26,0.7546057448689482,0.0,0.0,0
27,27,0.8101585192728665,0.0,0.0,0
28,28,0.8562990271496054,0.0,0.0,0
29,29,0.8932143281252788,0.0,0.0,0
30,30,0.9218290757723745,0.0,0.0,0
31,31,0.9357657310028817,0.010242223739624023,0.010242223739624023,0
32,32,0.953798199307939,0.0,0.0,0
33,33,0.9670183575994006,0.0,0.0,0
34,34,0.8000899961245257,0.22424697875976562,0.22424697875976562,0
35,35,0.8480737943923203,0.0,0.0,0
36,36,0.8867271844895201,0.0,0.0,0
37,37,0.9168598099225628,0.0,0.0,0
38,38,0.9397281795839603,0.0,0.0,0
39,39,0.9567199180078931,0.0,0.0,0
40,40,0.9691419929563522,0.0,0.0,0
41,41,0.9781137300898348,0.0,0.0,0
42,42,0.782439698009062,0.2558542490005493,0.2558542490005493,0
43,43,0.5181122996073605,0.3383883237838745,0.3383883237838745,0
44,44,0.5930138829882404,0.0,0.0,0
45,45,0.3478255012960394,0.3065137267112732,0.3065137267112732,0
46,46,0.41587837787929893,0.0,0.0,0
47,47,0.40515756095382893,0.077850341796875,0.077850341796875,0
48,48,0.47745903448056093,0.0,0.0,0
49,49,0.5523066059425964,0.0,0.0,0
50,50,0.6264858116350261,0.0,0.0,0
51,51,0.6966862134715347,0.0,0.0,0
52,52,0.7600805735006037,0.0,0.0,0
53,53,0.8147880020868827,0.0,0.0,0
54,54,0.8600605562095274,0.0,0.0,0
