,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
22,22,701.3482494,2020-12-18 22:15:25.315509,2020-12-18 22:20:02.337003,0 days 00:04:37.021494,tanh,64,0.3,0.026366262378844017,0.92,0.995,0.6042617857556571,0.000296102615243802,0.7,5,512,small,32,0.19760275925022486,,PRUNED
23,23,446.125759,2020-12-18 22:20:02.347697,2020-12-18 23:41:08.116420,0 days 01:21:05.768723,tanh,32,0.2,0.01053449772431823,0.9,0.98,-0.6688474996301732,5.812620555842637e-05,5.0,20,8,medium,8,0.24227415694788978,,PRUNED
24,24,947.112058,2020-12-18 22:21:37.058227,2020-12-18 22:59:56.065761,0 days 00:38:19.007534,relu,64,0.1,4.084735842594775e-08,0.95,0.9999,-2.5914147431254784,0.031970665392439444,0.8,20,1024,small,-1,0.9435984796037995,,COMPLETE
25,25,446.125759,2020-12-18 22:29:11.268820,2020-12-19 02:07:23.743724,0 days 03:38:12.474904,relu,32,0.1,4.196137842789503e-07,0.95,0.999,0.22481926937098873,6.552893517887677e-05,0.3,20,8,small,64,0.3428283533420181,,COMPLETE
26,26,,2020-12-18 22:59:56.107198,2020-12-18 23:40:19.110901,0 days 00:40:23.003703,relu,128,0.2,0.00010375335068679446,0.9,0.995,-3.1630588053281796,0.3418314237316124,0.9,10,8,medium,128,0.8902828384820669,,PRUNED
27,27,754.3853426,2020-12-18 23:40:19.122253,2020-12-19 00:04:05.131237,0 days 00:23:46.008984,tanh,256,0.3,7.828355820455311e-07,0.8,0.9999,-3.2110196654149328,0.00594858022871806,0.8,10,64,medium,64,0.9826380511960983,,COMPLETE
28,28,,2020-12-18 23:41:08.126179,2020-12-19 01:06:47.195841,0 days 01:25:39.069662,tanh,8,0.1,5.84659806739222e-08,0.99,0.999,-1.4117651273525453,0.15777501160738322,0.6,20,16,small,128,0.7772547383558056,,PRUNED
29,29,446.125759,2020-12-18 23:46:35.083124,2020-12-18 23:58:01.456654,0 days 00:11:26.373530,tanh,64,0.4,1.3712269051693067e-05,0.99,0.9,0.11419599861569552,9.846056568925338e-05,0.9,20,512,small,64,0.1323346883683172,,PRUNED
30,30,784.9582065999999,2020-12-18 23:58:01.469380,2020-12-19 00:01:11.704017,0 days 00:03:10.234637,tanh,128,0.4,4.866039575979929e-07,0.92,0.9999,-2.488969926097071,0.00039441345809759375,5.0,5,1024,medium,8,0.5267765357156721,,PRUNED
31,31,,2020-12-19 00:01:11.716051,2020-12-19 00:21:59.814184,0 days 00:20:48.098133,relu,32,0.1,0.0873159902467275,0.9,0.98,-1.3995039282348585,0.7770097860119066,0.5,10,16,medium,32,0.11028025082657011,,PRUNED
32,32,446.125759,2020-12-19 00:04:05.172426,2020-12-19 00:25:46.224909,0 days 00:21:41.052483,tanh,8,0.3,0.00015041593972838903,1.0,0.999,0.5826709515154676,0.000434284667766585,0.3,5,8,small,64,0.9717139641268415,,PRUNED
33,33,693.69294,2020-12-19 00:21:59.824423,2020-12-19 00:34:02.017676,0 days 00:12:02.193253,tanh,512,0.2,0.0002414950972949418,1.0,0.999,-1.901758951104215,0.030808765086227673,0.8,10,32,small,64,0.5175475864496835,,PRUNED
34,34,,2020-12-19 00:25:46.236398,2020-12-19 00:28:14.258367,0 days 00:02:28.021969,tanh,256,0.2,0.035012357275514785,0.9,0.995,-1.8310668761120157,0.7286953775423185,5.0,1,64,medium,-1,0.5892639156928033,,PRUNED
35,35,446.125759,2020-12-19 00:28:14.267422,2020-12-19 01:01:36.738149,0 days 00:33:22.470727,tanh,16,0.3,1.1904462811649177e-08,0.99,0.9999,-0.6564776740732245,0.14487813405099392,0.3,10,128,medium,256,0.8564262972046166,,PRUNED
36,36,739.0327629999999,2020-12-19 00:34:02.028473,2020-12-19 00:36:30.373301,0 days 00:02:28.344828,tanh,256,0.3,8.811312125170558e-05,1.0,0.9999,0.2546682718422941,0.00018812434088778923,0.6,5,1024,small,32,0.697535035199731,,PRUNED
37,37,,2020-12-19 00:36:30.385072,2020-12-19 01:27:40.240421,0 days 00:51:09.855349,relu,16,0.3,3.4340628631568184e-08,1.0,0.95,-2.403753933124138,0.22642269546587832,0.6,20,32,small,64,0.5834522583062143,,PRUNED
38,38,246.208647,2020-12-19 01:01:36.748317,2020-12-19 01:14:03.392762,0 days 00:12:26.644445,relu,16,0.3,0.018733525976081047,0.99,0.99,-1.7222660384520179,0.006475588063243087,0.5,1,64,small,8,0.8726653215344535,,COMPLETE
39,39,446.125759,2020-12-19 01:06:47.207782,2020-12-19 01:09:54.886437,0 days 00:03:07.678655,relu,32,0.4,1.070592495823885e-05,0.99,0.99,-3.6572176531184417,0.3392466335087992,0.6,1,512,small,-1,0.05131907893854282,,PRUNED
