,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
0,0,27.447594399999996,2021-01-01 18:11:56.186951,2021-01-01 18:50:30.318603,0 days 00:38:34.131652,relu,512,0.1,1.2653645635918203e-06,0.99,0.9,0.02504610062449064,0.010899882550031154,0.6,1,8,medium,128,0.5479117303319629,,COMPLETE
1,1,,2021-01-01 18:11:56.196660,2021-01-01 18:37:01.431154,0 days 00:25:05.234494,tanh,16,0.3,5.948982355685654e-05,0.99,0.9999,-2.587393627383211,0.5726818771423602,0.3,1,512,medium,64,0.6784363034769813,"Trial 1 failed, because the objective function returned nan.",FAIL
2,2,39.1274992,2021-01-01 18:11:56.210324,2021-01-01 18:38:02.582830,0 days 00:26:06.372506,relu,256,0.3,0.003926458472761722,1.0,0.99,-3.6560420829356497,0.0007603654464906945,1.0,1,16,medium,128,0.8836200877636554,,COMPLETE
3,3,,2021-01-01 18:11:56.218396,2021-01-01 18:49:16.222935,0 days 00:37:20.004539,relu,8,0.2,7.870693251303715e-08,1.0,0.999,0.32867155847926366,0.31539383317068925,0.6,1,32,medium,64,0.7790474599220618,"Trial 3 failed, because the objective function returned nan.",FAIL
4,4,45.9174132,2021-01-01 18:37:01.445404,2021-01-01 19:18:23.408243,0 days 00:41:21.962839,relu,128,0.2,0.0016485867741403404,0.95,0.98,-3.3763065043966476,9.849583540985888e-05,0.8,10,64,small,128,0.8582821509540528,,COMPLETE
5,5,,2021-01-01 18:38:02.614521,2021-01-01 22:26:38.552519,0 days 03:48:35.937998,relu,8,0.1,0.00413651500519068,0.9,0.95,0.004172677368703859,0.15606735423705645,5.0,10,1024,medium,16,0.3016182808733273,"Trial 5 failed, because the objective function returned nan.",FAIL
6,6,34.4429992,2021-01-01 18:49:16.233717,2021-01-01 19:00:42.059395,0 days 00:11:25.825678,relu,512,0.3,0.09354948186959723,0.92,0.95,-0.4595246764964491,0.0017998410675211418,0.8,1,128,medium,128,0.21478405386205124,,COMPLETE
7,7,25.3829526,2021-01-01 18:50:30.345209,2021-01-01 20:54:25.956362,0 days 02:03:55.611153,tanh,8,0.4,5.518694100284891e-06,0.99,0.99,-3.833064622614318,0.001047189878806723,0.6,5,64,medium,-1,0.3194155607075042,,COMPLETE
8,8,,2021-01-01 19:00:42.090377,2021-01-01 21:03:59.384014,0 days 02:03:17.293637,tanh,8,0.3,0.00020785308167898606,0.9,0.99,-1.6698623491822442,0.6881222581208537,0.3,5,64,medium,256,0.22020462712661104,"Trial 8 failed, because the objective function returned nan.",FAIL
9,9,28.634078600000002,2021-01-01 19:18:23.441713,2021-01-01 23:21:00.784497,0 days 04:02:37.342784,tanh,32,0.2,8.16346737330351e-08,0.92,0.98,-3.4137749465566523,0.003581524195835883,0.8,20,16,small,64,0.8347019288694307,,COMPLETE
