,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
22,22,54.77726779999999,2021-01-05 05:56:40.139328,2021-01-05 10:00:19.077487,0 days 04:03:38.938159,relu,8,0.1,0.005581978628938615,0.9,0.9999,-1.5114984558740798,0.0001606954040482334,1.0,20,2048,medium,256,0.24223204550927624,,COMPLETE
23,23,50.155769799999995,2021-01-05 06:09:56.645872,2021-01-05 06:21:20.014909,0 days 00:11:23.369037,relu,256,0.1,0.00010759430425143285,0.9,0.98,-0.6910397059258329,0.017950132058496802,0.7,10,2048,medium,-1,0.596563627970513,,COMPLETE
24,24,46.527734599999995,2021-01-05 06:12:41.982035,2021-01-05 06:24:05.829697,0 days 00:11:23.847662,relu,256,0.1,6.786418720697335e-05,0.8,0.9999,-0.7423639420428176,0.01469355297405269,0.7,10,2048,medium,256,0.24609784596140682,,COMPLETE
25,25,45.6576234,2021-01-05 06:21:20.058586,2021-01-05 07:28:02.171777,0 days 01:06:42.113191,relu,8,0.2,0.006007106402078672,0.92,0.9999,-2.226240958729705,3.754782942309435e-05,0.3,5,512,small,16,0.2850504266021262,,COMPLETE
26,26,43.8338118,2021-01-05 06:24:05.858895,2021-01-05 07:31:48.800031,0 days 01:07:42.941136,relu,8,0.2,0.002884116438668271,0.92,0.999,-2.312380163290385,3.962865128100344e-05,0.8,5,256,small,64,0.8997346801707815,,COMPLETE
27,27,42.2871236,2021-01-05 06:33:22.698446,2021-01-05 06:44:04.088418,0 days 00:10:41.389972,relu,256,0.1,0.0060076083715208525,0.9,0.98,0.1590977549430851,0.05762553203428851,0.7,10,2048,medium,-1,0.5685824974956427,,COMPLETE
28,28,,2021-01-05 06:44:04.131029,2021-01-05 08:48:16.415757,0 days 02:04:12.284728,relu,8,0.2,0.0003615237684370827,0.95,0.98,-0.5025795544386832,0.011727990431367385,0.9,10,2048,medium,-1,0.8815428314987117,"Trial 28 failed, because the objective function returned nan.",FAIL
29,29,43.737388800000005,2021-01-05 07:28:02.201805,2021-01-05 07:38:30.665029,0 days 00:10:28.463224,relu,256,0.1,0.00019531921706816653,0.95,0.98,-1.1872615153336563,0.008896437312534113,0.9,10,2048,medium,-1,0.8955511349075124,,COMPLETE
30,30,44.31982419999999,2021-01-05 07:31:48.836757,2021-01-05 07:42:45.076080,0 days 00:10:56.239323,relu,256,0.1,8.438383101928294e-05,0.95,0.98,-0.404296439913872,0.008123681653404177,0.5,10,2048,medium,-1,0.6469208300824656,,COMPLETE
31,31,46.38468400000001,2021-01-05 07:38:30.691461,2021-01-05 07:49:14.073435,0 days 00:10:43.381974,relu,256,0.1,7.17283400220969e-05,0.9,0.98,-0.3510890730360936,0.05256145167353815,0.7,10,2048,medium,-1,0.673918826435745,,COMPLETE
32,32,-4241.1817605999995,2021-01-05 07:42:45.109211,2021-01-05 07:47:36.420441,0 days 00:04:51.311230,relu,256,0.1,5.738411056399363e-06,0.9,0.995,-0.26638075427625196,0.06660843378793398,0.7,10,1024,medium,-1,0.5570738194199663,,PRUNED
33,33,49.26477039999999,2021-01-05 07:47:36.433393,2021-01-05 08:23:25.630006,0 days 00:35:49.196613,relu,32,0.1,0.0007278188061459524,0.9,0.98,-1.8509020824480202,0.0007539945636163962,5.0,10,64,medium,256,0.6910774070766666,,COMPLETE
34,34,45.5249646,2021-01-05 07:49:14.098718,2021-01-05 08:52:41.577591,0 days 01:03:27.478873,relu,32,0.1,0.0005450577346902955,0.8,0.999,0.520333680344596,0.0005611356209392487,0.8,20,64,medium,256,0.8674770072934432,,COMPLETE
35,35,41.88136519999999,2021-01-05 08:23:25.656578,2021-01-05 09:26:31.530308,0 days 01:03:05.873730,relu,8,0.3,3.332650758681866e-07,0.8,0.9,-2.8756518456427624,0.21100397959929204,0.6,5,32,small,16,0.25574972774272176,,COMPLETE
36,36,45.7795864,2021-01-05 08:48:16.424616,2021-01-05 09:49:46.462742,0 days 01:01:30.038126,relu,8,0.3,4.353611857996219e-07,0.8,0.9,0.44191656256884376,0.12429694809428715,0.6,5,128,small,16,0.2529343495950588,,COMPLETE
37,37,44.071731,2021-01-05 08:52:41.605961,2021-01-05 09:54:51.129255,0 days 01:02:09.523294,relu,8,0.3,4.451257817979111e-07,0.8,0.9,-2.740241662235893,0.1833154975559613,0.6,5,32,small,16,0.2780226879903249,,COMPLETE
38,38,44.049304400000004,2021-01-05 09:26:31.557483,2021-01-05 10:34:15.235464,0 days 01:07:43.677981,relu,16,0.1,0.0011555600974044367,0.9,0.98,-1.8609899266622763,0.0010098311982735273,5.0,10,64,medium,256,0.5449619267594743,,COMPLETE
39,39,42.297255,2021-01-05 09:49:46.504954,2021-01-05 10:26:22.695570,0 days 00:36:36.190616,relu,32,0.1,0.0005341755580697221,0.9,0.98,-1.81390749326727,0.0012861926349302087,5.0,10,64,medium,256,0.477420574133193,,COMPLETE
40,40,156.5984984,2021-01-05 09:54:51.164419,2021-01-05 10:32:33.420878,0 days 00:37:42.256459,relu,32,0.1,0.0012602838066612418,0.9,0.98,-1.8766406901947679,0.0010063227164652127,5.0,10,64,medium,256,0.4800252584618593,,COMPLETE
41,41,41.5673176,2021-01-05 10:00:19.108924,2021-01-05 10:18:42.944294,0 days 00:18:23.835370,relu,8,0.1,0.018615527868621116,0.9,0.9999,-1.2153164152604798,0.0014054364592425439,1.0,1,2048,medium,256,0.47526687651218646,,COMPLETE
42,42,41.9783212,2021-01-05 10:18:42.977785,2021-01-05 10:41:07.277832,0 days 00:22:24.300047,tanh,128,0.1,1.2632623625471257e-05,0.99,0.995,-2.06602769162238,2.68750152468289e-05,0.8,20,2048,medium,256,0.11172731408018904,,COMPLETE
43,43,42.7974964,2021-01-05 10:26:22.727179,2021-01-05 10:49:16.610573,0 days 00:22:53.883394,tanh,128,0.4,0.0018364686721249537,0.99,0.995,-3.487548086033035,0.027450695917356115,0.8,20,2048,medium,128,0.18082462889932976,,COMPLETE
44,44,47.4408706,2021-01-05 10:32:33.451026,2021-01-05 10:56:04.354732,0 days 00:23:30.903706,tanh,128,0.4,0.0016806074896087277,0.98,0.995,-3.3990507313286646,0.00027612754255364826,5.0,20,128,medium,256,0.35595151298731287,,COMPLETE
45,45,43.7595054,2021-01-05 10:34:15.267444,2021-01-05 10:58:34.888379,0 days 00:24:19.620935,tanh,128,0.4,0.0023252043306652183,0.98,0.995,-3.5679808823359505,0.003976721420629785,0.8,20,128,medium,256,0.3722258345868325,,COMPLETE
46,46,136.1612982,2021-01-05 10:41:07.305333,2021-01-05 11:53:33.541228,0 days 01:12:26.235895,tanh,32,0.4,0.017454874636138745,0.99,0.9999,-3.5068735661250807,0.000303246794137285,1.0,20,1024,medium,256,0.34035376352895375,,COMPLETE
47,47,44.1496868,2021-01-05 10:49:16.637706,2021-01-05 10:59:44.668264,0 days 00:10:28.030558,relu,32,0.2,0.018161251389420364,0.98,0.9999,-3.154794427800482,0.004069626664361552,0.5,1,128,small,256,0.3834503166973832,,COMPLETE
48,48,45.343101000000004,2021-01-05 10:56:04.383880,2021-01-05 11:04:19.119852,0 days 00:08:14.735972,relu,256,0.1,0.00022392395160351002,0.9,0.9999,-1.1041660132638482,0.004167996011998784,0.5,1,2048,medium,256,0.35911144362111536,,COMPLETE
49,49,42.419596999999996,2021-01-05 10:58:34.921510,2021-01-05 11:06:41.876297,0 days 00:08:06.954787,relu,256,0.1,0.0002076307436992984,0.9,0.9999,-0.9758737178461768,0.006073923973772454,0.5,1,1024,medium,32,0.32896337303951484,,COMPLETE
50,50,40.8594404,2021-01-05 10:59:44.714477,2021-01-05 11:11:40.664238,0 days 00:11:55.949761,relu,256,0.1,0.00021481910557635266,0.9,0.9999,-1.1876676643909458,0.0003764335487301053,1.0,10,1024,medium,32,0.15918253959025058,,COMPLETE
51,51,46.373764800000004,2021-01-05 11:04:19.149224,2021-01-05 13:07:24.400990,0 days 02:03:05.251766,relu,8,0.1,0.009153564546292806,0.9,0.95,-2.6453262701731863,0.00044021463027344083,1.0,10,1024,medium,32,0.17891370320301353,,COMPLETE
52,52,55.16719639999999,2021-01-05 11:06:41.917129,2021-01-05 11:17:37.724803,0 days 00:10:55.807674,relu,512,0.1,0.00650385875846179,1.0,0.95,-2.5991216829122004,0.002286532883229362,2.0,10,256,medium,64,0.16801165098755616,,COMPLETE
53,53,45.7427366,2021-01-05 11:11:40.702646,2021-01-05 11:26:13.375943,0 days 00:14:32.673297,relu,512,0.1,0.006927238869669313,1.0,0.95,-2.6297271706456464,0.00017060006845442878,2.0,20,256,medium,64,0.011876513907495667,,COMPLETE
54,54,45.270201400000005,2021-01-05 11:17:37.753330,2021-01-05 11:32:12.889576,0 days 00:14:35.136246,relu,512,0.1,0.007755433772975085,1.0,0.95,-2.6550165567133583,1.0493472077431002e-05,2.0,20,256,small,64,0.19626077217255058,,COMPLETE
55,55,43.753280800000006,2021-01-05 11:26:13.405517,2021-01-05 11:39:50.425532,0 days 00:13:37.020015,relu,512,0.1,0.034229001590516894,1.0,0.95,-1.413812787029387,0.0019450586599891334,2.0,20,256,small,64,0.19216958376806365,,COMPLETE
56,56,43.7520906,2021-01-05 11:32:12.929801,2021-01-05 14:05:43.476192,0 days 02:33:30.546391,relu,512,0.1,0.04552545442304405,1.0,0.95,-1.3773286258030066,0.0019464908722225836,2.0,20,8,medium,64,0.08344000926106035,,COMPLETE
57,57,45.3585414,2021-01-05 11:39:50.451754,2021-01-05 13:24:48.306840,0 days 01:44:57.855086,relu,512,0.1,0.013227661843150168,1.0,0.95,-2.0489114358753016,7.556964309991902e-05,1.0,10,8,medium,128,0.43587104172998203,,COMPLETE
58,58,-4241.1988402,2021-01-05 11:53:33.572294,2021-01-05 12:59:42.953448,0 days 01:06:09.381154,tanh,32,0.4,0.04216527732964033,0.99,0.95,-3.1431247041427315,9.270579035262746e-05,1.0,20,8,medium,128,0.44266211394361316,,PRUNED
59,59,-618.879,2021-01-05 12:59:42.966621,2021-01-05 13:14:40.958128,0 days 00:14:57.991507,tanh,32,0.4,0.010599307469080782,1.0,0.9999,-3.7396154239400157,0.0004015190794647611,1.0,20,1024,medium,256,0.31490762924849247,,PRUNED
