,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
25,25,0.0,2020-11-19 22:04:06.993407,2020-11-19 22:09:23.786084,0 days 00:05:16.792677,tanh,1.6471927756410666e-07,1.0,0.995,-3.8353742754211777,0.001953625068703191,constant,0.3,16.0,small,False,False,True,0.31009624434325844,COMPLETE
26,26,0.75,2020-11-19 22:04:20.034839,2020-11-19 22:08:20.498882,0 days 00:04:00.464043,tanh,3.3579393487985285e-08,1.0,0.9,-1.0079747427924834,0.00249430228286925,constant,0.6,16.0,medium,False,True,True,0.46885993146112404,PRUNED
27,27,0.75,2020-11-19 22:05:56.662836,2020-11-19 22:09:00.164553,0 days 00:03:03.501717,tanh,1.0236919552691555e-06,0.8,0.999,-1.3814144374945196,0.009348052016109403,linear,0.9,512.0,medium,True,True,False,0.6936491767857805,PRUNED
28,28,3.067812442779541,2020-11-19 22:08:20.517359,2020-11-19 22:13:08.253328,0 days 00:04:47.735969,tanh,3.2260509607584647e-08,0.9,0.995,-1.9364037234723699,0.0028788811277576007,linear,5.0,32.0,medium,False,False,True,0.04156744572156734,COMPLETE
29,29,0.75,2020-11-19 22:09:00.181512,2020-11-19 22:13:18.466126,0 days 00:04:18.284614,relu,0.0018313453766829384,1.0,0.9,-3.4499581651252162,1.140143150185785e-05,linear,1.0,64.0,medium,False,True,False,0.7045846483227611,PRUNED
30,30,0.75,2020-11-19 22:09:23.814900,2020-11-19 22:13:20.914086,0 days 00:03:57.099186,tanh,0.0732181921340382,0.92,0.995,-1.7209941515630813,7.006137540565276e-05,constant,5.0,2048.0,small,True,True,False,0.743657554457722,PRUNED
31,31,0.0,2020-11-19 22:13:08.283319,2020-11-19 22:14:27.436970,0 days 00:01:19.153651,relu,1.1308101751669515e-05,1.0,0.999,0.11267507998773763,0.023084311086752834,linear,0.5,256.0,medium,False,False,False,0.7542220359633458,PRUNED
32,32,0.75,2020-11-19 22:13:18.482846,2020-11-19 22:16:26.538189,0 days 00:03:08.055343,relu,6.187193269763764e-06,1.0,0.98,-0.7416028949353111,0.1354034267986203,linear,0.5,2048.0,small,True,True,True,0.4463612037806862,PRUNED
33,33,0.75,2020-11-19 22:13:20.933941,2020-11-19 22:17:03.930136,0 days 00:03:42.996195,relu,8.05632566132175e-05,0.98,0.9,-2.203679879834571,0.03755415429243785,constant,5.0,32.0,medium,True,False,False,0.6742245963634652,PRUNED
34,34,0.75,2020-11-19 22:14:27.456132,2020-11-19 22:19:54.908996,0 days 00:05:27.452864,relu,4.674664995943157e-08,0.95,0.95,0.515056992179102,0.00022055113164052252,constant,0.7,8.0,medium,True,True,False,0.42758141787856174,PRUNED
35,35,0.75,2020-11-19 22:16:26.556501,2020-11-19 22:19:57.406927,0 days 00:03:30.850426,relu,4.057980250915716e-08,0.9,0.95,-3.3424014722182176,0.00012887546260362647,constant,1.0,32.0,small,True,False,True,0.8715845840953625,PRUNED
36,36,5.56439208984375,2020-11-19 22:17:03.950650,2020-11-19 22:21:36.364091,0 days 00:04:32.413441,tanh,6.793472815071735e-06,1.0,0.95,-0.9299667593393761,0.00043849461165996405,constant,1.0,32.0,small,False,True,False,0.8297291945427263,COMPLETE
37,37,0.7622202038764954,2020-11-19 22:19:54.929820,2020-11-19 22:23:52.003431,0 days 00:03:57.073611,tanh,5.70348832484821e-05,0.98,0.995,-0.20671302847640227,1.9515682802118853e-05,linear,5.0,16.0,small,False,True,True,0.22685820975821858,PRUNED
