,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,0.0,2020-12-03 05:03:01.017144,2020-12-03 05:10:11.022828,0 days 00:07:10.005684,tanh,0.00034724786703574275,0.9,0.9,-2.230328836737968,0.0017877508533737016,linear,0.3,512,medium,False,True,True,0.5345715863601762,COMPLETE
1,1,0.75,2020-12-03 05:03:01.021818,2020-12-03 05:09:41.734047,0 days 00:06:40.712229,relu,4.15359630364333e-07,0.99,0.99,-1.5617100506565005,0.0001090710530411408,linear,0.5,128,small,True,False,True,0.7729825216112238,COMPLETE
2,2,0.0,2020-12-03 05:03:01.048994,2020-12-03 05:09:47.891313,0 days 00:06:46.842319,relu,2.171453537817379e-08,0.9,0.9,-2.0526775804964235,0.8488539866158056,linear,0.9,1024,small,False,True,False,0.37257637105661556,COMPLETE
3,3,0.75,2020-12-03 05:03:01.049893,2020-12-03 05:15:15.271943,0 days 00:12:14.222050,tanh,0.060435483552707364,0.95,0.95,-0.604335277789128,0.013210276766018526,constant,0.7,8,medium,True,True,False,0.7559393736865925,COMPLETE
4,4,0.75,2020-12-03 05:09:41.779610,2020-12-03 05:16:15.039174,0 days 00:06:33.259564,relu,1.2086729792761349e-05,0.95,0.99,-3.880619913174122,0.014042358511011861,linear,0.8,256,small,True,False,True,0.91728258617383,COMPLETE
5,5,0.0,2020-12-03 05:09:47.934948,2020-12-03 05:18:21.871393,0 days 00:08:33.936445,tanh,0.03226435465506236,0.9,0.995,0.4722022294470012,0.14577198075284237,linear,0.3,32,medium,True,True,True,0.08452206481195201,COMPLETE
6,6,0.75,2020-12-03 05:10:11.076961,2020-12-03 05:16:58.419234,0 days 00:06:47.342273,relu,1.243339036695548e-07,0.98,0.995,-3.5451809301874873,0.15494461919097158,constant,0.3,512,medium,False,False,True,0.4646944958641763,COMPLETE
7,7,0.0,2020-12-03 05:15:15.353389,2020-12-03 05:22:45.746179,0 days 00:07:30.392790,tanh,2.9106572610714517e-08,0.8,0.98,-2.749843108828558,0.034270781088505016,constant,0.9,512,medium,False,True,False,0.8490172338896966,COMPLETE
8,8,0.0,2020-12-03 05:16:15.089945,2020-12-03 05:25:42.485848,0 days 00:09:27.395903,tanh,2.007766016559564e-05,0.99,0.99,-0.8059950403554579,0.08972175520083797,linear,2.0,16,small,False,True,True,0.669729268602421,COMPLETE
9,9,0.75,2020-12-03 05:16:58.484084,2020-12-03 05:24:03.598753,0 days 00:07:05.114669,relu,4.404395032661086e-06,0.9,0.995,-1.516553340600514,0.7350209579021302,constant,0.8,1024,medium,True,True,True,0.14946260547169188,COMPLETE
