,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
0,0,104.8542132,2021-01-04 21:41:37.455901,2021-01-04 22:46:32.341924,0 days 01:04:54.886023,32,1000000,0.999,20000,-2.016650256635473,1.9949617831312828e-05,big,0.01,32,,COMPLETE
1,1,,2021-01-04 22:46:32.362927,2021-01-04 23:52:27.186135,0 days 01:05:54.823208,128,10000,0.99,10000,-3.5407723205243666,0.0885858566283152,medium,0.001,8,"Trial 1 failed, because the objective function returned nan.",FAIL
2,2,,2021-01-04 23:52:27.196462,2021-01-05 00:55:29.375085,0 days 01:03:02.178623,512,10000,0.9999,20000,-3.9186384505596004,0.0983073027793846,medium,0.01,512,"Trial 2 failed, because the objective function returned nan.",FAIL
3,3,,2021-01-05 00:55:29.385148,2021-01-05 02:00:22.129930,0 days 01:04:52.744782,256,100000,0.98,10000,-3.3144415328731616,0.006018648459970756,big,0.001,32,"Trial 3 failed, because the objective function returned nan.",FAIL
4,4,43.467468600000004,2021-01-05 02:00:22.140302,2021-01-05 03:06:12.792846,0 days 01:05:50.652544,64,100000,0.95,1000,-1.5238512255501746,0.36819757440048934,small,0.02,64,,COMPLETE
5,5,45.325206800000004,2021-01-05 03:06:12.811845,2021-01-05 04:08:04.456281,0 days 01:01:51.644436,128,1000000,0.9,20000,-2.803358967577814,0.0005023793569427319,small,0.001,16,,COMPLETE
6,6,,2021-01-05 04:08:04.555839,2021-01-05 05:15:27.816469,0 days 01:07:23.260630,256,100000,0.999,0,-2.0014647960408913,0.061733277147281856,medium,0.01,32,"Trial 6 failed, because the objective function returned nan.",FAIL
7,7,50.3723614,2021-01-05 05:15:27.824175,2021-01-05 06:21:11.120334,0 days 01:05:43.296159,64,100000,0.98,1000,0.4611162127844075,0.00037069442793953507,small,0.01,32,,COMPLETE
8,8,45.777773200000006,2021-01-05 06:21:11.156292,2021-01-05 07:27:28.505491,0 days 01:06:17.349199,16,1000000,0.98,1000,0.3790661844034222,0.004346126456370506,medium,0.02,256,,COMPLETE
9,9,161.0693464,2021-01-05 07:27:28.524126,2021-01-05 08:32:12.942311,0 days 01:04:44.418185,256,10000,0.9999,10000,0.600595533509793,0.0009587761250914834,big,0.005,64,,COMPLETE
10,10,35.7207828,2021-01-05 08:32:12.974901,2021-01-05 09:36:50.271409,0 days 01:04:37.296508,32,1000000,0.99,10000,-1.6084347168500215,0.008537677364900215,big,0.001,512,,COMPLETE
11,11,39.6379498,2021-01-05 09:36:50.290816,2021-01-05 10:36:44.162400,0 days 00:59:53.871584,32,100000,0.9,10000,-0.03428662407641747,0.0004956323121945264,small,0.001,8,,COMPLETE
12,12,,2021-01-05 10:36:44.181021,2021-01-05 11:36:37.068451,0 days 00:59:52.887430,128,100000,0.99,1000,-2.4445710690431524,0.08444486961036793,medium,0.01,256,"Trial 12 failed, because the objective function returned nan.",FAIL
13,13,37.8503178,2021-01-05 11:36:37.079032,2021-01-05 12:35:08.373144,0 days 00:58:31.294112,64,10000,0.99,10000,-0.6447458606901488,0.00010946204762707756,big,0.02,8,,COMPLETE
14,14,76.00224979999999,2021-01-05 12:35:08.391916,2021-01-05 13:32:30.733080,0 days 00:57:22.341164,16,10000,0.995,0,-2.6029246316904633,1.9908485486034003e-05,small,0.005,256,,COMPLETE
15,15,45.649576399999994,2021-01-05 13:32:30.752392,2021-01-05 14:17:24.329119,0 days 00:44:53.576727,256,10000,0.9999,10000,-0.5429471367188996,0.0493602389855479,big,0.005,128,,PRUNED
16,16,156.637619,2021-01-05 14:17:24.335017,2021-01-05 15:12:13.669471,0 days 00:54:49.334454,512,10000,0.999,20000,-3.809694192712792,1.0268030380591007e-05,big,0.01,32,,COMPLETE
17,17,,2021-01-05 15:12:13.700810,2021-01-05 15:25:58.144493,0 days 00:13:44.443683,512,10000,0.999,20000,-3.6661594442130503,0.04320747425664471,big,0.005,64,,PRUNED
18,18,140.8092284,2021-01-05 15:25:58.152633,2021-01-05 16:21:08.635644,0 days 00:55:10.483011,512,10000,0.9999,20000,-3.5010351707873495,1.5399046552303468e-05,medium,0.01,64,,COMPLETE
19,19,121.5302074,2021-01-05 16:21:08.655028,2021-01-05 17:17:34.024888,0 days 00:56:25.369860,256,10000,0.999,10000,0.942225199311964,9.70167643502921e-05,big,0.005,32,,COMPLETE
