,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
30,30,,2021-01-08 09:28:09.068654,2021-01-08 15:51:49.614179,0 days 06:23:40.545525,64,10000,0.9999,20000,0.9999999999999999,0.009568947119622851,small,0.02,512,"Trial 30 failed, because the objective function returned nan.",FAIL
31,31,155.9153188,2021-01-08 15:51:49.622001,2021-01-08 22:10:22.905731,0 days 06:18:33.283730,128,1000000,0.999,20000,-2.1255494955093814,0.00022115834352436848,medium,0.005,256,,COMPLETE
32,32,107.70682259999998,2021-01-08 22:10:22.924433,2021-01-09 04:19:11.883398,0 days 06:08:48.958965,128,100000,0.99,20000,-1.1609168128781056,0.0006871310393676367,medium,0.005,256,,COMPLETE
33,33,-4079.4306828,2021-01-09 04:19:11.903130,2021-01-09 06:02:18.973926,0 days 01:43:07.070796,64,10000,0.9,20000,0.9999999999999999,0.02728575605060351,big,0.001,512,,PRUNED
34,34,,2021-01-09 06:02:18.982020,2021-01-09 11:28:52.783747,0 days 05:26:33.801727,64,10000,0.95,20000,-1.4194181492270461,0.014159769070423359,small,0.01,512,"Trial 34 failed, because the objective function returned nan.",FAIL
35,35,,2021-01-09 11:28:52.791817,2021-01-09 13:01:10.533003,0 days 01:32:17.741186,64,1000000,0.9,20000,-3.789853620867144,0.04309793624008117,big,0.001,512,,PRUNED
36,36,,2021-01-09 13:01:10.540159,2021-01-09 18:06:41.952386,0 days 05:05:31.412227,64,10000,0.95,20000,-1.4554598757208597,0.014162804178083846,small,0.01,512,"Trial 36 failed, because the objective function returned nan.",FAIL
37,37,47.684051800000006,2021-01-09 18:06:41.960217,2021-01-09 23:25:22.810238,0 days 05:18:40.850021,64,1000000,0.9,20000,0.9999999999999999,0.04305804095520205,big,0.001,512,,COMPLETE
38,38,151.43264680000001,2021-01-09 23:25:22.829214,2021-01-10 04:16:50.263183,0 days 04:51:27.433969,64,100000,0.995,1000,-0.01861587046349955,1.979473502550219e-05,small,0.01,128,,COMPLETE
39,39,43.8558368,2021-01-10 04:16:50.282525,2021-01-10 05:40:35.692386,0 days 01:23:45.409861,256,10000,0.995,20000,0.9999999999999999,0.0019474852680082127,medium,0.005,256,,PRUNED
