,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
0,0,55.169048999999994,2021-01-07 20:30:04.112461,2021-01-07 21:49:56.238646,0 days 01:19:52.126185,512,10000,0.98,0,0.5050251935140748,0.00022278720935233078,medium,0.005,64,,COMPLETE
1,1,165.518488,2021-01-07 21:49:56.259811,2021-01-07 23:09:10.994848,0 days 01:19:14.735037,32,1000000,0.99,1000,0.1838976243417525,0.0002772337426230936,medium,0.02,32,,COMPLETE
2,2,166.868545,2021-01-07 23:09:11.028288,2021-01-08 00:26:29.430374,0 days 01:17:18.402086,64,100000,0.99,1000,-1.9351844246049419,2.5898810255946002e-05,big,0.02,64,,COMPLETE
3,3,,2021-01-08 00:26:29.450348,2021-01-08 01:41:20.857368,0 days 01:14:51.407020,16,100000,0.999,1000,-2.821598204047477,0.08961863692948976,small,0.005,128,"Trial 3 failed, because the objective function returned nan.",FAIL
4,4,67.784989,2021-01-08 01:41:20.866682,2021-01-08 02:57:49.374865,0 days 01:16:28.508183,64,10000,0.98,1000,-1.4478602123962236,2.563085233822151e-05,medium,0.005,8,,COMPLETE
5,5,-4076.058627,2021-01-08 02:57:49.393721,2021-01-08 04:11:31.235284,0 days 01:13:41.841563,512,100000,0.995,10000,-2.1490911684304717,0.10445392607719707,big,0.005,32,,COMPLETE
6,6,179.252978,2021-01-08 04:11:31.254698,2021-01-08 05:26:53.431094,0 days 01:15:22.176396,16,100000,0.99,1000,-2.127103993743342,0.021278989491622786,big,0.02,128,,COMPLETE
7,7,174.97255,2021-01-08 05:26:53.450274,2021-01-08 06:40:17.445078,0 days 01:13:23.994804,256,100000,0.995,10000,-0.6407842415544249,0.001332536190435966,medium,0.02,64,,COMPLETE
8,8,,2021-01-08 06:40:17.464360,2021-01-08 07:56:40.401578,0 days 01:16:22.937218,64,10000,0.9,0,-3.6222877661459334,0.01081568860122593,medium,0.001,64,"Trial 8 failed, because the objective function returned nan.",FAIL
9,9,57.576071999999996,2021-01-08 07:56:40.408727,2021-01-08 09:12:50.098941,0 days 01:16:09.690214,128,1000000,0.9,1000,0.3673295793284561,1.3205735901807018e-05,big,0.001,16,,COMPLETE
10,10,56.450099,2021-01-08 09:12:50.180877,2021-01-08 10:25:26.921510,0 days 01:12:36.740633,512,1000000,0.9,20000,-0.48835771757236346,0.009112101610321156,medium,0.005,32,,COMPLETE
11,11,182.096746,2021-01-08 10:25:26.953014,2021-01-08 11:41:41.772205,0 days 01:16:14.819191,128,10000,0.999,10000,-2.9981606132426135,0.0006377644854900174,small,0.01,128,,COMPLETE
12,12,53.25475300000001,2021-01-08 11:41:41.790404,2021-01-08 12:05:47.047548,0 days 00:24:05.257144,64,10000,0.98,1000,-3.3950443567528925,0.6895923370007165,big,0.01,64,,PRUNED
13,13,,2021-01-08 12:05:47.056884,2021-01-08 12:29:19.832102,0 days 00:23:32.775218,16,10000,0.9999,1000,-4.0,0.015371427470989688,big,0.02,512,,PRUNED
14,14,,2021-01-08 12:29:19.839437,2021-01-08 13:48:03.662453,0 days 01:18:43.823016,16,10000,0.9999,0,-4.0,0.015407704209818178,big,0.02,512,"Trial 14 failed, because the objective function returned nan.",FAIL
15,15,53.25475300000001,2021-01-08 13:48:03.672725,2021-01-08 14:11:28.880116,0 days 00:23:25.207391,16,100000,0.99,1000,-2.937273989545722,0.9999999999999999,big,0.02,512,,PRUNED
16,16,178.27387,2021-01-08 14:11:28.888547,2021-01-08 15:27:19.685772,0 days 01:15:50.797225,64,10000,0.999,10000,-0.8827490981772739,7.04042264550608e-05,small,0.01,128,,COMPLETE
17,17,53.25475300000001,2021-01-08 15:27:19.706021,2021-01-08 15:50:54.951356,0 days 00:23:35.245335,512,10000,0.999,0,-4.0,0.9999999999999999,medium,0.005,8,,PRUNED
18,18,53.25475300000001,2021-01-08 15:50:54.959377,2021-01-08 16:12:05.324226,0 days 00:21:10.364849,512,100000,0.999,10000,-4.0,0.9999999999999999,medium,0.005,8,,PRUNED
19,19,177.688599,2021-01-08 16:12:05.330911,2021-01-08 17:26:30.867318,0 days 01:14:25.536407,32,10000,0.995,20000,-1.0305085976286525,0.00043531298241230383,big,0.01,128,,COMPLETE
