,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
0,0,25.5127646,2020-12-31 05:12:08.037953,2020-12-31 05:54:17.966148,0 days 00:42:09.928195,128,100000,0.9,10000,-3.01497040263479,0.7032663349262348,small,0.02,128,,COMPLETE
1,1,34.7956874,2020-12-31 05:54:17.986182,2020-12-31 08:47:29.484096,0 days 02:53:11.497914,128,100000,0.98,20000,-3.109182384491455,3.716377484293896e-05,big,0.001,64,,COMPLETE
2,2,29.9761458,2020-12-31 08:47:29.505654,2020-12-31 10:30:24.824289,0 days 01:42:55.318635,64,10000,0.999,0,-0.9912665411569161,0.09761167940022893,big,0.01,16,,COMPLETE
3,3,27.9646074,2020-12-31 10:30:24.857825,2020-12-31 12:11:12.165790,0 days 01:40:47.307965,32,100000,0.9999,10000,-0.2574018812913468,0.08485425579309262,medium,0.005,16,,COMPLETE
4,4,32.5329402,2020-12-31 12:11:12.187823,2020-12-31 13:49:46.659430,0 days 01:38:34.471607,16,100000,0.995,10000,-1.5016039539277832,0.08579523146456206,medium,0.005,512,,COMPLETE
5,5,,2020-12-31 13:49:46.675557,,,128,10000,0.995,0,-2.346811003022262,1.505987678746468e-05,medium,0.01,16,,RUNNING
6,6,21.6324772,2021-01-01 18:12:08.082281,2021-01-01 20:31:26.212852,0 days 02:19:18.130571,32,1000000,0.995,0,-2.418146455618004,0.0002914721373921175,small,0.005,16,,COMPLETE
7,7,,2021-01-01 20:31:26.235027,2021-01-01 22:54:03.276556,0 days 02:22:37.041529,512,100000,0.9,0,-1.9523727582415087,0.029575349458600197,big,0.005,256,"Trial 7 failed, because the objective function returned nan.",FAIL
8,8,39.522377,2021-01-01 22:54:03.287462,2021-01-02 01:15:23.604188,0 days 02:21:20.316726,512,10000,0.98,0,-1.9927519012284458,9.256606523855598e-05,small,0.001,128,,COMPLETE
9,9,35.72092260000001,2021-01-02 01:15:23.626316,2021-01-02 03:31:22.181566,0 days 02:15:58.555250,16,1000000,0.999,20000,-2.768304479377011,0.2373620361604695,medium,0.005,512,,COMPLETE
10,10,25.1745212,2021-01-02 03:31:22.203082,2021-01-02 05:49:18.266220,0 days 02:17:56.063138,32,1000000,0.98,20000,-3.712776468951194,0.18154499457499945,medium,0.005,8,,COMPLETE
11,11,28.157125999999998,2021-01-02 05:49:18.286103,2021-01-02 08:09:58.363593,0 days 02:20:40.077490,64,100000,0.95,20000,-2.2928960164550967,0.09693705064133178,big,0.02,16,,COMPLETE
12,12,46.2311828,2021-01-02 08:09:58.455580,2021-01-02 10:31:21.990871,0 days 02:21:23.535291,512,10000,0.99,1000,0.6182256830963944,0.001861943715009886,small,0.001,256,,COMPLETE
13,13,37.9717928,2021-01-02 10:31:22.011826,2021-01-02 12:53:09.388151,0 days 02:21:47.376325,512,10000,0.99,1000,0.2642311179388157,0.002603527482609495,small,0.001,256,,COMPLETE
14,14,50.65358880000001,2021-01-02 12:53:09.409556,2021-01-02 15:14:56.321869,0 days 02:21:46.912313,512,10000,0.99,1000,0.8968102735050644,1.5056558625346127e-05,small,0.001,128,,COMPLETE
15,15,,2021-01-02 15:14:56.343132,2021-01-02 15:57:25.624341,0 days 00:42:29.281209,256,10000,0.99,1000,0.9265315737802675,0.004064858633009833,small,0.001,256,,PRUNED
16,16,22.821317999999998,2021-01-02 15:57:25.634350,2021-01-02 18:19:08.168343,0 days 02:21:42.533993,512,10000,0.99,1000,0.905589709842061,1.0327461561368847e-05,small,0.001,32,,COMPLETE
17,17,37.939004999999995,2021-01-02 18:19:08.184690,2021-01-02 20:37:43.533395,0 days 02:18:35.348705,512,10000,0.99,1000,0.043478722527819924,0.004501504582529802,small,0.01,256,,COMPLETE
18,18,37.6775216,2021-01-02 20:37:43.555448,2021-01-02 22:37:00.383220,0 days 01:59:16.827772,512,10000,0.99,1000,-0.5498435675825948,0.0009739642700192907,small,0.001,128,,COMPLETE
19,19,47.5691616,2021-01-02 22:37:00.404921,2021-01-03 00:40:45.005133,0 days 02:03:44.600212,256,10000,0.99,1000,0.8137313132069524,1.000711484355871e-05,small,0.001,256,,COMPLETE
20,20,43.06103900000001,2021-01-03 00:40:45.042757,2021-01-03 02:40:32.985502,0 days 01:59:47.942745,256,10000,0.9999,1000,0.9908001609435817,2.1292308069786273e-05,small,0.001,128,,COMPLETE
21,21,35.4285062,2021-01-03 02:40:33.007119,2021-01-03 03:31:12.919553,0 days 00:50:39.912434,256,10000,0.95,1000,-0.8256098886818053,0.00010999312577502169,small,0.01,64,,PRUNED
22,22,29.729637200000003,2021-01-03 03:31:12.929135,2021-01-03 05:38:36.690588,0 days 02:07:23.761453,256,10000,0.9,1000,0.43141481412971017,1.1656678171547397e-05,big,0.02,32,,COMPLETE
23,23,,2021-01-03 05:38:36.724505,2021-01-03 06:16:02.789003,0 days 00:37:26.064498,512,10000,0.99,1000,0.5694546770686526,0.01032955208521158,small,0.001,256,,PRUNED
24,24,,2021-01-03 06:16:02.800503,2021-01-03 08:15:38.497694,0 days 01:59:35.697191,512,10000,0.99,1000,0.6616711820008787,0.020119525089034137,small,0.001,256,"Trial 24 failed, because the objective function returned nan.",FAIL
25,25,42.4484874,2021-01-03 08:15:38.508535,2021-01-03 10:13:17.983294,0 days 01:57:39.474759,512,10000,0.99,1000,0.9656912626943754,0.0004846215898248489,small,0.001,256,,COMPLETE
