,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
0,0,0.75,2020-12-03 05:01:38.698280,2020-12-03 05:34:12.417231,0 days 00:32:33.718951,tanh,64,0.1,0.00013260749610783412,0.8,0.995,0.3530092093215931,0.01781779192028853,0.7,10,32,small,128,0.09268936114739623,COMPLETE
1,1,0.75,2020-12-03 05:01:38.712178,2020-12-03 06:07:32.377277,0 days 01:05:53.665099,tanh,16,0.3,8.938753945086863e-07,0.92,0.95,-2.980148253681845,0.00015928839714584165,0.8,10,2048,medium,32,0.3464740339658887,COMPLETE
2,2,0.75,2020-12-03 05:01:38.725710,2020-12-03 05:18:46.603025,0 days 00:17:07.877315,relu,8,0.1,0.004336431156300321,0.92,0.9,-0.5634477108702511,0.05859380160848095,0.5,1,32,medium,256,0.3361197049618967,COMPLETE
3,3,0.75,2020-12-03 05:01:38.741029,2020-12-03 06:01:39.280384,0 days 01:00:00.539355,tanh,64,0.1,1.1691711170408742e-07,1.0,0.9,-3.891647765454285,0.8869435785254024,0.9,5,8,medium,128,0.26083451347537767,COMPLETE
4,4,0.75,2020-12-03 05:18:46.641591,2020-12-03 06:23:49.974395,0 days 01:05:03.332804,relu,8,0.4,0.021648421167117533,0.92,0.999,0.01691521611998681,0.017581054070669126,0.8,5,256,small,128,0.9213341074747475,COMPLETE
5,5,0.75,2020-12-03 05:34:12.446437,2020-12-03 06:06:33.117978,0 days 00:32:20.671541,tanh,256,0.2,6.353387497926687e-05,0.95,0.995,-3.35842492140471,2.094297258243972e-05,5.0,5,16,small,64,0.13005863304486698,COMPLETE
6,6,0.75,2020-12-03 06:01:39.317275,2020-12-03 07:52:55.323736,0 days 01:51:16.006461,tanh,512,0.4,1.4969981141224686e-07,0.98,0.95,-3.1332024998165835,0.9101720502883525,5.0,20,16,medium,256,0.4259018915120706,COMPLETE
7,7,0.75,2020-12-03 06:06:33.152577,2020-12-03 06:14:29.476338,0 days 00:07:56.323761,tanh,32,0.3,0.00040993671046575964,1.0,0.9,-1.9793691713511592,0.018637957228135868,2.0,1,256,small,-1,0.5685729105365736,COMPLETE
8,8,0.75,2020-12-03 06:07:32.416627,2020-12-03 06:41:09.758396,0 days 00:33:37.341769,relu,64,0.2,0.00022516851137456496,0.92,0.99,-0.34618362427645843,0.11574058511381559,5.0,20,512,small,-1,0.17413516561499953,COMPLETE
9,9,0.75,2020-12-03 06:14:29.523159,2020-12-03 07:17:42.557617,0 days 01:03:13.034458,tanh,16,0.4,1.0806213167310956e-05,0.8,0.995,0.09856347581392466,0.034913914130486376,0.8,5,8,small,8,0.5802282541928103,COMPLETE
