,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
0,0,,2020-11-21 05:18:46.467660,,,tanh,64,0.2,1.1799745049874423e-05,0.92,0.9,-3.621327186890331,0.30894945816832714,0.6,20,32,medium,256,0.11308659396878773,RUNNING
1,1,5.936396598815918,2020-11-21 05:18:46.837346,2020-11-21 05:38:03.138979,0 days 00:19:16.301633,relu,16,0.1,0.0005620867461169296,0.8,0.999,-2.5507219845523497,1.568471255814354e-05,0.8,1,2048,medium,64,0.5942844132759744,COMPLETE
2,2,,2020-11-21 05:18:46.949596,,,relu,64,0.1,6.16240387949417e-06,0.98,0.9,0.8519210688735308,1.8412894947123393e-05,0.5,10,32,medium,8,0.855996844356521,RUNNING
3,3,1.7760566473007202,2020-11-21 05:18:46.988675,2020-11-21 05:37:45.327979,0 days 00:18:58.339304,tanh,64,0.3,0.0003118091357568277,0.98,0.999,-3.019923950409373,0.01114873218715894,0.9,5,512,small,8,0.33277889575182096,COMPLETE
4,4,0.75,2020-11-21 05:37:45.388114,2020-11-21 06:02:22.226776,0 days 00:24:36.838662,tanh,512,0.2,2.5635841673212794e-08,0.95,0.98,-2.2687284985367135,0.43979846518641824,0.9,1,8,small,32,0.4098407563116474,COMPLETE
5,5,,2020-11-21 05:38:03.327690,,,relu,16,0.2,1.7845118476627263e-06,0.98,0.99,-2.9607702435917336,1.7336799728397974e-05,0.7,5,2048,small,8,0.37731731220045417,RUNNING
6,6,,2020-11-21 06:02:22.287802,,,tanh,128,0.3,7.588581138815655e-06,0.95,0.99,-0.611528306212108,4.0709878727162655e-05,1.0,10,256,medium,64,0.7487342110936425,RUNNING
