,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
23,23,7.652364253997803,2020-11-20 03:50:45.589140,2020-11-20 05:39:27.542472,0 days 01:48:41.953332,tanh,32.0,0.1,4.420381724453125e-06,0.8,0.999,-2.0269695459508923,3.7512046000241935e-05,0.5,10.0,8.0,small,-1.0,0.8912708696060504,,COMPLETE
24,24,0.75,2020-11-20 03:51:06.366923,2020-11-20 04:46:17.876147,0 days 00:55:11.509224,tanh,8.0,0.3,0.001386849591551608,0.95,0.95,-0.4897222347979988,7.143104591525305e-05,0.8,5.0,256.0,medium,256.0,0.8675378804284678,,COMPLETE
25,25,1.7309150695800781,2020-11-20 04:46:17.928475,2020-11-20 08:27:23.614349,0 days 03:41:05.685874,tanh,8.0,0.3,0.0027217374229924333,0.98,0.98,-1.119796921624154,0.0038504612201368834,0.8,20.0,32.0,small,32.0,0.9524848868910868,,COMPLETE
26,26,0.75,2020-11-20 05:21:51.846695,2020-11-20 05:53:37.449866,0 days 00:31:45.603171,tanh,64.0,0.2,1.7993727058197395e-08,0.98,0.9,-0.13138259260151708,2.0482169980441965e-05,0.8,20.0,1024.0,small,64.0,0.3011105677774615,,COMPLETE
27,27,0.75,2020-11-20 05:39:27.573518,2020-11-20 05:47:16.918072,0 days 00:07:49.344554,relu,32.0,0.3,9.86708296033689e-06,0.8,0.995,-2.505312912936712,0.9481457028473397,0.6,1.0,32.0,medium,256.0,0.6667060033487981,,COMPLETE
28,28,1.1014074087142944,2020-11-20 05:47:16.950303,2020-11-20 05:59:13.988817,0 days 00:11:57.038514,relu,128.0,0.4,0.000130727549242928,0.9,0.9999,-2.4852773674923236,0.026318264793156396,0.5,10.0,2048.0,medium,32.0,0.2692996310882384,,COMPLETE
29,29,7.544102668762207,2020-11-20 05:53:37.499583,2020-11-20 06:56:17.900069,0 days 01:02:40.400486,tanh,8.0,0.2,3.849049469959421e-05,0.92,0.95,-0.7291549872664524,0.0018576081925924877,1.0,5.0,32.0,small,256.0,0.14889928917369322,,COMPLETE
30,30,6.5547332763671875,2020-11-20 05:59:14.021637,2020-11-20 06:11:15.850818,0 days 00:12:01.829181,tanh,64.0,0.2,2.6689229390046733e-08,0.9,0.95,0.03932126808155623,0.007025576636165859,0.9,5.0,128.0,small,8.0,0.1978711174406098,,COMPLETE
31,31,,2020-11-20 06:11:15.895688,,,tanh,128.0,0.2,0.06890332920977621,0.95,0.9999,0.4596537332632975,0.00013022966459637984,0.9,20.0,8.0,medium,-1.0,0.7140641949146707,,RUNNING
32,32,,2020-11-20 06:51:48.106262,,,tanh,256.0,0.4,0.030804047870613863,1.0,0.995,-3.6273849788325148,0.12451750546039782,0.9,20.0,8.0,medium,32.0,0.8710918770963403,,RUNNING
33,33,0.9343894720077515,2020-11-20 06:56:17.935403,2020-11-20 07:01:13.302963,0 days 00:04:55.367560,tanh,512.0,0.2,0.0006247012978377378,0.99,0.98,-1.451501085440392,0.055288762745745734,0.6,1.0,1024.0,small,-1.0,0.43307235178838965,,COMPLETE
34,34,0.75,2020-11-20 07:01:13.354483,2020-11-20 07:16:50.340348,0 days 00:15:36.985865,relu,8.0,0.2,8.789950727727283e-05,0.9,0.995,-1.178064524684209,0.01020610169824958,5.0,1.0,128.0,medium,256.0,0.536517172261552,,COMPLETE
35,35,1.1041004657745361,2020-11-20 07:16:50.386672,2020-11-20 07:25:03.219902,0 days 00:08:12.833230,relu,128.0,0.1,0.056825300420908866,0.99,0.99,-0.5909127544461317,0.00012936716941666843,0.5,5.0,1024.0,medium,64.0,0.9731135580136485,,COMPLETE
36,36,0.75,2020-11-20 07:25:03.277046,2020-11-20 07:58:55.656558,0 days 00:33:52.379512,tanh,64.0,0.4,0.003013688157973016,0.9,0.99,-2.173400537320692,0.002264007493806242,0.5,20.0,128.0,medium,64.0,0.27685588291274144,,COMPLETE
37,37,1.0096378326416016,2020-11-20 07:58:55.689285,2020-11-20 08:17:37.784174,0 days 00:18:42.094889,relu,64.0,0.2,0.000248308512444093,0.8,0.9999,0.8173785069623012,0.010703340049825366,0.5,10.0,128.0,medium,256.0,0.24362891130666187,,COMPLETE
38,38,1.2721476554870605,2020-11-20 08:17:37.850808,2020-11-20 08:34:45.766716,0 days 00:17:07.915908,relu,128.0,0.1,3.781465204638212e-08,0.95,0.999,0.37302745286821537,0.00031034999805483503,0.7,1.0,8.0,medium,64.0,0.8951596003173341,,COMPLETE
39,39,,2020-11-20 08:27:23.650454,,,tanh,16.0,0.4,0.01442058277127748,0.9,0.995,0.7845048647982322,0.10890128705664301,0.3,5.0,32.0,medium,8.0,0.30369176694844024,,RUNNING
40,40,,2020-11-20 08:34:45.800269,,,tanh,16.0,0.3,2.107211392961057e-05,0.8,0.995,0.8503204955160424,4.9629729447174615e-05,0.3,20.0,32.0,medium,8.0,0.1267412103514789,,RUNNING
