,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
23,23,0.75,2020-12-03 08:23:32.993026,2020-12-03 09:00:17.929327,0 days 00:36:44.936301,tanh,32,0.3,0.011131609366907566,0.95,0.995,-2.190394647145611,0.007671659423638187,0.6,10,256,small,32,0.4650894949179005,COMPLETE
24,24,0.75,2020-12-03 08:36:26.683986,2020-12-03 08:58:26.162431,0 days 00:21:59.478445,tanh,128,0.3,1.082534726633625e-08,0.95,0.95,0.21356270385807719,0.008029988351912716,0.5,5,32,small,16,0.42324307874560163,COMPLETE
25,25,0.75,2020-12-03 08:38:39.730934,2020-12-03 08:47:50.562214,0 days 00:09:10.831280,relu,128,0.3,7.736907328638099e-05,1.0,0.9999,0.7641025653509157,1.623483510806485e-05,2.0,5,1024,small,16,0.7657823011202722,COMPLETE
26,26,0.75,2020-12-03 08:47:50.591582,2020-12-03 09:05:28.578738,0 days 00:17:37.987156,relu,8,0.1,0.0027057969056473665,0.98,0.9,-1.1854586983126119,1.238907139510872e-05,2.0,1,8,medium,16,0.18582304287379192,COMPLETE
27,27,0.75,2020-12-03 08:58:26.190512,2020-12-03 09:33:55.186282,0 days 00:35:28.995770,tanh,128,0.1,3.490339553816092e-06,0.99,0.98,-1.4358724109202097,0.000795656066225497,0.9,5,16,medium,8,0.18587635264311042,COMPLETE
28,28,,2020-12-03 09:00:17.982951,,,relu,32,0.2,0.002062865185361744,0.8,0.9,-1.889583605763482,0.002272615605977655,2.0,20,8,small,64,0.6722562195268477,RUNNING
29,29,0.75,2020-12-03 09:05:28.610955,2020-12-03 09:38:45.758351,0 days 00:33:17.147396,relu,128,0.3,4.251955207441223e-07,0.95,0.9,-2.1049145593287095,0.15349060299529957,1.0,5,16,small,32,0.3733248915757831,COMPLETE
30,30,0.75,2020-12-03 09:33:55.219277,2020-12-03 09:52:12.381615,0 days 00:18:17.162338,tanh,128,0.1,0.00027308498021616696,0.92,0.995,-0.19209858318408068,0.008143985005196919,2.0,1,8,medium,32,0.5795896709081508,COMPLETE
31,31,0.75,2020-12-03 09:38:45.800240,2020-12-03 09:58:27.442351,0 days 00:19:41.642111,tanh,128,0.3,2.889681176323264e-06,1.0,0.98,-1.408984367744853,9.572567683364449e-05,0.9,10,64,small,64,0.06008959078701337,COMPLETE
32,32,0.75,2020-12-03 09:52:12.564204,2020-12-03 10:11:53.031787,0 days 00:19:40.467583,tanh,64,0.2,5.84945475038189e-07,0.95,0.95,-1.670314333492501,0.06563954111584028,0.8,10,512,small,-1,0.09738105627627858,COMPLETE
33,33,,2020-12-03 09:58:27.470402,,,relu,128,0.2,0.019336984695374138,0.9,0.98,-2.6474104971461103,5.155888856314754e-05,0.7,10,16,medium,16,0.8297067898522712,RUNNING
34,34,,2020-12-03 10:11:53.073015,,,tanh,512,0.1,4.3710781002774803e-07,0.99,0.9999,-0.3491937300031247,0.05871929191584248,0.8,5,8,medium,128,0.541865710974367,RUNNING
