,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,0.0,2020-12-22 19:24:43.006920,2020-12-22 21:44:07.385235,0 days 02:19:24.378315,16,10000,True,0.995,0.02324880874053607,medium,0.6208517932312526,,0.001,,COMPLETE
1,1,0.0,2020-12-22 19:24:43.030982,2020-12-22 21:43:32.433019,0 days 02:18:49.402037,256,1000000,False,0.995,0.09446793010510059,big,0.3793657151944131,,0.02,128.0,COMPLETE
2,2,0.75,2020-12-22 19:24:43.035250,2020-12-22 21:49:16.039022,0 days 02:24:33.003772,64,1000000,False,0.9999,0.0005477954688256353,medium,0.9442178044490164,normal,0.02,256.0,COMPLETE
3,3,0.75,2020-12-22 19:24:43.059120,2020-12-22 21:38:56.527289,0 days 02:14:13.468169,256,1000000,True,0.999,0.009736185486234778,medium,0.7865198779885124,ornstein-uhlenbeck,0.001,,COMPLETE
4,4,0.75,2020-12-22 21:38:56.560109,2020-12-22 23:53:36.789916,0 days 02:14:40.229807,512,10000,False,0.999,0.10512921624273922,medium,0.824967484351773,ornstein-uhlenbeck,0.01,128.0,COMPLETE
5,5,0.75,2020-12-22 21:43:32.478878,2020-12-23 00:05:13.617781,0 days 02:21:41.138903,256,1000000,False,0.995,0.001620463559034645,big,0.3231014593218594,,0.005,128.0,COMPLETE
6,6,0.75,2020-12-22 21:44:07.417615,2020-12-23 00:07:09.066974,0 days 02:23:01.649359,32,1000000,False,0.95,0.0011163353245768985,medium,0.9401685276198023,,0.01,1000.0,COMPLETE
7,7,7.613443999999999,2020-12-22 21:49:16.083394,2020-12-23 00:16:31.276223,0 days 02:27:15.192829,512,1000000,False,0.99,5.590616937146229e-05,medium,0.6993430085456375,,0.001,256.0,COMPLETE
8,8,0.0,2020-12-22 23:53:36.829571,2020-12-23 02:07:06.248971,0 days 02:13:29.419400,256,1000000,True,0.99,0.015378128149313598,small,0.10708173878033511,normal,0.01,,COMPLETE
9,9,0.75,2020-12-23 00:05:13.660434,2020-12-23 02:11:46.369908,0 days 02:06:32.709474,100,100000,True,0.98,0.8738341612758701,small,0.9419079055185267,normal,0.02,,COMPLETE
10,10,0.75,2020-12-23 00:07:09.096306,2020-12-23 02:20:15.652531,0 days 02:13:06.556225,128,10000,False,0.99,0.020381965946109745,medium,0.9887575045465546,ornstein-uhlenbeck,0.02,256.0,COMPLETE
11,11,0.75,2020-12-23 00:16:31.309163,2020-12-23 02:32:52.768279,0 days 02:16:21.459116,100,10000,False,0.9999,0.020357479063835213,big,0.7459597789973503,normal,0.01,256.0,COMPLETE
12,12,7.395887,2020-12-23 02:07:06.281698,2020-12-23 04:12:50.644798,0 days 02:05:44.363100,128,100000,False,0.999,1.4264927471347445e-05,medium,0.8594755275539174,,0.001,16.0,COMPLETE
13,13,0.75,2020-12-23 02:11:46.398614,2020-12-23 04:17:35.609824,0 days 02:05:49.211210,100,1000000,False,0.999,0.016947065680528145,small,0.7960900018575813,ornstein-uhlenbeck,0.005,2000.0,COMPLETE
14,14,0.75,2020-12-23 02:20:15.695262,2020-12-23 04:28:53.775668,0 days 02:08:38.080406,16,10000,False,0.9,0.7601132307100751,big,0.865144266657174,,0.005,256.0,COMPLETE
