,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
30,30,4.634761,2021-06-02 12:18:47.309700,2021-06-02 14:16:17.259593,0 days 01:57:29.949893,128,1000000,True,0.98,0.002096250020376041,small,0.4119976975725498,normal,0.005,,COMPLETE
31,31,0.75,2021-06-02 12:41:03.805886,2021-06-02 14:41:52.421052,0 days 02:00:48.615166,256,1000000,True,0.95,0.0015997691914068457,small,0.3902534274703676,normal,0.01,,COMPLETE
32,32,7.57029,2021-06-02 13:42:30.869184,2021-06-02 15:36:12.223909,0 days 01:53:41.354725,32,10000,False,0.99,0.0021380506585136926,small,0.759624849289351,normal,0.01,1.0,COMPLETE
33,33,0.0,2021-06-02 13:58:29.829009,2021-06-02 14:32:31.234049,0 days 00:34:01.405040,32,10000,False,0.98,0.09204158295876504,small,0.39401729926817514,normal,0.01,1.0,PRUNED
34,34,0.75,2021-06-02 14:16:17.300913,2021-06-02 16:12:42.545405,0 days 01:56:25.244492,128,10000,True,0.95,0.0028182055430035135,small,0.7398313908622344,normal,0.01,,COMPLETE
35,35,0.75,2021-06-02 14:32:31.247133,2021-06-02 16:24:52.684576,0 days 01:52:21.437443,128,1000000,True,0.99,0.0026546818865931404,small,0.758637960259666,normal,0.005,,COMPLETE
36,36,0.75,2021-06-02 14:41:52.441613,2021-06-02 16:36:54.859014,0 days 01:55:02.417401,128,1000000,True,0.99,0.00028525456106345354,small,0.754862656263749,normal,0.005,,COMPLETE
37,37,7.062348,2021-06-02 15:36:12.247665,2021-06-02 17:21:07.225962,0 days 01:44:54.978297,32,10000,False,0.99,0.004195244291415905,small,0.7487916426398958,normal,0.01,1.0,COMPLETE
38,38,0.0,2021-06-02 16:12:42.580081,2021-06-02 16:43:23.673684,0 days 00:30:41.093603,32,10000,False,0.99,0.13113111898944643,small,0.8758608159359953,normal,0.01,1.0,PRUNED
39,39,0.0,2021-06-02 16:24:52.721604,2021-06-02 16:56:47.808925,0 days 00:31:55.087321,32,10000,False,0.99,0.0976149062048246,small,0.8375800366909907,normal,0.01,1.0,PRUNED
40,40,0.75,2021-06-02 16:36:54.883415,2021-06-02 18:23:47.618239,0 days 01:46:52.734824,32,10000,False,0.99,0.04568208047907821,small,0.8312184425556056,normal,0.01,1.0,COMPLETE
41,41,0.75,2021-06-02 16:43:23.686641,2021-06-02 18:27:17.037463,0 days 01:43:53.350822,100,10000,False,0.9999,0.005058867580768956,small,0.24112805804903528,normal,0.01,256.0,COMPLETE
42,42,0.75,2021-06-02 16:56:47.820254,2021-06-02 18:38:00.823625,0 days 01:41:13.003371,100,10000,False,0.95,0.00406170936789726,small,0.23127876194609973,normal,0.01,2000.0,COMPLETE
43,43,7.707728999999999,2021-06-02 17:21:07.256551,2021-06-02 19:00:23.352982,0 days 01:39:16.096431,100,10000,False,0.9999,0.004897716144310136,small,0.22785844264687588,ornstein-uhlenbeck,0.01,2000.0,COMPLETE
44,44,0.75,2021-06-02 18:23:47.654012,2021-06-02 20:08:10.144745,0 days 01:44:22.490733,64,1000000,False,0.999,2.5262518427809914e-05,small,0.4864046941313517,ornstein-uhlenbeck,0.005,256.0,COMPLETE
