,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,148.708586,2020-12-18 05:55:57.472999,2020-12-18 06:10:44.115744,0 days 00:14:46.642745,100,10000,True,0.99,0.08020794892210051,small,0.6599811353660157,,,COMPLETE
1,1,148.708586,2020-12-18 06:10:44.149766,2020-12-18 06:26:18.090078,0 days 00:15:33.940312,128,1000000,True,0.999,0.15003899078487795,medium,0.7329279452502004,,,COMPLETE
2,2,148.708586,2020-12-18 06:26:18.122037,2020-12-18 06:41:28.914596,0 days 00:15:10.792559,16,100000,True,0.9,0.023887542994445232,small,0.13699192107657931,ornstein-uhlenbeck,,COMPLETE
3,3,148.708586,2020-12-18 06:41:28.933039,2020-12-18 06:56:32.001927,0 days 00:15:03.068888,64,1000000,False,0.9999,0.5111523487820979,small,0.09192778511765165,,256.0,COMPLETE
4,4,148.708586,2020-12-18 06:56:32.032301,2020-12-18 07:11:15.419247,0 days 00:14:43.386946,512,100000,True,0.995,0.02002934885334727,small,0.5736674572335674,ornstein-uhlenbeck,,COMPLETE
5,5,148.708586,2020-12-18 07:11:15.437991,2020-12-18 07:25:01.685235,0 days 00:13:46.247244,128,100000,False,0.98,0.00876348066117191,small,0.43801850035657053,,256.0,COMPLETE
6,6,148.708586,2020-12-18 07:25:01.703356,2020-12-18 07:39:22.116868,0 days 00:14:20.413512,100,1000000,False,0.9999,0.010253354301875156,big,0.4305889427662639,normal,1000.0,COMPLETE
7,7,148.708586,2020-12-18 07:39:22.137380,2020-12-18 07:53:10.622102,0 days 00:13:48.484722,64,1000000,True,0.98,0.13397394451741174,small,0.2016215397748039,normal,,COMPLETE
8,8,148.708586,2020-12-18 07:53:10.640119,2020-12-18 08:06:56.939211,0 days 00:13:46.299092,32,10000,True,0.995,0.06037866239944696,small,0.40807453579211794,normal,,COMPLETE
9,9,148.708586,2020-12-18 08:06:56.957477,2020-12-18 08:21:25.399115,0 days 00:14:28.441638,64,10000,True,0.9999,0.01292596534506416,medium,0.3405183569381903,ornstein-uhlenbeck,,COMPLETE
10,10,148.708586,2020-12-18 08:21:25.417993,2020-12-18 08:35:32.248336,0 days 00:14:06.830343,32,100000,False,0.9999,0.11432100632705708,medium,0.1595435801642724,,1000.0,COMPLETE
11,11,441.286351,2020-12-18 08:35:32.267309,2020-12-18 08:49:22.114875,0 days 00:13:49.847566,32,1000000,False,0.999,0.0003981832552437621,small,0.025846373260308142,normal,16.0,COMPLETE
12,12,458.520947,2020-12-18 08:49:22.133614,2020-12-18 09:03:26.239286,0 days 00:14:04.105672,512,1000000,False,0.995,0.0001333249749082557,medium,0.6638677781900726,normal,128.0,COMPLETE
13,13,148.708586,2020-12-18 09:03:26.259277,2020-12-18 09:17:25.739639,0 days 00:13:59.480362,512,100000,True,0.99,0.004307546206226663,medium,0.7848081395772303,ornstein-uhlenbeck,,COMPLETE
14,14,148.708586,2020-12-18 09:17:25.764067,2020-12-18 09:31:25.474665,0 days 00:13:59.710598,256,1000000,True,0.98,0.0014608802906571439,big,0.7015972526682427,,,COMPLETE
15,15,148.708586,2020-12-18 09:31:25.495366,2020-12-18 09:45:26.365237,0 days 00:14:00.869871,256,1000000,True,0.995,0.48482795177151894,small,0.8533795637395327,ornstein-uhlenbeck,,COMPLETE
16,16,448.962348,2020-12-18 09:45:26.384367,2020-12-18 09:59:40.294481,0 days 00:14:13.910114,256,10000,False,0.999,1.7810530807824548e-05,medium,0.2978845680320108,normal,2000.0,COMPLETE
17,17,433.69810500000006,2020-12-18 09:59:40.313834,2020-12-18 10:13:30.731464,0 days 00:13:50.417630,100,1000000,False,0.995,0.0007535021300443323,small,0.3670921367202694,normal,16.0,COMPLETE
18,18,148.708586,2020-12-18 10:13:30.749830,2020-12-18 10:27:57.885966,0 days 00:14:27.136136,100,100000,False,0.98,0.10986416746413608,big,0.21569051458724553,normal,2000.0,COMPLETE
19,19,454.650268,2020-12-18 10:27:57.904175,2020-12-18 10:44:59.993312,0 days 00:17:02.089137,128,10000,False,0.95,0.002418477031160357,small,0.28883006746587214,ornstein-uhlenbeck,1.0,COMPLETE
20,20,446.125759,2020-12-18 19:10:56.631806,2020-12-18 19:41:30.287296,0 days 00:30:33.655490,256,100000,False,0.9,0.008323274307808432,small,0.8196592349899358,ornstein-uhlenbeck,128.0,COMPLETE
21,21,446.125759,2020-12-18 19:41:30.308018,2020-12-18 20:20:54.790188,0 days 00:39:24.482170,100,10000,False,0.999,0.004216519676303435,big,0.6386667580354373,normal,1.0,COMPLETE
22,22,446.125759,2020-12-18 20:20:54.809602,2020-12-18 20:50:18.414413,0 days 00:29:23.604811,128,10000,False,0.9999,0.005890708884221951,big,0.6821185665051792,normal,2000.0,COMPLETE
23,23,446.125759,2020-12-18 20:50:18.433580,2020-12-18 21:19:18.095282,0 days 00:28:59.661702,128,1000000,True,0.9999,0.03211514295140002,medium,0.14588861047481771,,,COMPLETE
24,24,1175.599337,2020-12-18 21:19:18.126202,2020-12-18 21:47:59.973255,0 days 00:28:41.847053,256,1000000,True,0.9,3.393325943254901e-05,medium,0.22897386120948415,,,COMPLETE
25,25,1095.509822,2020-12-18 21:48:00.006503,2020-12-18 22:16:21.979461,0 days 00:28:21.972958,512,10000,False,0.99,0.00020397364973654585,big,0.7678638591485111,,2000.0,COMPLETE
26,26,446.125759,2020-12-18 22:16:21.999149,2020-12-18 22:44:50.217562,0 days 00:28:28.218413,512,100000,False,0.9,0.001349497554939351,big,0.040848687980900134,ornstein-uhlenbeck,256.0,COMPLETE
