,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,46.97242736816406,2021-04-14 16:17:04.034756,2021-04-14 21:40:00.764479,0 days 05:22:56.729723,128,10000,True,0.99,5.341258149206455e-05,big,0.19250598376639305,normal,,COMPLETE
1,1,46.358192443847656,2021-04-14 21:40:00.846118,2021-04-15 03:01:46.363337,0 days 05:21:45.517219,256,100000,False,0.999,0.028020253175534558,medium,0.3254003868444525,,1000.0,COMPLETE
2,2,44.85991287231445,2021-04-15 03:01:46.384880,2021-04-15 08:22:50.444958,0 days 05:21:04.060078,256,100000,False,0.999,0.00028692805972551554,medium,0.730373663309083,normal,2000.0,COMPLETE
3,3,47.17389678955078,2021-04-15 08:22:50.465058,2021-04-15 13:35:12.514108,0 days 05:12:22.049050,128,10000,False,0.999,0.004457785782222048,small,0.20606673247331167,normal,128.0,COMPLETE
4,4,42.99966812133789,2021-04-15 13:35:12.547285,2021-04-15 18:55:56.134980,0 days 05:20:43.587695,256,100000,False,0.999,0.00089054768016264,big,0.48861901304043404,,16.0,COMPLETE
5,5,46.43419647216797,2021-04-15 18:55:56.155617,2021-04-16 00:19:47.547931,0 days 05:23:51.392314,100,10000,True,0.999,1.95529303567903e-05,medium,0.1591543600760752,,,COMPLETE
6,6,41.022972106933594,2021-04-16 00:19:47.573539,2021-04-16 05:49:43.231024,0 days 05:29:55.657485,128,100000,False,0.99,0.007751705719850576,medium,0.41875536874299873,normal,16.0,COMPLETE
7,7,45.98697280883789,2021-04-16 05:49:43.249885,2021-04-16 13:19:33.763833,0 days 07:29:50.513948,256,100000,False,0.98,0.05942993051367147,medium,0.9557153821929542,ornstein-uhlenbeck,1.0,COMPLETE
8,8,42.227115631103516,2021-04-16 13:19:33.784093,2021-04-16 18:44:57.875660,0 days 05:25:24.091567,100,100000,True,0.95,5.3769332095259495e-05,big,0.07625901493435139,normal,,COMPLETE
9,9,45.36455154418945,2021-04-16 18:44:57.896095,2021-04-17 00:12:19.681224,0 days 05:27:21.785129,128,1000000,True,0.99,0.0026951171412365744,big,0.9699167344666019,normal,,COMPLETE
10,10,45.789794921875,2021-04-17 00:12:19.704738,2021-04-17 05:37:30.606061,0 days 05:25:10.901323,128,10000,False,0.9,0.6040166543006982,big,0.04334104800316862,,1000.0,COMPLETE
11,11,46.067481994628906,2021-04-17 05:37:30.626846,2021-04-17 10:51:20.806657,0 days 05:13:50.179811,64,10000,False,0.9999,0.9999999999999999,small,0.2855610704526188,normal,2000.0,COMPLETE
12,12,42.645301818847656,2021-04-17 10:51:20.901250,2021-04-17 16:13:42.459440,0 days 05:22:21.558190,512,10000,False,0.9999,0.9999999999999999,small,0.2703171091806283,normal,16.0,COMPLETE
13,13,43.60456085205078,2021-04-17 16:13:42.479114,2021-04-17 21:24:07.047743,0 days 05:10:24.568629,128,100000,False,0.98,0.00029286862760131895,small,0.7001618854518888,,128.0,COMPLETE
14,14,43.135292053222656,2021-04-17 21:24:07.068154,2021-04-18 02:33:48.861182,0 days 05:09:41.793028,100,10000,False,0.99,0.33933715280645116,small,0.9816713727113426,ornstein-uhlenbeck,256.0,COMPLETE
15,15,45.474613189697266,2021-04-18 02:33:48.879950,2021-04-18 07:43:29.634938,0 days 05:09:40.754988,128,10000,False,0.9999,0.11273220166505324,small,0.3420299465919067,normal,256.0,COMPLETE
