,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,29.509400399999997,2021-01-01 18:12:00.267947,2021-01-01 19:34:52.434364,0 days 01:22:52.166417,64,1000000,True,0.95,4.4408318451910376e-05,small,0.90932903461408,normal,,COMPLETE
1,1,31.9038026,2021-01-01 19:34:52.456870,2021-01-01 21:01:53.058006,0 days 01:27:00.601136,128,100000,False,0.999,0.0011461479312505672,medium,0.22288910719906851,,128.0,COMPLETE
2,2,24.1083724,2021-01-01 21:01:53.090240,2021-01-01 22:27:06.695872,0 days 01:25:13.605632,128,10000,True,0.995,0.04334206486677426,small,0.8123527100743813,ornstein-uhlenbeck,,COMPLETE
3,3,29.5892974,2021-01-01 22:27:06.715244,2021-01-02 00:17:51.278636,0 days 01:50:44.563392,32,10000,False,0.995,2.4015440400947938e-05,big,0.8232823278380872,,1.0,COMPLETE
4,4,27.857594,2021-01-02 00:17:51.296641,2021-01-02 01:41:33.916440,0 days 01:23:42.619799,16,10000,True,0.999,0.372648804103508,small,0.7651285500984756,normal,,COMPLETE
5,5,27.878536599999997,2021-01-02 01:41:33.946573,2021-01-02 03:05:57.968319,0 days 01:24:24.021746,32,10000,False,0.9,4.3373613447833166e-05,big,0.6522871035760379,,256.0,COMPLETE
6,6,32.124879799999995,2021-01-02 03:05:57.987477,2021-01-02 04:30:12.387787,0 days 01:24:14.400310,512,100000,False,0.9,0.025653923082890107,big,0.11234344544135333,normal,256.0,COMPLETE
7,7,26.3940714,2021-01-02 04:30:12.407187,2021-01-02 05:54:05.178723,0 days 01:23:52.771536,512,10000,False,0.9,3.995042390114807e-05,medium,0.4682601733308468,normal,1000.0,COMPLETE
8,8,30.750279,2021-01-02 05:54:05.198031,2021-01-02 07:18:39.882141,0 days 01:24:34.684110,32,10000,False,0.9,0.00012468666625306546,big,0.4413162106290618,ornstein-uhlenbeck,2000.0,COMPLETE
9,9,34.1092122,2021-01-02 07:18:39.901528,2021-01-02 08:43:42.813465,0 days 01:25:02.911937,512,10000,False,0.9,0.2464739767157907,big,0.5063137407790802,,2000.0,COMPLETE
10,10,27.413187,2021-01-02 08:43:42.832066,2021-01-02 10:10:05.362566,0 days 01:26:22.530500,100,1000000,False,0.99,0.9216602832129162,big,0.3579907036180441,,16.0,COMPLETE
11,11,31.007311599999998,2021-01-02 10:10:05.382329,2021-01-02 11:34:21.581145,0 days 01:24:16.198816,512,100000,False,0.98,0.045920772032274196,big,0.016603339888333957,normal,256.0,COMPLETE
12,12,-186.70202460000002,2021-01-02 11:34:21.600228,2021-01-02 11:59:15.505026,0 days 00:24:53.904798,256,100000,False,0.9999,0.032334364860975996,big,0.04167842042227193,,2000.0,PRUNED
13,13,25.981902,2021-01-02 11:59:15.511711,2021-01-02 13:23:57.186706,0 days 01:24:41.674995,512,100000,False,0.9,0.007504797504324447,big,0.20803346925280386,normal,2000.0,COMPLETE
14,14,28.6614202,2021-01-02 13:23:57.206191,2021-01-02 14:48:29.982155,0 days 01:24:32.775964,512,100000,False,0.9,0.2580479622258107,big,0.6073188191197995,,256.0,COMPLETE
15,15,26.0100322,2021-01-02 14:48:30.000722,2021-01-02 15:13:28.896108,0 days 00:24:58.895386,512,1000000,False,0.9,0.0021978349477393853,medium,0.2736200965210016,ornstein-uhlenbeck,2000.0,PRUNED
16,16,36.271209,2021-01-02 15:13:28.903720,2021-01-02 16:38:27.884906,0 days 01:24:58.981186,512,100000,False,0.99,0.17942068796597835,big,0.5964037377843338,normal,1000.0,COMPLETE
17,17,27.9044212,2021-01-02 16:38:27.917854,2021-01-02 18:05:03.903591,0 days 01:26:35.985737,64,100000,True,0.99,0.1736760654972501,big,0.6099845644865584,normal,,COMPLETE
18,18,28.9181646,2021-01-02 18:05:03.932341,2021-01-02 19:29:21.560130,0 days 01:24:17.627789,256,10000,False,0.99,0.778074880603975,big,0.5370851997176644,,1000.0,COMPLETE
19,19,28.3544126,2021-01-02 19:29:21.579478,2021-01-02 20:49:35.166561,0 days 01:20:13.587083,16,10000,False,0.99,0.0005942631322671191,big,0.6960024984460941,normal,1000.0,COMPLETE
