,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,446.125759,2020-12-18 18:49:07.177731,2020-12-18 19:35:22.835994,0 days 00:46:15.658263,100,1000000,False,0.99,0.0019792335092865296,medium,0.8724967249897969,ornstein-uhlenbeck,16.0,COMPLETE
1,1,446.125759,2020-12-18 19:35:22.855343,2020-12-18 20:21:57.725504,0 days 00:46:34.870161,16,10000,False,0.9,1.086553832491308e-05,medium,0.503285895987299,,2000.0,COMPLETE
2,2,446.125759,2020-12-18 20:21:57.744442,2020-12-18 21:07:31.462060,0 days 00:45:33.717618,64,10000,False,0.995,0.29488545170630925,medium,0.7083617608023992,ornstein-uhlenbeck,2000.0,COMPLETE
3,3,446.125759,2020-12-18 21:07:31.486592,2020-12-18 22:03:51.882826,0 days 00:56:20.396234,64,10000,False,0.9999,0.0003205727009562183,medium,0.15289501595477817,ornstein-uhlenbeck,1.0,COMPLETE
4,4,446.125759,2020-12-18 22:03:51.904965,2020-12-18 22:46:07.251452,0 days 00:42:15.346487,512,10000,True,0.995,0.021931666262397776,small,0.4749212561005959,ornstein-uhlenbeck,,COMPLETE
5,5,446.125759,2020-12-18 22:46:07.270660,2020-12-18 23:29:37.033032,0 days 00:43:29.762372,128,1000000,False,0.995,0.8004079723450902,big,0.3767482139009849,normal,1000.0,COMPLETE
6,6,446.125759,2020-12-18 23:29:37.065371,2020-12-19 00:24:46.095670,0 days 00:55:09.030299,32,1000000,False,0.9,0.0006499420102014714,medium,0.5308173660353169,,1.0,COMPLETE
7,7,446.125759,2020-12-19 00:24:46.114063,2020-12-19 01:08:03.857807,0 days 00:43:17.743744,128,10000,True,0.9999,0.7242099837041922,big,0.1262385476924276,normal,,COMPLETE
8,8,446.125759,2020-12-19 01:08:03.890201,2020-12-19 01:49:32.245352,0 days 00:41:28.355151,16,100000,False,0.999,0.008189984208240691,big,0.3516322598194268,normal,256.0,COMPLETE
9,9,446.125759,2020-12-19 01:49:32.259358,2020-12-19 02:28:10.942483,0 days 00:38:38.683125,256,100000,True,0.95,0.006928872552257135,small,0.14943191267393463,,,COMPLETE
