,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,446.125759,2020-12-18 18:49:07.177731,2020-12-18 19:35:22.835991,0 days 00:46:15.658260,100,1000000,False,0.99,0.0019792335092865296,medium,0.8724967249897969,ornstein-uhlenbeck,16.0,COMPLETE
1,1,446.125759,2020-12-18 19:35:22.855343,2020-12-18 20:21:57.725500,0 days 00:46:34.870157,16,10000,False,0.9,1.086553832491308e-05,medium,0.503285895987299,,2000.0,COMPLETE
2,2,446.125759,2020-12-18 20:21:57.744442,2020-12-18 21:07:31.462056,0 days 00:45:33.717614,64,10000,False,0.995,0.29488545170630925,medium,0.7083617608023992,ornstein-uhlenbeck,2000.0,COMPLETE
3,3,446.125759,2020-12-18 21:07:31.486592,2020-12-18 22:03:51.882823,0 days 00:56:20.396231,64,10000,False,0.9999,0.0003205727009562183,medium,0.15289501595477817,ornstein-uhlenbeck,1.0,COMPLETE
4,4,446.125759,2020-12-18 22:03:51.904965,2020-12-18 22:46:07.251448,0 days 00:42:15.346483,512,10000,True,0.995,0.021931666262397776,small,0.4749212561005959,ornstein-uhlenbeck,,COMPLETE
5,5,446.125759,2020-12-18 22:46:07.270660,2020-12-18 23:29:37.033028,0 days 00:43:29.762368,128,1000000,False,0.995,0.8004079723450902,big,0.3767482139009849,normal,1000.0,COMPLETE
6,6,446.125759,2020-12-18 23:29:37.065371,2020-12-19 00:24:46.095666,0 days 00:55:09.030295,32,1000000,False,0.9,0.0006499420102014714,medium,0.5308173660353169,,1.0,COMPLETE
7,7,446.125759,2020-12-19 00:24:46.114063,2020-12-19 01:08:03.857803,0 days 00:43:17.743740,128,10000,True,0.9999,0.7242099837041922,big,0.1262385476924276,normal,,COMPLETE
8,8,446.125759,2020-12-19 01:08:03.890201,2020-12-19 01:49:32.245349,0 days 00:41:28.355148,16,100000,False,0.999,0.008189984208240691,big,0.3516322598194268,normal,256.0,COMPLETE
9,9,446.125759,2020-12-19 01:49:32.259358,2020-12-19 02:28:10.942479,0 days 00:38:38.683121,256,100000,True,0.95,0.006928872552257135,small,0.14943191267393463,,,COMPLETE
10,10,446.125759,2020-12-19 05:19:55.038909,2020-12-19 06:03:13.311824,0 days 00:43:18.272915,128,10000,True,0.99,0.0020193734988539773,small,0.8345856874514004,,,COMPLETE
11,11,446.125759,2020-12-19 06:03:13.341996,2020-12-19 06:47:50.499230,0 days 00:44:37.157234,256,10000,False,0.9999,0.007310297421575018,small,0.1631772251083604,ornstein-uhlenbeck,1000.0,COMPLETE
12,12,446.125759,2020-12-19 06:47:50.535282,2020-12-19 07:31:02.536776,0 days 00:43:12.001494,16,100000,True,0.995,0.2834026844706408,big,0.2184900909048364,,,COMPLETE
13,13,446.125759,2020-12-19 07:31:02.564147,2020-12-19 08:08:55.765437,0 days 00:37:53.201290,32,100000,True,0.9,0.01780672106303895,small,0.7140805922778747,,,COMPLETE
14,14,446.125759,2020-12-19 08:08:55.793010,2020-12-19 08:50:03.383064,0 days 00:41:07.590054,512,100000,False,0.9,0.603516766136621,medium,0.6586198865392828,,256.0,COMPLETE
15,15,446.125759,2020-12-19 08:50:03.402792,2020-12-19 09:30:47.930472,0 days 00:40:44.527680,256,1000000,False,0.995,0.2139248231260059,big,0.9690282363480508,ornstein-uhlenbeck,128.0,COMPLETE
16,16,446.125759,2020-12-19 09:30:47.960496,2020-12-19 10:24:57.805298,0 days 00:54:09.844802,256,10000,False,0.999,0.11611743687774405,big,0.3350275707705521,,1.0,COMPLETE
17,17,446.125759,2020-12-19 10:24:57.828165,2020-12-19 11:18:58.691107,0 days 00:54:00.862942,256,100000,False,0.995,0.08653827887642873,small,0.5228368663325073,ornstein-uhlenbeck,1.0,COMPLETE
18,18,446.125759,2020-12-19 11:18:58.710785,2020-12-19 12:13:39.706032,0 days 00:54:40.995247,512,10000,False,0.9999,0.00040561049182504953,medium,0.90178524803421,,1.0,COMPLETE
19,19,446.125759,2020-12-19 12:13:39.727678,2020-12-19 12:54:35.514097,0 days 00:40:55.786419,32,100000,False,0.9999,0.4613257961241371,big,0.8393367418173124,,2000.0,COMPLETE
20,20,446.125759,2020-12-19 12:54:35.537391,2020-12-19 13:35:38.375038,0 days 00:41:02.837647,512,10000,False,0.9999,1.6125529632938915e-05,big,0.26586978645198056,normal,16.0,COMPLETE
21,21,446.125759,2020-12-19 13:35:38.393322,2020-12-19 14:16:56.696491,0 days 00:41:18.303169,512,10000,True,0.995,0.03063636772879343,medium,0.8024049066411969,,,COMPLETE
22,22,446.125759,2020-12-19 14:16:56.718050,2020-12-19 14:57:05.327029,0 days 00:40:08.608979,32,10000,False,0.995,0.003160385276991308,small,0.11757018921008544,,256.0,COMPLETE
23,23,446.125759,2020-12-19 14:57:05.347339,2020-12-19 15:37:49.217594,0 days 00:40:43.870255,16,10000,True,0.95,3.0178014810014754e-05,big,0.19756581021440933,normal,,COMPLETE
24,24,446.125759,2020-12-19 15:37:49.240357,2020-12-19 16:18:08.185522,0 days 00:40:18.945165,16,100000,True,0.99,0.16442116173699958,small,0.4913444906689062,normal,,COMPLETE
25,25,446.125759,2020-12-19 16:18:08.207744,2020-12-19 16:58:53.890010,0 days 00:40:45.682266,32,10000,False,0.999,0.031916282160345914,big,0.9567565730793599,,16.0,COMPLETE
26,26,854.360702,2020-12-19 16:58:53.912013,2020-12-19 17:39:07.690828,0 days 00:40:13.778815,100,100000,True,0.9999,0.00014402720966871443,small,0.8493673292235776,,,COMPLETE
27,27,446.125759,2020-12-19 17:39:07.712633,2020-12-19 18:18:44.309826,0 days 00:39:36.597193,32,1000000,False,0.99,0.0001338304535522509,medium,0.7457940812996915,,256.0,COMPLETE
28,28,446.125759,2020-12-19 18:18:44.328656,2020-12-19 18:58:05.784741,0 days 00:39:21.456085,100,100000,False,0.995,0.09995317932888843,medium,0.4472526768168844,,16.0,COMPLETE
29,29,446.125759,2020-12-19 18:58:05.803214,2020-12-19 19:37:29.753252,0 days 00:39:23.950038,64,10000,True,0.98,0.05019373120508355,medium,0.6714838847308818,normal,,COMPLETE
30,30,831.495429,2020-12-19 19:37:29.785093,2020-12-19 20:16:32.914130,0 days 00:39:03.129037,256,1000000,True,0.999,2.097404458012413e-05,big,0.38903778008613465,,,COMPLETE
