,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,182.230047,2021-01-07 18:26:30.084019,2021-01-07 19:22:13.727514,0 days 00:55:43.643495,512,100000,True,0.9999,1.7041803205458383e-05,small,0.7982269551375246,,,COMPLETE
1,1,184.308994,2021-01-07 19:22:13.728135,2021-01-07 20:18:38.054611,0 days 00:56:24.326476,512,10000,True,0.99,0.0006745041293754941,medium,0.18392286694884874,ornstein-uhlenbeck,,COMPLETE
2,2,50.737378,2021-01-07 20:18:38.055270,2021-01-07 21:13:09.003442,0 days 00:54:30.948172,256,1000000,True,0.9,0.00011624450281353647,medium,0.01677317780992227,normal,,COMPLETE
3,3,50.737378,2021-01-07 21:13:09.004037,2021-01-07 22:06:30.173011,0 days 00:53:21.168974,512,100000,True,0.99,0.029643566428278933,small,0.7913031483252442,normal,,COMPLETE
4,4,50.737378,2021-01-07 22:06:30.173613,2021-01-07 22:54:28.744981,0 days 00:47:58.571368,32,1000000,True,0.9,7.812534264535511e-05,medium,0.42391140350264034,normal,,COMPLETE
5,5,50.737378,2021-01-07 22:54:28.745568,2021-01-07 23:41:14.409089,0 days 00:46:45.663521,100,100000,False,0.95,0.006593269138291957,small,0.5616631496956497,normal,256.0,COMPLETE
6,6,50.737378,2021-01-07 23:41:14.409802,2021-01-08 00:26:09.470563,0 days 00:44:55.060761,128,100000,True,0.995,0.01528225896983655,medium,0.10958698528404887,ornstein-uhlenbeck,,COMPLETE
7,7,50.737378,2021-01-08 00:26:09.471150,2021-01-08 01:10:53.909331,0 days 00:44:44.438181,100,100000,True,0.98,0.14155433319027416,big,0.8165982023265068,,,COMPLETE
8,8,180.923175,2021-01-08 01:10:53.909916,2021-01-08 01:54:51.507827,0 days 00:43:57.597911,512,1000000,True,0.9999,0.0002342985349751999,medium,0.032676741591009306,ornstein-uhlenbeck,,COMPLETE
9,9,50.737378,2021-01-08 01:54:51.508409,2021-01-08 02:39:11.187144,0 days 00:44:19.678735,128,100000,False,0.9,0.0580929916435604,medium,0.7341270482499029,normal,16.0,COMPLETE
10,10,50.737378,2021-01-08 02:39:11.187732,2021-01-08 03:22:08.303911,0 days 00:42:57.116179,16,10000,False,0.999,0.0014094676279926327,big,0.2761726619418505,ornstein-uhlenbeck,2000.0,COMPLETE
11,11,183.573359,2021-01-08 03:22:08.304487,2021-01-08 04:05:16.487661,0 days 00:43:08.183174,512,10000,True,0.9999,1.1199469592514231e-05,small,0.9923614407512328,,,COMPLETE
12,12,50.737378,2021-01-08 04:05:16.488255,2021-01-08 04:47:43.021288,0 days 00:42:26.533033,64,10000,True,0.99,1.2588988145022516e-05,small,0.9992455380982043,,,COMPLETE
13,13,50.737378,2021-01-08 04:47:43.021890,2021-01-08 05:31:08.016240,0 days 00:43:24.994350,512,10000,True,0.9999,0.0010759758274422233,small,0.23385122723446172,,,COMPLETE
14,14,50.737378,2021-01-08 05:31:08.016837,2021-01-08 06:14:49.882908,0 days 00:43:41.866071,512,10000,True,0.99,0.530398520154543,big,0.5005600425213408,ornstein-uhlenbeck,,COMPLETE
15,15,180.012503,2021-01-08 06:14:49.883337,2021-01-08 06:58:19.880451,0 days 00:43:29.997114,512,10000,True,0.9999,0.0005143555164461706,small,0.9901239071626751,ornstein-uhlenbeck,,COMPLETE
16,16,171.513757,2021-01-08 06:58:19.881045,2021-01-08 07:42:16.052902,0 days 00:43:56.171857,256,10000,True,0.99,2.4568269704475983e-05,medium,0.3206829944023665,,,COMPLETE
17,17,50.737378,2021-01-08 07:42:16.053514,2021-01-08 08:26:36.541447,0 days 00:44:20.487933,64,10000,False,0.95,0.005647829907139444,medium,0.634071329574663,ornstein-uhlenbeck,128.0,COMPLETE
18,18,184.200071,2021-01-08 08:26:36.542052,2021-01-08 09:09:31.074341,0 days 00:42:54.532289,16,10000,True,0.995,6.594477667724325e-05,small,0.14662413088611267,,,COMPLETE
19,19,50.737378,2021-01-08 09:09:31.074936,2021-01-08 09:53:18.728126,0 days 00:43:47.653190,16,10000,True,0.995,8.287069933775909e-05,medium,0.17493817344864954,ornstein-uhlenbeck,,COMPLETE
