,time,state,action,reward,rep
0,0,0.75,0.0,0.0,0
1,1,0.622241279803103,0.20206952095031738,0.20206952095031738,0
2,2,0.5966964900803224,0.10040169954299927,0.10040169954299927,0
3,3,0.5332976820069101,0.13788974285125732,0.13788974285125732,0
4,4,0.3873111202788755,0.21146363019943237,0.21146363019943237,0
5,5,0.4221843603825436,0.03369802236557007,0.03369802236557007,0
6,6,0.40074382171824763,0.08817470073699951,0.08817470073699951,0
7,0,0.75,0.0,0.0,1
8,1,0.7016552604597696,0.11812764406204224,0.11812764406204224,1
9,2,0.7001077578678817,0.07146245241165161,0.07146245241165161,1
10,3,0.6537430056205588,0.1194111704826355,0.1194111704826355,1
11,4,0.36940218409605396,0.34801799058914185,0.34801799058914185,1
12,5,0.4355215081405115,0.0034870505332946777,0.0034870505332946777,1
13,6,0.4786216806756729,0.029263556003570557,0.029263556003570557,1
14,7,0.44206175630417854,0.10664308071136475,0.10664308071136475,1
15,8,0.19482676696621082,0.28661906719207764,0.28661906719207764,1
16,9,0.03881109393898308,0.16476351022720337,0.16476351022720337,1
17,0,0.75,0.0,0.0,2
18,1,0.6915391469321452,0.12907391786575317,0.12907391786575317,2
19,2,0.4038115140013152,0.3547375202178955,0.3547375202178955,2
20,3,0.4546402662320268,0.02011340856552124,0.02011340856552124,2
21,4,0.5117668835271738,0.01671731472015381,0.01671731472015381,2
22,5,0.5245638333338523,0.0614621639251709,0.0614621639251709,2
23,6,0.5056163624824034,0.09256041049957275,0.09256041049957275,2
24,7,0.30967644535493444,0.25263452529907227,0.25263452529907227,2
25,0,0.75,0.0,0.0,3
26,1,0.6506475859546856,0.17255300283432007,0.17255300283432007,3
27,2,0.5556873361874483,0.16984963417053223,0.16984963417053223,3
28,3,0.4804170460528774,0.1477288007736206,0.1477288007736206,3
29,4,0.4317464223835755,0.11799252033233643,0.11799252033233643,3
30,5,0.4864686223184387,0.0180436372756958,0.0180436372756958,3
31,6,0.44686416510890103,0.11002463102340698,0.11002463102340698,3
32,7,0.2398915848141363,0.25372374057769775,0.25372374057769775,3
33,8,0.24316480287537212,0.043984949588775635,0.043984949588775635,3
34,0,0.75,0.0,0.0,4
35,1,0.512235333005556,0.3116253614425659,0.3116253614425659,4
36,2,0.5345819779455304,0.05217480659484863,0.05217480659484863,4
37,3,0.45062947238828654,0.15462911128997803,0.15462911128997803,4
38,4,0.45567130516830345,0.06596732139587402,0.06596732139587402,4
39,5,0.42128084286325973,0.10288858413696289,0.10288858413696289,4
40,6,0.46563595752846587,0.027274489402770996,0.027274489402770996,4
41,7,0.504060148396372,0.035127103328704834,0.035127103328704834,4
42,8,0.532000035572679,0.04651927947998047,0.04651927947998047,4
43,9,0.5842232797798035,0.0227510929107666,0.0227510929107666,4
44,10,0.625031620543869,0.03341728448867798,0.03341728448867798,4
45,11,0.5824999399487616,0.1175147294998169,0.1175147294998169,4
46,12,0.6195505636901517,0.03733748197555542,0.03733748197555542,4
47,13,0.631974409613904,0.06156754493713379,0.06156754493713379,4
48,14,0.5602496193630546,0.14666008949279785,0.14666008949279785,4
49,15,0.604850711252094,0.03012669086456299,0.03012669086456299,4
50,16,0.5622635450641322,0.11753886938095093,0.11753886938095093,4
51,17,0.6254983475970126,0.010976076126098633,0.010976076126098633,4
52,18,0.6783231906411968,0.01875704526901245,0.01875704526901245,4
53,19,0.5630274750645272,0.19025301933288574,0.19025301933288574,4
54,20,0.5718670758097113,0.06615746021270752,0.06615746021270752,4
55,21,0.6295726963367362,0.016370415687561035,0.016370415687561035,4
56,22,0.4440541762721495,0.2557428479194641,0.2557428479194641,4
57,23,0.10668690247091073,0.36037129163742065,0.36037129163742065,4
58,0,0.75,0.0,0.0,5
59,1,0.652370011365548,0.1707456111907959,0.1707456111907959,5
60,2,0.5790853846479223,0.14827960729599,0.14827960729599,5
61,3,0.5977088945347261,0.056219637393951416,0.056219637393951416,5
62,4,0.6528334826848148,0.017967820167541504,0.017967820167541504,5
63,5,0.6701856237269344,0.05476248264312744,0.05476248264312744,5
64,6,0.6092659086176203,0.1355600357055664,0.1355600357055664,5
65,7,0.5285994454244669,0.15503793954849243,0.15503793954849243,5
66,8,0.4721843322245739,0.12842553853988647,0.12842553853988647,5
67,9,0.28070595002405374,0.24426931142807007,0.24426931142807007,5
68,10,0.34050779010787235,0.0006814002990722656,0.0006814002990722656,5
69,11,0.4070696070186888,0.000736236572265625,0.000736236572265625,5
70,12,0.044045270342550125,0.372919499874115,0.372919499874115,5
71,0,0.75,0.0,0.0,6
72,1,0.48882185144785384,0.33405840396881104,0.33405840396881104,6
73,2,0.528149203238325,0.035032033920288086,0.035032033920288086,6
74,3,0.30658421976674566,0.27785855531692505,0.27785855531692505,6
75,4,0.22742819116291624,0.12394136190414429,0.12394136190414429,6
76,5,0.17282794551176728,0.0901336669921875,0.0901336669921875,6
77,0,0.75,0.0,0.0,7
78,1,0.6776032521622255,0.1440277099609375,0.1440277099609375,7
79,2,0.6514495487951144,0.09931498765945435,0.09931498765945435,7
80,3,0.6921832237691555,0.02982884645462036,0.02982884645462036,7
81,4,0.645746680057603,0.11986768245697021,0.11986768245697021,7
82,5,0.5441507366538055,0.17631560564041138,0.17631560564041138,7
83,6,0.4639707639560422,0.15170931816101074,0.15170931816101074,7
84,7,0.4527927519194743,0.08199882507324219,0.08199882507324219,7
85,8,0.5179351737909302,0.008912742137908936,0.008912742137908936,7
86,9,0.28548124847638134,0.2859106659889221,0.2859106659889221,7
87,0,0.75,0.0,0.0,8
88,1,0.6794264753841347,0.14207947254180908,0.14207947254180908,8
89,2,0.5039475571840768,0.24902570247650146,0.24902570247650146,8
90,3,0.5464508364017638,0.03225630521774292,0.03225630521774292,8
91,4,0.5863917617625091,0.035019874572753906,0.035019874572753906,8
92,5,0.6191159266918297,0.04167598485946655,0.04167598485946655,8
93,6,0.6248014627014341,0.0685473084449768,0.0685473084449768,8
94,7,0.6455587722048348,0.052682340145111084,0.052682340145111084,8
95,8,0.6684583649085327,0.04932194948196411,0.04932194948196411,8
96,9,0.6832120127182785,0.05648493766784668,0.05648493766784668,8
97,10,0.6148671959348484,0.14285624027252197,0.14285624027252197,8
98,11,0.6319603793227319,0.05689871311187744,0.05689871311187744,8
99,12,0.6702642945943711,0.033805787563323975,0.033805787563323975,8
100,13,0.682545796078622,0.059004902839660645,0.059004902839660645,8
101,14,0.39038006593969543,0.3579370975494385,0.3579370975494385,8
102,15,0.3586816915620432,0.09423172473907471,0.09423172473907471,8
103,16,0.23136191379450488,0.17273157835006714,0.17273157835006714,8
104,0,0.75,0.0,0.0,9
105,1,0.7448910302359991,0.07043600082397461,0.07043600082397461,9
106,2,0.421499168633483,0.3919076919555664,0.3919076919555664,9
107,3,0.4708007073993048,0.02263021469116211,0.02263021469116211,9
108,4,0.5273824247288441,0.01775681972503662,0.01775681972503662,9
109,5,0.5893286297608376,0.012991666793823242,0.012991666793823242,9
110,6,0.6054694509925168,0.058575451374053955,0.058575451374053955,9
111,7,0.42160612702502887,0.2523878216743469,0.2523878216743469,9
112,8,0.3629814587739507,0.12162268161773682,0.12162268161773682,9
113,9,0.35288989643493074,0.0719866156578064,0.0719866156578064,9
114,10,0.2743120784451065,0.13046365976333618,0.13046365976333618,9
115,11,0.2886122299391516,0.03958839178085327,0.03958839178085327,9
116,12,0.33942050353636144,0.009547948837280273,0.009547948837280273,9
117,13,0.013128798455967594,0.3292977809906006,0.3292977809906006,9
