,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,-1344.7557659999998,2021-01-12 00:43:14.716111,2021-01-12 00:52:19.553757,0 days 00:09:04.837646,tanh,3.121463514609304e-07,0.95,0.9999,0.5846446686403128,0.02302530970203022,constant,0.6,256,small,True,True,True,0.08862761477723102,COMPLETE
1,1,-1190.6437392,2021-01-12 00:43:14.724590,2021-01-12 00:52:19.138941,0 days 00:09:04.414351,relu,0.0014189336647949104,0.95,0.999,-2.4174775853251136,0.0005387924122896356,linear,0.3,1024,small,False,False,True,0.21106848753892848,COMPLETE
2,2,-1309.2113617999998,2021-01-12 00:43:14.740070,2021-01-12 00:52:17.781993,0 days 00:09:03.041923,tanh,0.030697906396555927,0.98,0.9999,-2.4738222170045683,2.0502433505108544e-05,constant,5.0,1024,medium,False,True,False,0.6697087982674579,COMPLETE
3,3,-1152.0001809999999,2021-01-12 00:43:14.748490,2021-01-12 00:58:24.650452,0 days 00:15:09.901962,tanh,0.0006531530834910678,1.0,0.9,-3.81258234887429,0.00013691765834077734,constant,0.3,8,medium,True,True,False,0.16513054177839215,COMPLETE
4,4,-1197.1977095999998,2021-01-12 00:52:17.814855,2021-01-12 01:01:48.873935,0 days 00:09:31.059080,tanh,0.04141445031144292,0.92,0.99,-2.976828378857749,0.07251483108859096,constant,0.6,64,medium,True,False,True,0.9783917706871421,COMPLETE
5,5,-1344.7557659999998,2021-01-12 00:52:19.172070,2021-01-12 01:01:13.247263,0 days 00:08:54.075193,tanh,1.6304057888035906e-08,0.92,0.98,-2.2061174834986947,0.110877903211424,constant,0.8,1024,medium,True,True,False,0.803792128238878,COMPLETE
6,6,-1094.8558748,2021-01-12 00:52:19.590912,2021-01-12 01:02:42.197863,0 days 00:10:22.606951,tanh,2.3044782462137633e-05,0.92,0.98,-1.3977351678775554,3.587924405847457e-05,constant,0.5,32,small,True,False,False,0.7560061358217902,COMPLETE
7,7,-1027.5414574,2021-01-12 00:58:24.683597,2021-01-12 01:10:20.791184,0 days 00:11:56.107587,relu,2.546364176484841e-08,0.98,0.995,-1.293321248099308,6.778293159962658e-05,linear,2.0,16,medium,False,False,True,0.653139594076698,COMPLETE
8,8,-1132.6302108,2021-01-12 01:01:13.281823,2021-01-12 01:10:38.112762,0 days 00:09:24.830939,tanh,0.0019204338288348818,0.99,0.99,-1.625383140815737,5.3647043757391194e-05,constant,0.9,1024,medium,False,False,False,0.928346655339902,COMPLETE
9,9,-1497.2369658000002,2021-01-12 01:01:48.902910,2021-01-12 01:11:18.982237,0 days 00:09:30.079327,tanh,1.7098675868717876e-06,0.8,0.98,-1.2054688969773584,0.0358422239554115,constant,0.6,256,medium,False,True,False,0.47825205597167114,COMPLETE
10,10,-1308.6211622,2021-01-12 01:02:42.234696,2021-01-12 01:12:08.560653,0 days 00:09:26.325957,tanh,0.018019159713899356,0.95,0.98,-2.6678675613395972,2.5630411486935336e-05,linear,2.0,2048,medium,True,True,False,0.9387938280768714,COMPLETE
11,11,-1477.148299,2021-01-12 01:10:20.821145,2021-01-12 01:13:09.395754,0 days 00:02:48.574609,relu,0.00794539163741935,0.92,0.9999,-0.43096245101541175,0.0021147723715322763,constant,5.0,1024,medium,True,True,True,0.6662593603628796,PRUNED
12,12,-1344.7557659999998,2021-01-12 01:10:38.160514,2021-01-12 01:19:21.432313,0 days 00:08:43.271799,tanh,3.82613190626918e-05,0.92,0.95,-0.39186939451446534,0.0009160989687101498,linear,0.7,256,medium,False,False,True,0.018453747914789265,COMPLETE
13,13,-172.6978386,2021-01-12 01:11:19.012920,2021-01-12 01:22:14.702017,0 days 00:10:55.689097,relu,1e-08,0.98,0.99,-1.193071701878751,0.0005023756743717985,linear,2.0,16,medium,False,False,True,0.7518358116188422,COMPLETE
14,14,-1408.7462182,2021-01-12 01:12:08.596949,2021-01-12 01:17:35.988152,0 days 00:05:27.391203,relu,1e-08,1.0,0.9999,0.38798691995311074,0.03417433471326392,linear,5.0,8,medium,False,False,True,0.9699972106636676,PRUNED
15,15,-1084.0834126,2021-01-12 01:13:09.409861,2021-01-12 01:18:30.869311,0 days 00:05:21.459450,relu,1e-08,1.0,0.999,-0.3213826315988215,0.000881233160682646,linear,5.0,8,medium,False,False,True,0.6237849740065162,PRUNED
