,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
23,23,-787.272937,2021-01-12 03:24:49.026677,2021-01-12 03:52:46.758328,0 days 00:27:57.731651,tanh,64,0.3,1.506520422262993e-07,0.99,0.98,0.4393288045145525,0.013947387204815809,0.7,20,256,small,128,0.30703509517262073,,COMPLETE
24,24,-129.1143304,2021-01-12 03:52:46.797315,2021-01-12 05:45:06.249755,0 days 01:52:19.452440,relu,16,0.3,0.0897193526634381,0.92,0.95,-2.2347129654326228,0.00016358719780696753,0.8,20,64,small,128,0.8104181685092329,,COMPLETE
25,25,-485.23031879999996,2021-01-12 04:00:31.837927,2021-01-12 04:09:52.896670,0 days 00:09:21.058743,relu,128,0.4,3.4536605908699404e-08,0.99,0.9,-1.9779622196461975,2.7534915388515155e-05,0.3,5,64,medium,-1,0.12541351178187632,,COMPLETE
26,26,-1180.3917808,2021-01-12 04:09:52.936893,2021-01-12 04:15:20.412200,0 days 00:05:27.475307,relu,256,0.1,0.0015564618254727872,0.9,0.98,0.36776572039920286,0.015976296489326587,0.5,1,32,small,256,0.9176424776234939,,COMPLETE
27,27,-1217.3795036,2021-01-12 04:15:20.439126,2021-01-12 04:44:20.215826,0 days 00:28:59.776700,relu,16,0.1,4.0581253732136576e-05,0.98,0.99,0.9999999999999999,0.0001075329656931475,0.3,5,256,small,-1,0.8651752038738563,,COMPLETE
28,28,-1564.8886208000001,2021-01-12 04:33:25.295841,2021-01-12 04:44:24.463747,0 days 00:10:59.167906,relu,16,0.4,9.60308360562167e-05,0.92,0.995,-3.705445432225144,0.184139602089903,5.0,5,2048,small,-1,0.9603383977801816,,PRUNED
29,29,-1105.7602284,2021-01-12 04:44:20.247716,2021-01-12 04:50:54.965886,0 days 00:06:34.718170,tanh,128,0.3,0.008829141498633966,0.9,0.999,-1.9351606020294172,0.00012220107849432237,0.9,5,2048,small,256,0.9981593145948483,,COMPLETE
30,30,-914.5559135999999,2021-01-12 04:44:24.477760,2021-01-12 05:01:31.696794,0 days 00:17:07.219034,relu,64,0.3,5.215932767196185e-06,0.9,0.95,-0.18198158384567265,0.00030317135369436874,0.8,10,256,medium,16,0.5706065713071387,,COMPLETE
31,31,-642.1951798000001,2021-01-12 04:50:54.993286,2021-01-12 04:57:20.995880,0 days 00:06:26.002594,relu,128,0.3,6.433461370278936e-07,0.98,0.95,0.11969644353907416,0.0006453989223973627,0.8,5,128,medium,8,0.6402073110010356,,COMPLETE
32,32,-1546.664001,2021-01-12 04:57:21.023853,2021-01-12 05:32:30.543821,0 days 00:35:09.519968,relu,16,0.3,0.008027238015716242,0.92,0.999,0.044880184452461336,0.1341246704499365,0.8,20,16,small,-1,0.5843478855843154,,PRUNED
33,33,-985.7334654,2021-01-12 04:58:06.694738,2021-01-12 05:08:30.271659,0 days 00:10:23.576921,relu,512,0.2,0.0006940843413832925,0.95,0.98,-0.11188882928990607,0.037977233497302074,0.5,10,128,small,8,0.8569627129397919,,COMPLETE
34,34,-777.567246,2021-01-12 05:01:31.727692,2021-01-12 05:04:59.470205,0 days 00:03:27.742513,relu,256,0.3,1.740451619034746e-06,1.0,0.9999,-0.10695771117623831,0.0015598157812593376,0.8,1,2048,medium,-1,0.3433988372200304,,COMPLETE
35,35,-1555.8211562,2021-01-12 05:04:59.513766,2021-01-12 05:06:18.349697,0 days 00:01:18.835931,relu,64,0.3,1.3985488827889548e-05,0.9,0.999,0.2687388684543519,0.041650240057481795,0.5,1,256,medium,16,0.856371555587497,,PRUNED
36,36,-1134.03982,2021-01-12 05:06:18.362375,2021-01-12 05:35:34.858847,0 days 00:29:16.496472,relu,64,0.1,1.0429172560226314e-07,0.9,0.999,-2.0879116613756645,0.0009444408439835759,0.8,20,64,medium,-1,0.3890760829905026,,COMPLETE
37,37,-877.7972426,2021-01-12 05:08:30.303346,2021-01-12 05:38:35.094007,0 days 00:30:04.790661,relu,64,0.2,0.0007915761639311867,0.92,0.995,0.2691908663211544,0.000559330035935755,0.9,20,256,small,64,0.7508822327781662,,COMPLETE
38,38,-1587.7979031999998,2021-01-12 05:32:30.552861,2021-01-12 05:38:11.632970,0 days 00:05:41.080109,relu,32,0.1,0.0011904664653945435,0.95,0.995,0.3172310739307198,0.044150522081657734,0.8,1,256,small,128,0.8548984033074701,,PRUNED
39,39,-1324.1147578,2021-01-12 05:35:34.887106,2021-01-12 05:53:26.222464,0 days 00:17:51.335358,relu,128,0.2,0.005222287202007108,0.98,0.999,0.35085220491622326,0.0014202698571775217,0.9,10,16,small,16,0.2728877168930705,,PRUNED
40,40,-1307.542788,2021-01-12 05:38:11.647161,2021-01-12 05:40:14.362348,0 days 00:02:02.715187,relu,512,0.4,4.302422318135625e-06,0.95,0.995,-1.964657640014455,0.030147873808278006,0.8,10,256,small,16,0.8563977847441846,,PRUNED
41,41,-1207.4748284000002,2021-01-12 05:38:35.133951,2021-01-12 05:44:58.316001,0 days 00:06:23.182050,relu,512,0.4,3.8408157195380884e-08,0.95,0.9,-0.9544910183462432,1e-05,0.8,5,128,medium,-1,0.1509519636466398,,COMPLETE
42,42,,2021-01-12 05:40:14.374739,2021-01-12 05:58:07.268446,0 days 00:17:52.893707,relu,128,0.3,0.003075502999060138,0.98,0.99,0.9999999999999999,0.9999999999999999,0.7,20,32,medium,8,0.5857896497697958,,PRUNED
43,43,-1512.0061236,2021-01-12 05:44:58.347059,2021-01-12 06:02:04.238768,0 days 00:17:05.891709,tanh,32,0.2,0.026310623632709987,0.95,0.98,0.5718430908429388,0.04252419338070657,0.6,20,256,small,256,0.8897578034679193,,PRUNED
44,44,-1059.1960806,2021-01-12 05:45:06.275917,2021-01-12 05:54:29.909893,0 days 00:09:23.633976,relu,128,0.2,0.09003434519976194,0.99,0.9999,-2.235860930580034,0.000163587420377934,0.9,5,64,small,32,0.4875714259690837,,COMPLETE
45,45,,2021-01-12 05:53:26.232615,2021-01-12 06:01:48.861573,0 days 00:08:22.628958,relu,128,0.1,3.5513332064267913e-06,0.9,0.95,-2.111796095464288,0.8106136030669356,0.6,20,64,small,16,0.7994385370891359,,PRUNED
46,46,-903.2496236000001,2021-01-12 05:54:29.951371,2021-01-12 06:54:06.844540,0 days 00:59:36.893169,relu,8,0.2,0.09999999999999999,0.98,0.9999,-2.6815604121947554,0.00010616453143786601,0.8,5,8,medium,8,0.8006988488751013,,COMPLETE
47,47,,2021-01-12 05:58:07.281594,2021-01-12 06:15:20.078159,0 days 00:17:12.796565,relu,64,0.3,0.08971412853554192,0.92,0.9999,-2.2347346083799136,0.09962346318980787,0.5,10,64,small,256,0.810418046377074,,PRUNED
48,48,-1327.0568349999999,2021-01-12 06:01:48.871525,2021-01-12 06:15:37.165134,0 days 00:13:48.293609,relu,8,0.2,0.09999999999999999,1.0,0.999,-2.354565602781534,1e-05,0.8,1,8,medium,-1,0.08634647614062534,,COMPLETE
49,49,-1031.0525464,2021-01-12 06:02:04.248811,2021-01-12 07:03:14.001502,0 days 01:01:09.752691,relu,8,0.3,0.09999999999999999,0.99,0.9999,-2.32205713559102,1e-05,0.8,5,8,medium,-1,0.02557600779813068,,COMPLETE
50,50,-1432.1713278,2021-01-12 06:15:20.090021,2021-01-12 06:24:44.659477,0 days 00:09:24.569456,relu,256,0.4,0.09999999999999999,0.95,0.999,-1.517281038267516,7.542641248237282e-05,0.8,10,32,small,32,0.7026056855125025,,PRUNED
51,51,-1562.4985404,2021-01-12 06:15:37.189949,2021-01-12 06:24:21.082235,0 days 00:08:43.892286,relu,128,0.3,0.09999999999999999,0.95,0.98,-2.009086894565515,0.008634553832817632,0.8,5,16,small,256,0.9999999999999999,,PRUNED
52,52,-1533.8867216,2021-01-12 06:24:21.091862,2021-01-12 06:32:58.415804,0 days 00:08:37.323942,relu,16,0.2,1.5749921481445638e-06,0.92,0.9999,-0.052255122992774794,0.014102616782305717,1.0,1,64,small,128,0.8060006078074747,,PRUNED
53,53,-78.8583246,2021-01-12 06:24:44.670053,2021-01-12 06:43:20.211385,0 days 00:18:35.541332,relu,32,0.3,0.037361240906901086,0.9,0.9,-1.894007296484559,0.00016341090299598976,0.5,5,64,medium,64,0.8724456070628039,,COMPLETE
54,54,-801.8009164,2021-01-12 06:32:58.428680,2021-01-12 06:42:56.338361,0 days 00:09:57.909681,relu,64,0.2,0.001179220699596218,0.95,0.98,-2.8540879397977927,0.0006467569223179558,0.8,5,256,small,8,0.8845487374971804,,COMPLETE
55,55,-1555.8211562,2021-01-12 06:42:56.367198,2021-01-12 06:44:17.458418,0 days 00:01:21.091220,tanh,512,0.1,0.0985966100046571,0.98,0.99,-2.0443152262416526,0.01599514910319726,5.0,1,64,medium,64,0.8161777600529302,,PRUNED
56,56,-769.7536654000002,2021-01-12 06:43:20.247289,2021-01-12 08:29:16.052041,0 days 01:45:55.804752,relu,8,0.3,0.09999999999999999,1.0,0.9,-1.8455147986064544,0.00012857559379277555,5.0,20,32,small,-1,0.0,,COMPLETE
57,57,-1161.1394178,2021-01-12 06:44:17.468228,2021-01-12 07:11:22.290746,0 days 00:27:04.822518,relu,512,0.3,1e-08,1.0,0.9,-1.8072781056134222,0.00012803867536824359,0.3,20,64,small,256,0.0,,COMPLETE
58,58,-1433.8516003999998,2021-01-12 06:54:06.883498,2021-01-12 06:55:27.745405,0 days 00:01:20.861907,relu,64,0.4,0.01728389544160083,0.92,0.99,-1.637898302082343,0.00014030070769414295,0.6,1,64,medium,-1,0.8713725261592034,,PRUNED
59,59,-102.96816339999998,2021-01-12 06:55:27.759908,2021-01-12 07:33:17.224156,0 days 00:37:49.464248,relu,16,0.3,1.4732435448504007e-06,0.92,0.9,-1.822374312856427,0.00013234313503780837,0.8,10,512,medium,16,0.8164159489988627,,COMPLETE
