,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,1.5988388061523438,2020-11-19 17:51:47.717023,2020-11-19 19:38:44.661958,0 days 01:46:56.944935,128,10000,0.99,1000,-1.5813799828807853,1.2097695077549779e-05,medium,0.02,16,COMPLETE
1,1,7.369622230529785,2020-11-19 17:51:47.735055,2020-11-19 20:01:12.092817,0 days 02:09:24.357762,128,1000000,0.995,1000,-0.5852837870387355,1.7084714351552803e-05,small,0.02,512,COMPLETE
2,2,3.590857744216919,2020-11-19 17:51:47.736066,2020-11-19 19:46:55.359643,0 days 01:55:07.623577,128,10000,0.98,1000,-1.625015667668336,0.000996977238734719,big,0.02,16,COMPLETE
3,3,7.924123287200928,2020-11-19 19:38:44.693007,2020-11-19 21:23:14.498750,0 days 01:44:29.805743,16,1000000,0.99,1000,-1.5822402681464487,0.0007195808301103939,small,0.005,32,COMPLETE
4,4,3.633209705352783,2020-11-19 19:46:55.390245,2020-11-19 21:40:31.788728,0 days 01:53:36.398483,512,1000000,0.999,0,-3.201732252831011,0.7330969271770912,big,0.02,32,COMPLETE
5,5,6.831757545471191,2020-11-19 20:01:12.123839,2020-11-19 22:07:44.064549,0 days 02:06:31.940710,128,1000000,0.95,1000,-1.640754597186974,0.012901115667906624,big,0.001,32,COMPLETE
6,6,0.75,2020-11-19 21:23:14.539648,2020-11-19 22:58:51.016703,0 days 01:35:36.477055,16,1000000,0.95,20000,0.1841940563855209,0.13017949068237988,small,0.02,128,COMPLETE
7,7,7.670266151428223,2020-11-19 21:40:31.812861,2020-11-19 23:30:41.725523,0 days 01:50:09.912662,512,100000,0.98,1000,-3.75430052604866,0.001891550252971783,small,0.001,128,COMPLETE
8,8,0.75,2020-11-19 22:07:44.097842,2020-11-20 00:02:31.090035,0 days 01:54:46.992193,16,100000,0.995,20000,0.9784640832301807,0.001453622349879892,medium,0.01,256,COMPLETE
9,9,6.433036804199219,2020-11-19 22:58:51.056726,2020-11-20 00:39:33.513296,0 days 01:40:42.456570,256,100000,0.9999,10000,-0.45931164625471244,0.000157259352122362,big,0.005,32,COMPLETE
10,10,4.615496635437012,2020-11-19 23:30:41.767648,2020-11-20 01:26:05.317767,0 days 01:55:23.550119,128,100000,0.95,0,-2.250029504514437,4.261794534367053e-05,medium,0.02,128,COMPLETE
11,11,6.632453918457031,2020-11-20 00:02:31.121415,2020-11-20 02:13:22.121274,0 days 02:10:50.999859,32,1000000,0.95,1000,-2.188986900849889,0.0002285347506284033,small,0.005,32,COMPLETE
12,12,0.7863560914993286,2020-11-20 00:39:33.553227,2020-11-20 01:08:52.523315,0 days 00:29:18.970088,128,10000,0.999,10000,-2.025448129176111,1.0138676057297047e-05,small,0.005,16,PRUNED
13,13,0.75,2020-11-20 01:08:52.534489,2020-11-20 01:34:53.570893,0 days 00:26:01.036404,16,100000,0.999,20000,-1.9781483855707878,0.045204704030890656,medium,0.02,128,PRUNED
14,14,0.75,2020-11-20 01:26:05.358538,2020-11-20 01:54:17.978297,0 days 00:28:12.619759,128,1000000,0.9,20000,-2.96462579386254,0.05076512338977803,medium,0.001,16,PRUNED
15,15,7.459967136383057,2020-11-20 01:34:53.583174,2020-11-20 03:26:30.932868,0 days 01:51:37.349694,64,10000,0.95,0,-0.3201001702596624,0.00022233531010765583,medium,0.001,64,COMPLETE
16,16,3.633209705352783,2020-11-20 01:54:17.989655,2020-11-20 02:26:22.494872,0 days 00:32:04.505217,64,10000,0.995,10000,-2.399753574922597,0.05218823447820404,big,0.001,16,PRUNED
17,17,0.7635990381240845,2020-11-20 02:13:22.154753,2020-11-20 02:52:56.965609,0 days 00:39:34.810856,64,1000000,0.9,1000,-1.5377867317839313,2.3214598412056278e-05,medium,0.005,128,PRUNED
18,18,0.75,2020-11-20 02:26:22.507893,2020-11-20 03:01:44.350916,0 days 00:35:21.843023,128,100000,0.999,1000,-0.026204634582603692,0.4602002957389099,medium,0.001,32,PRUNED
19,19,0.75,2020-11-20 02:52:56.978221,2020-11-20 03:27:50.456705,0 days 00:34:53.478484,128,10000,0.95,10000,0.6332601871610386,0.09105927639298919,small,0.02,32,PRUNED
