,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,7.4251813888549805,2020-11-20 16:46:11.723661,2020-11-20 18:47:29.415892,0 days 02:01:17.692231,512,10000,0.995,10000,-2.28575514414264,7.73967975422822e-05,small,0.005,128,COMPLETE
1,1,6.674538612365723,2020-11-20 16:46:11.727186,2020-11-20 18:26:56.162486,0 days 01:40:44.435300,32,100000,0.9,0,-3.724507094171857,0.0011255447872421458,medium,0.02,8,COMPLETE
2,2,3.633209705352783,2020-11-20 16:46:11.750539,2020-11-20 18:35:50.113597,0 days 01:49:38.363058,128,100000,0.9999,1000,-2.825945982660481,0.16775115924391057,big,0.005,64,COMPLETE
3,3,6.9405951499938965,2020-11-20 18:26:56.187137,2020-11-20 20:22:43.502490,0 days 01:55:47.315353,512,100000,0.9,0,-0.5168141002402757,0.014003714218788994,small,0.005,128,COMPLETE
4,4,4.55002498626709,2020-11-20 18:35:50.141663,2020-11-20 20:38:58.191766,0 days 02:03:08.050103,16,100000,0.98,0,-0.6298473864780711,0.00012909349253458264,medium,0.01,128,COMPLETE
5,5,6.506750583648682,2020-11-20 18:47:29.453230,2020-11-20 21:02:12.730687,0 days 02:14:43.277457,64,10000,0.98,10000,0.7579268722683992,0.0011862604300494743,small,0.001,256,COMPLETE
6,6,3.633209705352783,2020-11-20 20:22:43.545133,2020-11-20 22:30:45.690764,0 days 02:08:02.145631,512,100000,0.98,0,-2.5105866964723416,0.1000519374049419,big,0.001,64,COMPLETE
7,7,1.1311166286468506,2020-11-20 20:38:58.235842,2020-11-20 22:52:35.358605,0 days 02:13:37.122763,64,1000000,0.98,1000,-0.045400638509492275,1.3108699785257644e-05,big,0.02,512,COMPLETE
8,8,7.081096649169922,2020-11-20 21:02:12.792694,2020-11-20 23:25:02.243227,0 days 02:22:49.450533,64,10000,0.99,1000,-3.429911143863701,0.0007464943279150007,small,0.005,512,COMPLETE
9,9,0.75,2020-11-20 22:30:45.741509,2020-11-21 00:33:27.224295,0 days 02:02:41.482786,128,1000000,0.98,0,-3.457213365199796,0.08532934740714454,medium,0.005,128,COMPLETE
10,10,0.9673992395401001,2020-11-20 22:52:35.398285,2020-11-21 00:38:09.385406,0 days 01:45:33.987121,64,1000000,0.98,0,-3.0569172268936238,1.5023228360629353e-05,small,0.02,32,PRUNED
11,11,0.7830754518508911,2020-11-20 23:25:02.278120,2020-11-21 00:41:08.489265,0 days 01:16:06.211145,16,1000000,0.995,10000,-1.9270634063804608,1.6951543393880115e-05,small,0.01,8,PRUNED
12,12,1.3196443319320679,2020-11-21 00:33:27.267458,2020-11-21 02:42:07.883247,0 days 02:08:40.615789,32,100000,0.9,1000,-3.305441885149359,0.0003159039445478813,small,0.001,128,COMPLETE
13,13,0.75,2020-11-21 00:38:09.401176,2020-11-21 01:13:18.818947,0 days 00:35:09.417771,512,100000,0.9,20000,0.34198347092604564,0.0023630339069335136,medium,0.01,16,PRUNED
14,14,5.7729949951171875,2020-11-21 00:41:08.504353,2020-11-21 02:59:09.823084,0 days 02:18:01.318731,16,100000,0.9999,20000,-3.5955072242833905,7.835579736990763e-05,medium,0.01,512,COMPLETE
15,15,7.369752407073975,2020-11-21 01:13:18.832293,2020-11-21 03:26:22.510658,0 days 02:13:03.678365,16,100000,0.98,0,-0.6780176513765737,0.0005058225943294966,small,0.01,8,COMPLETE
16,16,3.112778425216675,2020-11-21 02:42:07.931592,2020-11-21 04:45:53.821388,0 days 02:03:45.889796,16,1000000,0.99,0,-3.031495253318016,0.008284617325155034,small,0.001,16,COMPLETE
17,17,0.75,2020-11-21 02:59:09.862834,2020-11-21 03:42:23.022519,0 days 00:43:13.159685,16,1000000,0.98,1000,0.7429273580879583,0.11146011288183107,medium,0.01,16,PRUNED
18,18,0.7852100729942322,2020-11-21 03:26:22.541009,2020-11-21 04:01:53.184201,0 days 00:35:30.643192,32,1000000,0.95,10000,-2.0201004081335303,1.5966990322075463e-05,small,0.001,128,PRUNED
19,19,3.633209705352783,2020-11-21 03:42:23.038175,2020-11-21 04:21:20.263516,0 days 00:38:57.225341,512,10000,0.9,10000,-1.2504842869276462,0.09190388231223949,medium,0.01,128,PRUNED
20,20,0.75,2020-11-21 04:01:53.195794,2020-11-21 04:41:27.795585,0 days 00:39:34.599791,128,10000,0.95,0,0.34063308194849373,0.010776623786080153,medium,0.01,64,PRUNED
21,21,0.75,2020-11-21 04:21:20.276218,2020-11-21 05:04:15.772927,0 days 00:42:55.496709,128,100000,0.995,1000,0.530694589599376,0.03242491806260333,small,0.001,128,PRUNED
22,22,,2020-11-21 04:41:27.808710,,,16,100000,0.99,1000,-1.3501548400264705,0.0003139001067463321,big,0.01,64,RUNNING
23,23,0.7533784508705139,2020-11-21 04:45:53.867463,2020-11-21 05:23:47.735891,0 days 00:37:53.868428,32,100000,0.999,1000,0.8530239930304049,1.1403578822126332e-05,big,0.005,32,PRUNED
24,24,0.75,2020-11-21 05:04:15.785629,2020-11-21 05:42:26.571340,0 days 00:38:10.785711,16,100000,0.999,10000,-2.043768698712473,0.706010485059197,small,0.01,512,PRUNED
25,25,,2020-11-21 05:23:47.750040,,,32,100000,0.9999,1000,-1.4762069740862374,0.00020450285687413517,small,0.02,8,RUNNING
26,26,,2020-11-21 05:42:26.585368,,,32,10000,0.99,20000,-3.479723604122139,6.619775076300532e-05,big,0.01,32,RUNNING
