,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,,2020-12-07 20:55:26.414423,,,32,10000,0.9,1000,-2.2263017057760552,1.9192012731687468e-05,medium,0.005,512,RUNNING
1,1,0.75,2020-12-07 20:56:30.797208,2020-12-07 22:07:30.694913,0 days 01:10:59.897705,128,10000,0.95,10000,-1.509535841594733,0.0007227368525228549,big,0.001,512,COMPLETE
2,2,3.633209705352783,2020-12-07 22:07:30.732795,2020-12-07 23:02:37.126634,0 days 00:55:06.393839,64,100000,0.95,1000,0.8439770017630508,0.3664554746171629,big,0.02,512,COMPLETE
3,3,0.7321833968162537,2020-12-07 23:02:37.152982,2020-12-08 00:11:06.003589,0 days 01:08:28.850607,256,100000,0.999,1000,0.7054365128414046,1.593732100805013e-05,medium,0.01,32,COMPLETE
4,4,3.2588634490966797,2020-12-08 00:11:06.028874,2020-12-08 00:44:09.079735,0 days 00:33:03.050861,128,10000,0.995,1000,-2.6021320092916786,0.00016802210129344763,small,0.01,16,COMPLETE
5,5,0.75,2020-12-08 00:44:09.107785,2020-12-08 01:26:10.278398,0 days 00:42:01.170613,16,100000,0.98,0,-2.734079587899928,0.056673938419226265,big,0.005,128,COMPLETE
6,6,3.633209705352783,2020-12-08 01:26:10.314776,2020-12-08 03:03:00.273203,0 days 01:36:49.958427,256,100000,0.99,20000,-0.5702473401311652,0.010146390590569678,big,0.01,32,COMPLETE
7,7,0.75,2020-12-08 03:03:00.311241,2020-12-08 04:39:05.414075,0 days 01:36:05.102834,256,1000000,0.95,20000,-2.851223808581744,0.0008171670413955339,big,0.001,64,COMPLETE
8,8,3.633209705352783,2020-12-08 04:39:05.451551,2020-12-08 05:50:54.170372,0 days 01:11:48.718821,128,1000000,0.9,0,-0.7231506050219956,0.05274199684605097,big,0.001,128,COMPLETE
9,9,1.3741447925567627,2020-12-08 05:50:54.197786,2020-12-08 09:17:12.038597,0 days 03:26:17.840811,256,10000,0.995,10000,-2.537943421895861,0.0032890563269389194,medium,0.02,32,COMPLETE
10,10,0.7472934126853943,2020-12-08 09:17:12.062298,2020-12-08 09:45:46.673043,0 days 00:28:34.610745,16,100000,0.99,10000,-0.07409595573003402,1.5441727270644017e-05,small,0.005,16,COMPLETE
11,11,0.75,2020-12-08 09:45:46.694847,2020-12-08 10:00:43.142496,0 days 00:14:56.447649,128,100000,0.995,10000,-3.492530869205451,0.04227469747390105,medium,0.01,16,PRUNED
12,12,0.75,2020-12-08 10:00:43.153099,2020-12-08 10:11:40.207473,0 days 00:10:57.054374,16,1000000,0.995,0,0.6766559681469557,0.002903536803891306,medium,0.01,16,PRUNED
13,13,0.75,2020-12-08 10:11:40.220866,2020-12-08 10:20:08.230831,0 days 00:08:28.009965,16,1000000,0.9999,20000,-2.3950979301747197,0.8570249629093901,medium,0.005,64,PRUNED
14,14,0.7629767656326294,2020-12-08 10:20:08.244199,2020-12-08 10:49:31.668492,0 days 00:29:23.424293,16,100000,0.98,1000,-3.7134748297905036,9.919181963672547e-05,small,0.005,128,COMPLETE
15,15,0.75,2020-12-08 10:49:31.705775,2020-12-08 10:58:10.074896,0 days 00:08:38.369121,128,100000,0.99,10000,-2.30831080253113,0.032159638761548835,small,0.02,512,PRUNED
16,16,2.9304099082946777,2020-12-08 10:58:10.086963,2020-12-08 11:40:33.876583,0 days 00:42:23.789620,16,10000,0.995,10000,-0.6120376035266282,0.007448353601944636,big,0.02,8,COMPLETE
17,17,0.7423210740089417,2020-12-08 11:40:33.903834,2020-12-08 11:49:59.275249,0 days 00:09:25.371415,128,100000,0.98,1000,0.779874164345955,1.3596376698238449e-05,small,0.005,16,PRUNED
18,18,2.2282814979553223,2020-12-08 11:49:59.285649,2020-12-08 12:36:25.660949,0 days 00:46:26.375300,32,1000000,0.95,0,-3.400475846353275,0.5412204656444445,big,0.001,512,COMPLETE
19,19,1.9351832866668701,2020-12-08 12:36:25.701800,2020-12-08 13:06:04.201897,0 days 00:29:38.500097,16,1000000,0.999,1000,-1.2901391526850992,0.00019118204618657892,small,0.005,8,COMPLETE
20,20,0.75,2020-12-08 13:06:04.225116,2020-12-08 13:17:07.586781,0 days 00:11:03.361665,16,1000000,0.9,0,-1.6135959839231275,0.00038682008739141557,medium,0.001,8,PRUNED
21,21,0.75,2020-12-08 13:17:07.603133,2020-12-08 13:25:12.061662,0 days 00:08:04.458529,256,10000,0.99,20000,-3.2529784011348855,0.032312953100241744,small,0.001,256,PRUNED
22,22,2.306187629699707,2020-12-08 13:25:12.071486,2020-12-08 14:05:40.295204,0 days 00:40:28.223718,32,1000000,0.9999,1000,-1.69684974001982,0.0005194556869074978,medium,0.01,16,COMPLETE
23,23,0.75,2020-12-08 14:05:40.322964,2020-12-08 14:17:27.063105,0 days 00:11:46.740141,32,10000,0.995,10000,-3.234331635767774,0.19896252691475438,big,0.005,32,PRUNED
24,24,1.2833590507507324,2020-12-08 14:17:27.077042,2020-12-08 14:37:03.065949,0 days 00:19:35.988907,256,100000,0.9999,1000,0.42563535117925255,0.0014677301239957902,medium,0.02,256,PRUNED
25,25,1.259844422340393,2020-12-08 14:37:03.078021,2020-12-08 15:44:36.412260,0 days 01:07:33.334239,256,1000000,0.999,0,-2.579227133906728,0.00015021853858359887,medium,0.02,64,COMPLETE
26,26,2.930459976196289,2020-12-08 15:44:36.449500,2020-12-08 16:22:47.818129,0 days 00:38:11.368629,32,100000,0.98,20000,0.4550294074071868,0.0026634279340977535,medium,0.005,256,COMPLETE
27,27,0.75,2020-12-08 16:22:47.844877,2020-12-08 16:32:25.725689,0 days 00:09:37.880812,16,1000000,0.95,10000,-0.5553045119349966,0.7999024879950397,medium,0.001,64,PRUNED
28,28,2.2286593914031982,2020-12-08 16:32:25.737335,2020-12-08 17:05:38.862834,0 days 00:33:13.125499,256,1000000,0.9999,20000,-3.766471744219911,0.17896212451154256,small,0.02,32,COMPLETE
29,29,2.259916067123413,2020-12-08 17:05:38.890839,2020-12-08 17:36:51.089852,0 days 00:31:12.199013,128,10000,0.995,10000,-0.6056908215707533,0.00027689602553660327,small,0.02,128,COMPLETE
30,30,0.75,2020-12-08 17:36:51.127766,2020-12-08 17:46:11.186693,0 days 00:09:20.058927,512,100000,0.9,20000,-3.569973874372355,0.7762387019305567,small,0.02,64,PRUNED
31,31,0.75,2020-12-08 17:46:11.201649,2020-12-08 17:57:58.959671,0 days 00:11:47.758022,512,10000,0.9,1000,-3.51279482319116,0.00024831761557306937,small,0.02,16,PRUNED
32,32,0.75,2020-12-08 17:57:58.974259,2020-12-08 18:06:44.650241,0 days 00:08:45.675982,16,10000,0.999,0,-3.773077777866464,0.17830587937991668,small,0.001,128,PRUNED
33,33,0.75,2020-12-08 18:06:44.662050,2020-12-08 18:18:30.270963,0 days 00:11:45.608913,512,10000,0.98,1000,-1.9587705271890692,0.00032536397157015127,small,0.01,64,PRUNED
34,34,0.75,2020-12-08 18:18:30.287414,2020-12-08 18:28:03.190263,0 days 00:09:32.902849,128,1000000,0.999,0,-3.0589740249614654,0.37185437453718406,small,0.001,128,PRUNED
35,35,4.300650119781494,2020-12-08 18:28:03.201228,2020-12-08 19:35:30.842432,0 days 01:07:27.641204,256,1000000,0.9999,0,-0.23589011825854467,0.00019884857366893574,medium,0.02,8,COMPLETE
36,36,0.75,2020-12-08 19:35:30.868692,2020-12-08 19:45:56.276628,0 days 00:10:25.407936,256,100000,0.95,1000,-2.0596227630230666,0.00860314219612124,small,0.005,256,PRUNED
37,37,0.9630265235900879,2020-12-08 19:45:56.289022,2020-12-08 20:57:52.552720,0 days 01:11:56.263698,32,10000,0.999,20000,-0.9784737533917616,0.0001256535534979794,big,0.01,32,COMPLETE
38,38,0.7506019473075867,2020-12-08 20:57:52.580254,2020-12-08 21:25:12.342163,0 days 00:27:19.761909,64,100000,0.999,20000,-3.3210073922921337,1.5888909449275187e-05,big,0.01,8,PRUNED
39,39,0.7513101100921631,2020-12-08 21:25:12.356826,2020-12-08 22:28:23.992327,0 days 01:03:11.635501,64,1000000,0.95,0,-2.6603447560308826,0.0023607207670674666,big,0.001,16,COMPLETE
40,40,0.75,2020-12-08 22:28:24.018142,2020-12-08 22:37:07.913348,0 days 00:08:43.895206,16,100000,0.9,1000,-3.163293278808406,1.1194962602849056e-05,small,0.005,512,PRUNED
41,41,0.75,2020-12-08 22:37:07.925463,2020-12-08 22:44:12.186800,0 days 00:07:04.261337,32,1000000,0.98,20000,-3.1696746239321762,0.032565808784959745,small,0.005,128,PRUNED
42,42,1.2051810026168823,2020-12-08 22:44:12.197217,2020-12-08 22:57:30.177847,0 days 00:13:17.980630,64,10000,0.9999,1000,-3.8901358295593904,0.0006746910183756019,medium,0.02,512,PRUNED
43,43,1.1831133365631104,2020-12-08 22:57:30.188358,2020-12-08 23:25:31.027995,0 days 00:28:00.839637,128,1000000,0.995,20000,-2.6562838348401785,0.00023390746951305167,big,0.01,512,PRUNED
44,44,0.75,2020-12-08 23:25:31.039206,2020-12-08 23:41:24.691923,0 days 00:15:53.652717,64,100000,0.9,0,-0.25836196398330324,0.00032903354903674847,big,0.005,64,PRUNED
45,45,1.2049181461334229,2020-12-08 23:41:24.704624,2020-12-08 23:59:32.143060,0 days 00:18:07.438436,64,10000,0.98,0,-3.2227963808467504,0.0006460814393753415,medium,0.005,256,PRUNED
46,46,0.75,2020-12-08 23:59:32.155451,2020-12-09 00:08:44.663357,0 days 00:09:12.507906,256,10000,0.9999,10000,-3.6019515481485405,0.20552054193918026,small,0.01,128,PRUNED
47,47,0.75,2020-12-09 00:08:44.679955,2020-12-09 00:19:33.646506,0 days 00:10:48.966551,32,100000,0.999,10000,-2.8999498497761556,0.016186817024738186,medium,0.001,32,PRUNED
48,48,0.75,2020-12-09 00:19:33.660849,2020-12-09 00:26:56.304202,0 days 00:07:22.643353,32,100000,0.9,20000,-3.229738866214201,0.018516714314826117,small,0.001,64,PRUNED
49,49,0.75,2020-12-09 00:26:56.316525,2020-12-09 00:50:12.553884,0 days 00:23:16.237359,32,100000,0.999,10000,-3.836145373482089,0.8859244876646066,big,0.001,256,PRUNED
50,50,0.75,2020-12-09 00:50:12.567334,2020-12-09 01:06:54.132772,0 days 00:16:41.565438,128,1000000,0.99,20000,-3.443178366311561,0.015601913342971712,medium,0.005,128,PRUNED
51,51,1.0459144115447998,2020-12-09 01:06:54.144919,2020-12-09 02:01:22.922034,0 days 00:54:28.777115,64,1000000,0.99,1000,-3.218366001437819,0.00047939485868574226,big,0.005,512,COMPLETE
52,52,1.0557204484939575,2020-12-09 02:01:22.959848,2020-12-09 02:32:45.842550,0 days 00:31:22.882702,64,1000000,0.995,0,-0.9954423869036626,0.0029380877345944563,small,0.005,256,COMPLETE
53,53,0.8444476127624512,2020-12-09 02:32:45.880669,2020-12-09 03:19:05.725718,0 days 00:46:19.845049,32,1000000,0.98,1000,0.010982087653834682,0.00021551083128665125,big,0.005,512,COMPLETE
54,54,0.75,2020-12-09 03:19:05.763274,2020-12-09 03:29:47.530982,0 days 00:10:41.767708,16,10000,0.9999,10000,0.7928552007312479,0.11305182311581621,big,0.001,32,PRUNED
