,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,7.665567874908447,2020-11-21 06:15:03.595339,2020-11-21 11:11:23.601487,0 days 04:56:20.006148,32,1000000,0.99,0,0.03727774203326284,0.002373916587425756,medium,0.005,512,COMPLETE
1,1,0.75,2020-11-21 06:15:03.601899,2020-11-21 09:26:28.533856,0 days 03:11:24.931957,16,1000000,0.99,10000,0.5106868582943331,0.296547925453276,small,0.01,32,COMPLETE
2,2,0.75,2020-11-21 06:15:03.651740,2020-11-21 16:54:43.244612,0 days 10:39:39.592872,256,10000,0.99,10000,-3.302825055959566,0.3412853956314097,medium,0.001,128,COMPLETE
3,3,7.008326530456543,2020-11-21 06:15:03.666452,2020-11-21 10:54:08.580107,0 days 04:39:04.913655,64,1000000,0.9,20000,-1.9195451763256837,2.5596507512423786e-05,big,0.02,512,COMPLETE
4,4,0.75,2020-11-21 09:26:28.614964,2020-11-21 17:47:42.269490,0 days 08:21:13.654526,256,100000,0.995,0,-1.660120623289517,0.2109240412092881,big,0.005,64,COMPLETE
5,5,0.75,2020-11-21 10:54:08.625252,2020-11-21 13:13:14.653483,0 days 02:19:06.028231,32,1000000,0.999,20000,0.3794805936538399,0.07671500382257004,small,0.02,32,COMPLETE
6,6,7.239091396331787,2020-11-21 11:11:23.713964,2020-11-21 14:08:52.315703,0 days 02:57:28.601739,256,100000,0.99,20000,-0.8690765002996907,9.414091611782684e-05,small,0.02,32,COMPLETE
7,7,8.068227767944336,2020-11-21 13:13:14.699518,2020-11-21 16:48:47.253550,0 days 03:35:32.554032,32,10000,0.95,20000,-3.789069693098118,3.072814793724518e-05,medium,0.01,64,COMPLETE
8,8,8.015376091003418,2020-11-21 14:08:52.368304,2020-11-21 16:38:10.712392,0 days 02:29:18.344088,32,100000,0.99,10000,-3.1400767400629634,0.000510257408287074,small,0.02,32,COMPLETE
9,9,0.7787617444992065,2020-11-21 16:38:10.761300,2020-11-21 19:43:37.151948,0 days 03:05:26.390648,256,1000000,0.99,10000,-1.6042018995184355,1.0966444631575375e-05,medium,0.001,128,PRUNED
10,10,7.5666046142578125,2020-11-21 16:48:47.303820,2020-11-21 19:40:08.065264,0 days 02:51:20.761444,256,10000,0.95,20000,-2.581504428280039,0.0010131145021729322,small,0.02,16,COMPLETE
11,11,7.869229316711426,2020-11-21 16:54:43.303854,2020-11-22 01:23:43.013160,0 days 08:28:59.709306,128,100000,0.9999,10000,-2.34710667483939,0.0005385602516029339,big,0.001,512,COMPLETE
12,12,3.633209705352783,2020-11-21 17:47:42.318217,2020-11-21 20:03:56.258374,0 days 02:16:13.940157,16,10000,0.995,1000,-1.9045112308796162,0.18587103763577156,medium,0.02,512,PRUNED
13,13,3.633209705352783,2020-11-21 19:40:08.106488,2020-11-21 21:55:42.635888,0 days 02:15:34.529400,128,1000000,0.98,0,0.2044021465686514,0.08799626576447854,small,0.005,256,PRUNED
14,14,5.5351080894470215,2020-11-21 19:43:37.177270,2020-11-21 21:57:30.699410,0 days 02:13:53.522140,16,100000,0.99,1000,-3.830874802289511,0.009296178119623863,small,0.02,512,COMPLETE
15,15,0.75,2020-11-21 20:03:56.283110,2020-11-21 22:25:07.812632,0 days 02:21:11.529522,256,100000,0.98,1000,-3.8103362174752275,0.94443010692854,big,0.001,16,PRUNED
16,16,0.7662861943244934,2020-11-21 21:55:42.655135,2020-11-22 00:03:38.578605,0 days 02:07:55.923470,512,100000,0.9,10000,-2.9693088214956536,1.8561865887097853e-05,medium,0.005,512,PRUNED
17,17,2.435192108154297,2020-11-21 21:57:30.756808,2020-11-22 00:29:49.433041,0 days 02:32:18.676233,32,10000,0.9,10000,-1.9001519474182724,0.010501626730053826,medium,0.005,256,PRUNED
18,18,6.644073486328125,2020-11-21 22:25:07.840328,2020-11-22 00:58:04.132622,0 days 02:32:56.292294,16,100000,0.999,20000,-1.7459769375508474,0.00025102700458127456,big,0.005,32,PRUNED
19,19,0.75,2020-11-22 00:03:38.606873,2020-11-22 01:10:55.791076,0 days 01:07:17.184203,512,10000,0.995,0,-3.3265743717553535,0.05561807027931338,small,0.005,16,PRUNED
20,20,3.633209705352783,2020-11-22 00:29:49.452733,2020-11-22 01:47:58.098034,0 days 01:18:08.645301,512,10000,0.98,1000,-0.79575873145542,0.2204973944997748,small,0.005,128,PRUNED
21,21,0.75,2020-11-22 00:58:04.159016,2020-11-22 02:03:10.918996,0 days 01:05:06.759980,512,10000,0.9,0,-1.1030928525549575,0.049203561993600584,small,0.02,512,PRUNED
22,22,6.771058082580566,2020-11-22 01:10:55.825465,2020-11-22 10:13:40.869304,0 days 09:02:45.043839,128,1000000,0.995,20000,0.009791946222036607,0.002206785562752851,big,0.02,8,COMPLETE
23,23,7.3532233238220215,2020-11-22 01:23:43.114854,2020-11-22 06:00:30.394798,0 days 04:36:47.279944,32,100000,0.99,1000,-1.3615867947120246,0.0029546606225740934,medium,0.001,32,COMPLETE
24,24,0.75,2020-11-22 01:47:58.123223,2020-11-22 04:16:48.005950,0 days 02:28:49.882727,256,100000,0.9999,0,0.4786785498234467,0.09930879757750286,big,0.01,8,PRUNED
25,25,0.75,2020-11-22 02:03:10.935955,2020-11-22 03:23:29.049164,0 days 01:20:18.113209,16,100000,0.99,0,0.9326824972753078,0.45970200385246157,big,0.01,64,PRUNED
26,26,0.75,2020-11-22 03:23:29.071256,2020-11-22 04:35:22.615247,0 days 01:11:53.543991,16,100000,0.98,10000,-1.3760704574012976,0.2114971980952912,big,0.01,128,PRUNED
27,27,0.7564553618431091,2020-11-22 04:16:48.029502,2020-11-22 06:07:37.006988,0 days 01:50:48.977486,512,1000000,0.95,10000,0.5555750640190604,1.114981473879204e-05,medium,0.005,512,PRUNED
28,28,0.75,2020-11-22 04:35:22.632510,2020-11-22 05:56:52.662474,0 days 01:21:30.029964,16,10000,0.9999,0,0.829055339258276,0.17366093762625778,big,0.001,512,PRUNED
29,29,7.860414028167725,2020-11-22 05:56:52.683860,2020-11-22 10:57:14.353065,0 days 05:00:21.669205,64,100000,0.95,20000,-0.8868395288491739,0.00015182827079559456,big,0.02,64,COMPLETE
30,30,5.035483360290527,2020-11-22 06:00:30.441677,2020-11-22 09:25:17.432286,0 days 03:24:46.990609,256,100000,0.95,1000,-2.466222597458153,7.063856630348468e-05,small,0.001,128,COMPLETE
31,31,0.75,2020-11-22 06:07:37.028577,2020-11-22 07:18:22.686945,0 days 01:10:45.658368,32,1000000,0.9,10000,-0.942172882391366,1.722886991404334e-05,big,0.001,256,PRUNED
32,32,7.229165554046631,2020-11-22 07:18:22.706341,2020-11-22 10:00:28.154627,0 days 02:42:05.448286,128,1000000,0.9,1000,-1.4117592538113666,0.0006586243377427417,medium,0.005,8,PRUNED
33,33,6.567598819732666,2020-11-22 09:25:17.492115,2020-11-22 14:27:41.735326,0 days 05:02:24.243211,32,100000,0.98,10000,-2.8503196922178513,0.0006581348622607501,medium,0.02,128,COMPLETE
34,34,0.75,2020-11-22 10:00:28.174701,2020-11-22 11:14:33.391592,0 days 01:14:05.216891,512,100000,0.95,0,-0.9354007199259109,0.06007876424030447,small,0.001,16,PRUNED
35,35,0.7729337215423584,2020-11-22 10:13:41.041957,2020-11-22 11:15:54.538045,0 days 01:02:13.496088,64,1000000,0.95,0,-3.919867775613882,2.8435114347998272e-05,small,0.005,256,PRUNED
36,36,1.0927331447601318,2020-11-22 10:57:14.411790,2020-11-22 13:44:38.137111,0 days 02:47:23.725321,128,100000,0.995,1000,-3.3380279438963547,3.930367823471452e-05,big,0.02,16,PRUNED
37,37,0.75,2020-11-22 11:14:33.411736,2020-11-22 12:29:06.956677,0 days 01:14:33.544941,128,100000,0.99,10000,-3.6559453552198695,0.21839301578378448,small,0.01,256,PRUNED
38,38,1.9960311651229858,2020-11-22 11:15:54.573683,2020-11-22 13:37:38.897336,0 days 02:21:44.323653,16,100000,0.999,20000,-3.6158091518801814,0.0024099998403557562,small,0.02,256,COMPLETE
39,39,0.75,2020-11-22 12:29:07.127626,2020-11-22 13:53:54.138671,0 days 01:24:47.011045,16,1000000,0.95,10000,-3.784621292341727,0.9071465273993593,big,0.001,512,PRUNED
40,40,0.8132942914962769,2020-11-22 13:37:38.947175,2020-11-22 14:49:49.627708,0 days 01:12:10.680533,64,10000,0.95,0,-2.3686930896619973,2.9786508252387404e-05,medium,0.001,64,PRUNED
41,41,0.75,2020-11-22 13:44:38.162504,2020-11-22 16:02:24.094979,0 days 02:17:45.932475,128,1000000,0.9999,0,-3.3181329631147642,0.010948295149068836,big,0.001,16,PRUNED
