,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,1.7105621099472046,2020-12-04 17:18:26.821335,2020-12-04 18:06:28.912520,0 days 00:48:02.091185,256,100000,0.98,10000,-2.2282652733859933,0.23110680105624898,big,0.02,512,COMPLETE
1,1,7.406195163726807,2020-12-04 18:06:28.950095,2020-12-04 18:52:10.949137,0 days 00:45:41.999042,512,1000000,0.995,20000,-1.69726861706497,1.6804549369468872e-05,medium,0.02,8,COMPLETE
2,2,1.7054059505462646,2020-12-04 18:52:10.966843,2020-12-04 19:36:06.317684,0 days 00:43:55.350841,128,10000,0.9999,20000,-2.791736137232922,0.6879736282938896,medium,0.005,64,COMPLETE
3,3,5.781167984008789,2020-12-04 19:36:06.357866,2020-12-04 20:19:54.863464,0 days 00:43:48.505598,64,1000000,0.99,10000,0.7840522553913605,0.0009102322316747335,small,0.005,16,COMPLETE
4,4,4.4639573097229,2020-12-04 20:19:54.886438,2020-12-04 21:04:52.253180,0 days 00:44:57.366742,64,10000,0.995,1000,-3.627454034952067,0.0007241981785170074,small,0.005,256,COMPLETE
5,5,10.743492126464844,2020-12-04 21:04:52.274165,2020-12-04 21:50:17.928686,0 days 00:45:25.654521,16,1000000,0.99,1000,-3.3571901702788445,2.8127141555638054e-05,medium,0.01,64,COMPLETE
6,6,2.2936577796936035,2020-12-04 21:50:17.964993,2020-12-04 22:35:11.630459,0 days 00:44:53.665466,128,10000,0.9,0,-1.109721189177027,0.00038895200941474565,small,0.001,64,COMPLETE
7,7,10.023537635803223,2020-12-04 22:35:11.659758,2020-12-04 23:20:22.798081,0 days 00:45:11.138323,16,10000,0.99,1000,-1.9715964115941325,0.015172254910714042,big,0.005,8,COMPLETE
8,8,1.7248302698135376,2020-12-04 23:20:22.817995,2020-12-05 00:04:52.907524,0 days 00:44:30.089529,128,100000,0.99,10000,0.7317158514194677,0.0007281658499116141,big,0.001,512,COMPLETE
9,9,4.48492431640625,2020-12-05 00:04:52.945828,2020-12-05 00:49:28.649280,0 days 00:44:35.703452,128,10000,0.9999,10000,-3.6060456943343917,0.0007912759769399459,medium,0.001,64,COMPLETE
10,10,1.7793405055999756,2020-12-05 00:49:28.676214,2020-12-05 01:03:14.723452,0 days 00:13:46.047238,32,100000,0.99,1000,0.4804763236743028,0.0075248759118928185,big,0.02,8,PRUNED
11,11,1.8919748067855835,2020-12-05 01:03:14.736637,2020-12-05 01:17:10.480147,0 days 00:13:55.743510,256,10000,0.99,0,-0.8245473951870577,1.6952287536064172e-05,big,0.01,8,PRUNED
12,12,2.0432116985321045,2020-12-05 01:17:10.501867,2020-12-05 01:36:19.859292,0 days 00:19:09.357425,32,100000,0.9,10000,-2.494715946883293,0.0008748953299990189,medium,0.005,256,PRUNED
13,13,5.676146984100342,2020-12-05 01:36:19.867872,2020-12-05 02:21:24.452529,0 days 00:45:04.584657,128,1000000,0.98,1000,0.12480948007655357,0.00013305385877664312,small,0.01,16,COMPLETE
14,14,3.4869091510772705,2020-12-05 02:21:24.475687,2020-12-05 03:07:18.268287,0 days 00:45:53.792600,64,1000000,0.9999,1000,-2.2378155728714004,0.020006698656197888,medium,0.001,16,COMPLETE
15,15,1.8122419118881226,2020-12-05 03:07:18.292308,2020-12-05 03:19:47.590816,0 days 00:12:29.298508,512,1000000,0.95,10000,-2.365208006752261,0.14630971156746883,medium,0.01,16,PRUNED
16,16,1.8488155603408813,2020-12-05 03:19:47.600509,2020-12-05 03:30:25.449113,0 days 00:10:37.848604,64,100000,0.9999,20000,-2.4441740228048054,2.9444528805740832e-05,small,0.001,16,PRUNED
17,17,8.462186813354492,2020-12-05 03:30:25.458032,2020-12-05 04:15:32.687697,0 days 00:45:07.229665,128,10000,0.9999,0,-2.2635065083758086,0.0002799073906104845,small,0.005,16,COMPLETE
18,18,9.919179916381836,2020-12-05 04:15:32.710719,2020-12-05 05:02:24.802377,0 days 00:46:52.091658,512,100000,0.98,1000,-1.4759359152720912,0.00038101099457058397,big,0.005,8,COMPLETE
