,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
0,0,,2020-12-22 17:01:49.008768,2020-12-22 17:01:51.093200,0 days 00:00:02.084432,16,100000,0.99,10000,0.9577541935442166,0.0003818884562713309,medium,0.005,128,"Trial 0 failed because of the following error: TypeError(""type numpy.ndarray doesn't define __round__ method"")",FAIL
1,1,0.75,2020-12-22 19:24:43.100030,2020-12-22 20:42:37.788432,0 days 01:17:54.688402,16,100000,0.98,0,0.6962024179418069,0.001190057156933101,big,0.01,256,,COMPLETE
2,2,7.205852,2020-12-22 20:42:37.823344,2020-12-22 21:55:11.954388,0 days 01:12:34.131044,16,10000,0.999,20000,-2.3870499250429105,0.004654805792459789,big,0.01,128,,COMPLETE
3,3,7.489009,2020-12-22 21:55:11.977607,2020-12-22 23:15:32.539194,0 days 01:20:20.561587,128,100000,0.9999,1000,-2.657809126033851,2.6948338702050348e-05,big,0.005,16,,COMPLETE
4,4,0.75,2020-12-22 23:15:32.602426,2020-12-23 00:38:31.422167,0 days 01:22:58.819741,64,100000,0.9,0,-3.4476842787310327,0.12611489518912788,big,0.001,512,,COMPLETE
5,5,7.712041999999999,2020-12-23 00:38:31.445938,2020-12-23 01:47:00.193994,0 days 01:08:28.748056,128,10000,0.95,20000,-1.1641071092271953,0.0003288660391543564,small,0.01,64,,COMPLETE
6,6,0.75,2020-12-23 01:47:00.214422,2020-12-23 02:59:19.180621,0 days 01:12:18.966199,64,100000,0.9999,10000,-2.3515503934731177,0.12812956180984159,big,0.001,128,,COMPLETE
7,7,7.690112999999999,2020-12-23 02:59:19.199716,2020-12-23 04:14:15.043054,0 days 01:14:55.843338,32,1000000,0.98,0,-1.0862252837261241,0.0009202479470943775,medium,0.005,16,,COMPLETE
8,8,0.75,2020-12-23 04:14:15.109522,2020-12-23 05:29:36.155284,0 days 01:15:21.045762,256,100000,0.99,1000,-2.792962500922456,0.8340903472957095,medium,0.005,256,,COMPLETE
9,9,1.398477,2020-12-23 05:29:36.175600,2020-12-23 06:42:28.463599,0 days 01:12:52.287999,256,10000,0.9,10000,-1.778488354225427,0.0010031822177720346,big,0.02,512,,COMPLETE
10,10,0.75,2020-12-23 06:42:28.487923,2020-12-23 07:55:44.980100,0 days 01:13:16.492177,512,100000,0.9999,10000,-2.5928939779565665,0.02479897413489609,big,0.02,256,,COMPLETE
11,11,7.519878,2020-12-23 07:55:45.000221,2020-12-23 09:08:19.308408,0 days 01:12:34.308187,512,1000000,0.98,10000,-2.3393078212453355,0.0013291806679713363,medium,0.001,64,,COMPLETE
12,12,3.633214,2020-12-23 09:08:19.328133,2020-12-23 09:42:54.999122,0 days 00:34:35.670989,16,10000,0.995,10000,-1.2435903935821209,0.24822514380291796,small,0.005,16,,PRUNED
13,13,7.747566000000001,2020-12-23 09:42:55.008291,2020-12-23 10:53:27.053712,0 days 01:10:32.045421,16,1000000,0.98,1000,-1.8509281770626145,0.004369671872461365,medium,0.02,16,,COMPLETE
14,14,7.437386999999999,2020-12-23 10:53:27.151135,2020-12-23 12:03:57.260412,0 days 01:10:30.109277,64,100000,0.999,0,-0.8731599857810206,0.0031589816397948386,small,0.001,8,,COMPLETE
15,15,0.75,2020-12-23 12:03:57.283116,2020-12-23 12:20:48.032012,0 days 00:16:50.748896,256,10000,0.999,20000,-3.884612968492401,0.038153098891660436,big,0.001,32,,PRUNED
16,16,0.778488,2020-12-23 12:20:48.039679,2020-12-23 12:37:50.228397,0 days 00:17:02.188718,64,10000,0.95,20000,-0.8400274270769561,1.0842663975042432e-05,medium,0.02,256,,PRUNED
17,17,7.696305,2020-12-23 12:37:50.236296,2020-12-23 13:43:30.456749,0 days 01:05:40.220453,16,10000,0.95,20000,-2.062583695589023,0.00343434501300948,small,0.005,32,,COMPLETE
18,18,0.75,2020-12-23 13:43:30.491279,2020-12-23 14:05:19.596707,0 days 00:21:49.105428,128,100000,0.9,0,0.2615795298421304,0.022141716570792003,medium,0.01,8,,PRUNED
19,19,2.406145,2020-12-23 14:05:19.603667,2020-12-23 14:26:32.723620,0 days 00:21:13.119953,256,10000,0.98,0,-2.5356869443244516,4.461428469189014e-05,small,0.01,256,,PRUNED
20,20,3.633214,2020-12-23 14:26:32.731366,2020-12-23 14:47:52.570427,0 days 00:21:19.839061,512,1000000,0.98,1000,0.9038640598217862,0.013802053021828197,medium,0.01,16,,PRUNED
21,21,0.772215,2020-12-23 14:47:52.577405,2020-12-23 15:08:45.421131,0 days 00:20:52.843726,128,10000,0.9,1000,-0.8810305663980125,2.7005375297548748e-05,small,0.001,128,,PRUNED
