,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,,2021-06-01 22:37:25.990068,2021-06-01 22:45:13.251000,0 days 00:07:47.260932,128,10000,0.999,1000,-2.0027276724815017,0.031754373312111825,medium,0.02,32,FAIL
1,1,7.61312,2021-06-01 22:49:08.433229,2021-06-01 23:58:56.551243,0 days 01:09:48.118014,512,10000,0.99,1000,-2.961386117209144,2.916346710817168e-05,small,0.02,16,COMPLETE
2,2,0.75,2021-06-01 23:58:56.573767,2021-06-02 01:08:00.323889,0 days 01:09:03.750122,64,10000,0.98,0,0.428686646007435,0.028169972653918712,small,0.05,32,COMPLETE
3,3,3.633214,2021-06-02 01:08:00.349234,2021-06-02 02:14:43.909529,0 days 01:06:43.560295,2048,10000,0.999,20000,-1.0813184421293274,0.024002688331680927,big,0.02,64,COMPLETE
4,4,0.75,2021-06-02 02:14:43.931083,2021-06-02 03:35:29.871774,0 days 01:20:45.940691,128,100000,0.95,0,-2.9063741751487093,0.21710235472373787,medium,0.02,512,COMPLETE
5,5,7.682727,2021-06-02 03:35:29.886957,2021-06-02 04:48:03.505725,0 days 01:12:33.618768,512,1000000,0.98,0,-1.8896634638731933,0.003621519885579724,big,0.02,16,COMPLETE
6,6,7.678921,2021-06-02 04:48:03.604323,2021-06-02 05:54:52.739340,0 days 01:06:49.135017,1024,10000,0.95,10000,-1.3204044612077657,0.0011489828458748992,big,0.005,8,COMPLETE
7,7,0.75,2021-06-02 05:54:52.755081,2021-06-02 06:57:45.104477,0 days 01:02:52.349396,16,1000000,0.9999,10000,-0.3478656171609913,0.36808361860028876,small,0.005,16,COMPLETE
8,8,7.749002,2021-06-02 06:57:45.118524,2021-06-02 08:05:41.276907,0 days 01:07:56.158383,128,1000000,0.95,0,-0.07182059267488627,2.317330756356149e-05,big,0.01,64,COMPLETE
9,9,0.75,2021-06-02 08:05:41.291564,2021-06-02 09:09:43.242472,0 days 01:04:01.950908,2048,10000,0.995,20000,-0.6497159926232472,0.12992280634496028,medium,0.05,16,COMPLETE
10,10,3.633214,2021-06-02 09:09:43.338850,2021-06-02 10:17:17.187567,0 days 01:07:33.848717,256,1000000,0.98,1000,-0.11192189257610696,0.2734602204633955,medium,0.01,512,COMPLETE
11,11,0.75,2021-06-02 10:17:17.207993,2021-06-02 10:37:54.833154,0 days 00:20:37.625161,128,1000000,0.9,0,0.9657797908810695,2.6725959927225343e-05,big,0.001,256,PRUNED
12,12,7.706208000000001,2021-06-02 10:37:54.839634,2021-06-02 11:47:07.345703,0 days 01:09:12.506069,32,1000000,0.95,0,-2.127591236753079,0.0005649480396773703,big,0.01,64,COMPLETE
13,13,7.711399,2021-06-02 11:47:07.372763,2021-06-02 12:58:38.102904,0 days 01:11:30.730141,32,1000000,0.95,0,-2.255575362925252,0.0001583164670593449,big,0.01,64,COMPLETE
14,14,7.7472650000000005,2021-06-02 12:58:38.118162,2021-06-02 14:09:50.492956,0 days 01:11:12.374794,32,100000,0.95,0,-3.646838961167446,0.00012212587956536631,big,0.01,128,COMPLETE
15,15,0.792647,2021-06-02 14:09:50.507793,2021-06-02 14:29:57.743060,0 days 00:20:07.235267,32,100000,0.95,0,-3.833721873146027,1.2520790881248015e-05,big,0.01,128,PRUNED
16,16,7.755079,2021-06-02 14:29:57.749492,2021-06-02 15:41:00.155340,0 days 01:11:02.405848,128,100000,0.95,0,0.6807539874451443,0.00011469498320588435,big,0.01,128,COMPLETE
17,17,7.690714,2021-06-02 15:41:00.172024,2021-06-02 16:37:32.770164,0 days 00:56:32.598140,128,100000,0.999,0,0.9428642722242881,0.00011588004949575389,big,0.001,128,COMPLETE
18,18,0.75,2021-06-02 16:37:32.785868,2021-06-02 16:49:10.089459,0 days 00:11:37.303591,128,100000,0.9,20000,0.2599739755020188,1.2484419410829466e-05,big,0.01,64,PRUNED
19,19,,2021-06-02 16:49:10.096013,,,128,100000,0.9999,1000,0.5095716526807637,0.00044974482778947187,big,0.01,128,RUNNING
20,20,0.864458,2021-06-02 16:53:03.622108,2021-06-02 17:06:05.704076,0 days 00:13:02.081968,128,100000,0.995,10000,0.6787608455805283,4.69457855731295e-05,big,0.01,128,PRUNED
