#{"t_start": 1607536656.451999, "env_id": "fishing-v1"}
r,l,t
0.75,1,0.014902
0.75,1,0.016081
0.75,1,0.018045
0.75,1,0.019141
0.75,1,0.020127
0.75,1,0.021116
0.75,1,0.022369
0.75,1,0.023623
0.75,1,0.024891
0.75,1,0.026152
0.75,1,0.027429
0.75,1,0.028715
0.75,1,0.029982
0.75,1,0.031241
0.75,1,0.032472
0.75,1,0.033925
0.75,1,0.035292
0.75,1,0.036586
0.75,1,0.03787
0.75,1,0.03912
0.75,1,0.040411
0.75,1,0.04377
0.75,1,0.045207
0.75,1,0.046449
0.75,1,0.047758
0.75,1,0.049036
0.75,1,0.050311
0.75,1,0.051662
0.75,1,0.052925
0.75,1,0.05413
0.75,1,0.055416
0.75,1,0.056719
0.75,1,0.057996
0.75,1,0.059262
0.75,1,0.060561
0.75,1,0.061825
0.75,1,0.063074
0.75,1,0.064308
0.75,1,0.065595
0.75,1,0.06686
0.75,1,0.068149
0.75,1,0.069425
0.75,1,0.070689
0.75,1,0.071965
0.75,1,0.073342
0.75,1,0.074587
0.75,1,0.07589
0.75,1,0.077188
0.75,1,0.078458
0.75,1,0.079726
0.75,1,0.080982
0.75,1,0.082197
0.75,1,0.083426
0.75,1,0.084713
0.75,1,0.085986
0.75,1,0.087262
0.75,1,0.088542
0.75,1,0.089813
0.75,1,0.091056
0.75,1,0.092248
0.75,1,0.093521
0.75,1,0.09479
0.75,1,0.096072
0.75,1,0.097351
0.75,1,0.098615
0.75,1,0.099893
0.75,1,0.101111
0.75,1,0.102314
0.75,1,0.103584
0.75,1,0.104861
0.75,1,0.106125
0.75,1,0.107383
0.75,1,0.108642
0.75,1,0.109862
0.75,1,0.111153
0.75,1,0.112431
0.75,1,0.113716
0.75,1,0.114978
0.75,1,0.116245
0.75,1,0.117487
0.75,1,0.118711
0.75,1,0.120013
0.75,1,0.1213
0.75,1,0.122564
0.75,1,0.12386
0.75,1,0.125314
0.75,1,0.126549
0.75,1,0.127775
0.75,1,0.128975
0.75,1,0.130277
0.75,1,0.131576
0.75,1,0.132847
0.75,1,0.134123
0.75,1,0.135381
0.75,1,0.136656
0.75,1,0.137853
0.75,1,0.139149
0.75,1,0.140439
0.75,1,0.141727
0.75,1,0.143009
0.75,1,0.144314
0.75,1,0.145586
0.75,1,0.14684
0.75,1,0.148044
0.75,1,0.149328
0.75,1,0.15061
0.75,1,0.151891
0.75,1,0.153199
0.75,1,0.154469
0.75,1,0.155744
0.75,1,0.156974
0.75,1,0.158191
0.75,1,0.159477
0.75,1,0.160745
0.75,1,0.162019
0.75,1,0.163289
0.75,1,0.164559
0.75,1,0.184224
0.75,1,0.186536
0.75,1,0.188988
0.75,1,0.19036
0.75,1,0.191698
0.75,1,0.192741
0.75,1,0.193616
0.75,1,0.194514
0.75,1,0.195366
0.75,1,0.196399
0.75,1,0.197435
0.75,1,0.1985
0.75,1,0.199505
0.75,1,0.200621
0.75,1,0.201616
0.75,1,0.2028
0.75,1,0.204012
0.75,1,0.205023
0.75,1,0.206062
0.75,1,0.207117
0.75,1,0.208329
0.75,1,0.209304
0.75,1,0.210391
0.75,1,0.21156
0.75,1,0.212547
0.75,1,0.213589
0.75,1,0.214704
0.75,1,0.215892
0.75,1,0.217029
0.75,1,0.218126
0.75,1,0.219057
0.75,1,0.220219
0.75,1,0.22143
0.75,1,0.222542
0.75,1,0.223749
0.75,1,0.224782
0.75,1,0.225903
0.75,1,0.227018
0.75,1,0.228257
0.75,1,0.229356
0.75,1,0.230527
0.75,1,0.23156
0.75,1,0.232635
0.75,1,0.23377
0.75,1,0.234928
0.75,1,0.236003
0.75,1,0.236943
0.75,1,0.237881
0.75,1,0.238827
0.75,1,0.239918
0.75,1,0.240842
0.75,1,0.24203
0.75,1,0.243157
0.75,1,0.244239
0.75,1,0.245215
0.75,1,0.246177
0.75,1,0.24721
0.75,1,0.248325
0.75,1,0.249294
0.75,1,0.250137
0.75,1,0.251114
0.75,1,0.252151
0.75,1,0.253308
0.75,1,0.254582
0.75,1,0.255673
0.75,1,0.256788
0.75,1,0.25778
0.75,1,0.25872
0.75,1,0.259522
0.75,1,0.260395
0.75,1,0.26131
0.75,1,0.262221
0.75,1,0.263203
0.75,1,0.264377
0.75,1,0.265366
0.75,1,0.266306
0.75,1,0.267371
