,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
18,18,4.464908,2021-06-03 05:49:23.597473,2021-06-03 05:52:29.186516,0 days 00:03:05.589043,relu,512,0.1,4.1270044477877276e-05,0.8,0.9999,0.0007843925604713012,0.6,5,1024,small,0.7849685478853683,COMPLETE
19,19,0.0,2021-06-03 05:52:29.201846,2021-06-03 05:55:56.285496,0 days 00:03:27.083650,relu,512,0.1,2.881661268100189e-05,0.8,0.9999,0.05060279486096129,0.6,10,1024,small,0.03290181640325,COMPLETE
20,20,0.75,2021-06-03 05:55:56.300977,2021-06-03 06:42:12.930880,0 days 00:46:16.629903,relu,512,0.1,0.025385497390887878,0.8,0.999,0.0014508262236389844,0.5,20,16,small,0.8329475139528696,COMPLETE
21,21,0.75,2021-06-03 06:42:12.945970,2021-06-03 06:45:15.077362,0 days 00:03:02.131392,relu,512,0.3,1.1871802505435027e-08,0.9,0.99,0.0003363033593327846,1.0,5,1024,medium,0.2968501637436477,COMPLETE
22,22,0.75,2021-06-03 06:45:15.092732,2021-06-03 06:48:38.123934,0 days 00:03:23.031202,relu,512,0.2,6.601705165630605e-05,0.99,0.995,0.022502860251243716,0.7,10,1024,small,0.03433347803645531,COMPLETE
23,23,5.582236,2021-06-03 06:48:38.139309,2021-06-03 08:18:33.744288,0 days 01:29:55.604979,relu,8,0.1,1.0771476129567978e-08,0.92,0.98,0.00424379778714903,0.6,20,128,small,0.8017082357715013,COMPLETE
24,24,0.75,2021-06-03 08:18:33.760364,2021-06-03 09:48:55.036872,0 days 01:30:21.276508,relu,8,0.1,1.6462170541977664e-08,0.92,0.98,0.17722080270620574,0.6,20,128,small,0.6826182723453096,COMPLETE
25,25,0.75,2021-06-03 09:48:55.052448,2021-06-03 11:11:03.698924,0 days 01:22:08.646476,relu,8,0.1,1.25692179464584e-08,0.92,0.98,0.004004114153047705,0.6,20,128,small,0.8300930972814213,COMPLETE
26,26,0.75,2021-06-03 11:11:03.725294,2021-06-03 11:30:38.054494,0 days 00:19:34.329200,relu,64,0.1,0.00604856049056997,0.95,0.98,0.015317343526824283,0.6,20,32,small,0.7316621481231581,COMPLETE
27,27,2.891921,2021-06-03 11:30:38.081361,2021-06-03 12:42:32.242523,0 days 01:11:54.161162,relu,8,0.1,1.1804777334346269e-05,0.92,0.98,0.0025218405238629877,0.6,20,256,small,0.8603415451836455,COMPLETE
28,28,0.75,2021-06-03 12:42:32.257933,2021-06-03 12:48:47.727606,0 days 00:06:15.469673,relu,512,0.1,0.00012305163373502943,0.8,0.999,0.0003075307059424429,0.8,20,128,small,0.9192813974067735,COMPLETE
29,29,7.423736,2021-06-03 12:48:47.753392,2021-06-03 13:25:46.264092,0 days 00:36:58.510700,relu,8,0.1,7.580446141660526e-06,0.92,0.9999,0.0006506273991492695,2.0,10,1024,small,0.6238915754165858,COMPLETE
30,30,7.226293,2021-06-03 13:25:46.279655,2021-06-03 14:21:00.821967,0 days 00:55:14.542312,relu,8,0.1,3.673231211734173e-08,0.92,0.9999,0.0001031353802864105,2.0,20,512,small,0.6278220967264944,COMPLETE
31,31,0.75,2021-06-03 14:21:00.837205,2021-06-03 15:08:25.315499,0 days 00:47:24.478294,relu,8,0.1,5.9731302684266765e-06,0.92,0.9999,5.299022969842229e-05,2.0,20,512,medium,0.4299343669474082,COMPLETE
32,32,7.730557,2021-06-03 15:08:25.331194,2021-06-03 15:32:49.460307,0 days 00:24:24.129113,relu,8,0.3,4.0256070241946295e-08,0.92,0.9999,0.00010834749106766988,2.0,10,512,small,0.5970582566527072,COMPLETE
33,33,0.0,2021-06-03 15:32:49.483464,2021-06-03 15:40:07.617399,0 days 00:07:18.133935,relu,8,0.3,1.957619325698542e-06,0.9,0.9999,0.0005954046661940588,2.0,10,16,small,0.3684010296865586,PRUNED
34,34,0.75,2021-06-03 15:40:07.623628,2021-06-03 15:46:55.023704,0 days 00:06:47.400076,relu,32,0.3,3.725705079233046e-08,0.92,0.9999,0.0001429935191441728,2.0,10,512,small,0.4905150162642383,COMPLETE
35,35,0.75,2021-06-03 15:54:30.641669,2021-06-03 15:57:50.111275,0 days 00:03:19.469606,relu,8,0.3,4.9962445587832164e-08,0.92,0.9999,8.296672149730615e-05,2.0,1,512,small,0.6769312598357133,COMPLETE
36,36,,2021-06-03 15:57:50.131826,,,relu,8,0.3,2.182557690283139e-07,0.92,0.9999,2.2470340924100108e-05,2.0,10,512,small,0.6387492863693907,RUNNING
