,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
0,0,,2020-12-22 17:01:49.064080,2020-12-22 17:01:49.399511,0 days 00:00:00.335431,relu,16.0,0.2,8.275354430946056e-07,1.0,0.95,-1.6608234062499108,0.03355733355805606,0.8,20.0,32.0,medium,16.0,0.4691371256238738,"Trial 0 failed because of the following error: TypeError(""type numpy.ndarray doesn't define __round__ method"")",FAIL
1,1,,2020-12-22 17:01:49.074745,2020-12-22 17:01:49.348429,0 days 00:00:00.273684,tanh,64.0,0.3,5.692658193514627e-08,1.0,0.99,-3.4706527507973086,0.003541659258143569,0.8,20.0,16.0,small,128.0,0.4033703602228511,"Trial 1 failed because of the following error: TypeError(""type numpy.ndarray doesn't define __round__ method"")",FAIL
2,2,,2020-12-22 17:01:49.094336,2020-12-22 17:01:49.354197,0 days 00:00:00.259861,relu,256.0,0.2,0.000442866440186331,1.0,0.95,-3.2999325528253407,0.8156396000460452,0.6,1.0,16.0,medium,256.0,0.43434391657440674,"Trial 2 failed because of the following error: TypeError(""type numpy.ndarray doesn't define __round__ method"")",FAIL
3,3,,2020-12-22 17:01:49.111150,2020-12-22 17:01:49.361481,0 days 00:00:00.250331,tanh,64.0,0.3,9.928903693489716e-05,1.0,0.98,-3.7816706622402205,0.014914238100160364,0.8,10.0,32.0,small,-1.0,0.09661361444341021,"Trial 3 failed because of the following error: TypeError(""type numpy.ndarray doesn't define __round__ method"")",FAIL
4,4,,2020-12-22 17:01:49.381678,,,,,,,,,,,,,,,,,,RUNNING
5,5,,2020-12-22 17:01:49.381153,,,,,,,,,,,,,,,,,,RUNNING
6,6,,2020-12-22 17:01:49.411081,,,,,,,,,,,,,,,,,,RUNNING
7,7,7.4157384,2020-12-22 19:24:43.046840,2020-12-22 20:41:31.137819,0 days 01:16:48.090979,relu,512.0,0.2,3.756146305169206e-08,0.92,0.99,-3.280033701334802,0.00019533545031775028,0.3,5.0,1024.0,medium,16.0,0.23727839525920758,,COMPLETE
8,8,,2020-12-22 19:24:43.099269,,,tanh,16.0,0.3,0.03986803128835488,0.99,0.95,0.5516065927042639,0.0029293135742933817,0.7,10.0,2048.0,medium,-1.0,0.5527099567162905,,RUNNING
9,9,0.0,2020-12-22 19:24:43.165060,2020-12-22 23:01:14.387169,0 days 03:36:31.222109,tanh,512.0,0.1,6.810139994791241e-05,0.92,0.995,0.9280001394436042,0.25314985490609787,0.3,10.0,128.0,medium,128.0,0.16248350698946157,,COMPLETE
10,10,0.75,2020-12-22 19:24:43.184557,2020-12-22 23:48:03.863240,0 days 04:23:20.678683,tanh,16.0,0.1,0.002009969618190729,0.99,0.9999,-1.9243329197257077,0.20938169568314122,0.6,5.0,2048.0,small,256.0,0.3757531881902747,,COMPLETE
11,11,,2020-12-22 20:41:31.178751,,,tanh,32.0,0.2,4.861467694299698e-08,0.9,0.995,-1.6780029845686149,2.2518900335909213e-05,1.0,5.0,16.0,small,8.0,0.20423184960601748,,RUNNING
12,12,,2020-12-22 23:01:14.427333,,,tanh,64.0,0.2,1.1331955442861185e-07,1.0,0.9,-2.659481483084026,0.0014339108070415083,0.6,20.0,64.0,medium,256.0,0.6599351197143212,,RUNNING
13,13,,2020-12-22 23:48:03.911988,,,,,,,,,,,,,,,,,,RUNNING
14,14,0.9926489999999999,2020-12-29 22:23:37.757768,2020-12-30 00:33:20.806799,0 days 02:09:43.049031,relu,512.0,0.2,0.0013233585450301614,0.8,0.99,-0.05527236742936115,0.021082153032457404,0.3,10.0,128.0,medium,32.0,0.11585339046643894,,COMPLETE
15,15,0.75,2020-12-29 22:23:37.785884,2020-12-30 04:09:01.462759,0 days 05:45:23.676875,tanh,16.0,0.4,1.4514134035860346e-08,0.99,0.9,0.11803713857630616,0.015637594679293834,0.9,5.0,1024.0,small,128.0,0.5340661171333734,,COMPLETE
16,16,0.75,2020-12-29 22:23:37.800283,2020-12-30 04:20:03.162097,0 days 05:56:25.361814,relu,64.0,0.1,3.7110756420922696e-08,1.0,0.99,-2.5671754693074593,0.0011388856284340254,2.0,20.0,1024.0,medium,256.0,0.28670417750666344,,COMPLETE
17,17,2.8002670000000003,2020-12-29 22:23:37.813373,2020-12-29 23:27:12.020190,0 days 01:03:34.206817,tanh,64.0,0.3,8.363027503342182e-05,0.9,0.98,-0.4467827288860202,3.402071922083e-05,1.0,1.0,2048.0,medium,16.0,0.7282182079888188,,COMPLETE
18,18,0.75,2020-12-29 23:27:12.058863,2020-12-30 05:43:10.091991,0 days 06:15:58.033128,relu,16.0,0.2,0.027785983781698154,1.0,0.95,0.7726114377932101,0.08701337246812983,0.7,5.0,16.0,medium,64.0,0.06592381562144634,,COMPLETE
19,19,5.3514614,2020-12-30 00:33:20.845032,2020-12-30 21:49:31.030432,0 days 21:16:10.185400,tanh,16.0,0.1,6.209108712918709e-06,0.99,0.999,0.6865372566129242,5.136644364002769e-05,1.0,20.0,32.0,medium,32.0,0.07446245609292335,,COMPLETE
20,20,3.4541872,2020-12-30 04:09:01.495011,2020-12-30 05:02:50.215325,0 days 00:53:48.720314,tanh,512.0,0.1,0.08725141594400693,0.98,0.995,-3.9234511862494323,0.0023953532335836644,0.6,1.0,256.0,small,128.0,0.7667763569147319,,COMPLETE
21,21,0.75,2020-12-30 04:20:03.199404,2020-12-31 23:50:28.990732,1 days 19:30:25.791328,relu,16.0,0.4,1.785047701722788e-06,0.95,0.995,-3.436550947540173,0.051245176365702506,0.9,20.0,8.0,small,64.0,0.8165957783067017,,COMPLETE
22,22,0.0,2020-12-30 05:02:50.248844,2020-12-30 07:23:31.169376,0 days 02:20:40.920532,tanh,512.0,0.1,1.3276119048198783e-07,0.8,0.9,-0.2257541138930006,0.1576033710491242,2.0,20.0,128.0,medium,256.0,0.7980089613354721,,PRUNED
