#{"t_start": 1605916160.06421, "env_id": "fishing-v1"}
r,l,t
0.75,1,3.266611
0.75,1,3.268527
0.75,1,3.271038
0.75,1,3.273478
0.75,1,3.275444
0.75,1,3.277448
0.75,1,3.279552
0.75,1,3.281611
0.75,1,3.283616
0.75,1,3.285646
0.75,1,3.287364
0.75,1,3.28916
0.75,1,3.290826
0.75,1,3.293231
0.75,1,3.295301
0.75,1,3.296957
0.75,1,3.299106
0.75,1,3.301357
0.75,1,3.303856
0.75,1,3.306249
0.75,1,3.308479
0.75,1,3.310836
0.75,1,3.31269
0.75,1,3.314715
0.75,1,3.316749
0.75,1,3.318744
0.75,1,3.320501
0.75,1,3.322296
0.75,1,3.323929
0.75,1,3.325731
0.75,1,3.327745
0.75,1,3.329865
0.75,1,3.332369
0.75,1,3.334654
0.75,1,3.336339
0.75,1,3.338521
0.75,1,3.340537
0.75,1,3.342508
0.75,1,3.34438
0.75,1,3.346272
0.75,1,3.347984
0.75,1,3.349981
0.75,1,3.352119
0.75,1,3.354535
0.75,1,3.357302
0.75,1,3.359887
0.75,1,3.362552
0.75,1,3.365002
0.75,1,3.36727
0.75,1,3.369387
0.75,1,3.371871
0.75,1,3.373574
0.75,1,3.375517
0.75,1,3.377982
0.75,1,3.380434
0.75,1,3.382783
0.75,1,3.385231
0.75,1,3.387315
0.75,1,3.389591
0.75,1,3.391596
0.75,1,3.393767
0.75,1,3.395993
0.75,1,3.398247
0.75,1,3.40047
0.75,1,3.402774
0.75,1,3.405206
0.75,1,3.407446
0.75,1,3.409978
0.75,1,3.411967
0.75,1,3.414381
0.75,1,3.416896
0.75,1,3.419234
0.75,1,3.42175
0.75,1,3.424242
0.75,1,3.426636
0.75,1,3.429257
0.75,1,3.431388
0.75,1,3.433483
0.75,1,3.435483
0.75,1,3.438022
0.75,1,3.440392
0.75,1,3.44245
0.75,1,3.444842
0.75,1,3.446908
0.75,1,3.449333
0.75,1,3.451539
0.75,1,3.454033
0.75,1,3.456368
0.75,1,3.458677
0.75,1,3.460712
0.75,1,3.463156
0.75,1,3.465332
0.75,1,3.467605
0.75,1,3.470043
0.75,1,3.47249
0.75,1,3.474492
0.75,1,3.476716
0.75,1,3.479216
0.75,1,3.481999
0.75,1,3.484435
0.75,1,3.486698
0.75,1,3.48879
0.75,1,3.491187
0.75,1,3.493118
0.75,1,3.495575
0.75,1,3.497629
0.75,1,3.499937
0.75,1,3.502209
0.75,1,3.504841
0.75,1,3.507459
0.75,1,3.51009
0.75,1,3.512687
0.75,1,3.515659
0.75,1,3.518182
0.75,1,3.52057
0.75,1,3.52303
0.75,1,3.525188
0.75,1,3.527343
0.75,1,3.52987
0.75,1,3.532094
0.75,1,3.533897
0.75,1,3.536401
0.75,1,3.538322
0.75,1,3.540735
0.75,1,3.543075
0.75,1,3.545826
0.75,1,3.547783
0.75,1,3.549436
0.75,1,3.551363
0.75,1,3.553583
0.75,1,3.555659
0.75,1,3.557684
0.75,1,3.559742
0.75,1,3.561442
0.75,1,3.562978
0.75,1,3.565023
0.75,1,3.567251
0.75,1,3.569327
0.75,1,3.571454
0.75,1,3.573223
0.75,1,3.57546
0.75,1,3.57725
0.75,1,3.579319
0.75,1,3.581512
0.75,1,3.58365
0.75,1,3.585912
0.75,1,3.587896
0.75,1,3.589449
0.75,1,3.591658
0.75,1,3.592998
0.75,1,3.59448
0.75,1,3.596594
0.75,1,3.598444
0.75,1,3.599981
0.75,1,3.601649
0.75,1,3.603845
0.75,1,3.605869
0.75,1,3.608142
0.75,1,3.610609
0.75,1,3.612799
0.75,1,3.615427
0.75,1,3.618006
0.75,1,3.619943
0.75,1,3.622187
0.75,1,3.62447
0.75,1,3.626393
0.75,1,3.628413
0.75,1,3.630273
0.75,1,3.632008
0.75,1,3.633951
0.75,1,3.635967
0.75,1,3.63799
0.75,1,3.640043
0.75,1,3.642684
0.75,1,3.644891
0.75,1,3.647024
0.75,1,3.649353
0.75,1,3.651532
0.75,1,3.653262
0.75,1,3.655095
0.75,1,3.657541
0.75,1,3.659436
0.75,1,3.66152
0.75,1,3.663784
0.75,1,3.665671
0.75,1,3.667734
0.75,1,3.669745
0.75,1,3.671641
0.75,1,3.673907
0.75,1,3.67589
0.75,1,3.678397
0.75,1,3.680639
0.75,1,3.683148
0.75,1,3.685828
0.75,1,3.688509
0.75,1,3.691149
0.75,1,3.693354
0.75,1,3.695489
0.75,1,3.697677
0.75,1,3.699761
0.75,1,3.701853
0.75,1,3.704005
0.75,1,3.705961
0.75,1,3.707729
0.75,1,3.709639
0.75,1,3.711469
0.75,1,3.713974
0.75,1,3.716764
0.75,1,3.719368
0.75,1,3.721817
0.75,1,3.724285
0.75,1,3.726893
0.75,1,3.729326
0.75,1,3.731561
0.75,1,3.733754
0.75,1,3.735844
0.75,1,3.738156
0.75,1,3.740607
0.75,1,3.743122
0.75,1,3.745133
0.75,1,3.74711
0.75,1,3.749604
0.75,1,3.752275
0.75,1,3.754359
0.75,1,3.756664
0.75,1,3.758633
0.75,1,3.760442
0.75,1,3.762151
0.75,1,3.764135
0.75,1,3.766294
0.75,1,3.768343
0.75,1,3.770429
0.75,1,3.772334
0.75,1,3.774494
0.75,1,3.7763
0.75,1,3.778254
0.75,1,3.780253
0.75,1,3.78221
0.75,1,3.784256
0.75,1,3.786381
0.75,1,3.788633
0.75,1,3.790977
0.75,1,3.793156
0.75,1,3.795331
0.75,1,3.797623
0.75,1,3.799303
0.75,1,3.80127
0.75,1,3.802753
0.75,1,3.804377
0.75,1,3.80622
0.75,1,3.807805
0.75,1,3.809973
0.75,1,3.812196
0.75,1,3.814747
0.75,1,3.816602
0.75,1,3.81879
0.75,1,3.820814
0.75,1,3.82337
0.75,1,3.825955
0.75,1,3.828073
0.75,1,3.830132
0.75,1,3.832058
0.75,1,3.834366
0.75,1,3.836632
0.75,1,3.838804
0.75,1,3.840956
0.75,1,3.842832
0.75,1,3.845241
0.75,1,3.847309
0.75,1,3.849535
0.75,1,3.851865
0.75,1,3.854146
0.75,1,3.856281
0.75,1,3.858384
0.75,1,3.860256
0.75,1,3.862048
0.75,1,3.863935
