,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-1486.8520644,2021-01-12 00:43:25.795469,2021-01-12 01:28:34.695468,0 days 00:45:08.899999,64,100000,False,0.999,0.07027744539366326,small,0.6268838699517156,ornstein-uhlenbeck,0.01,16.0,COMPLETE
1,1,-1564.9344636,2021-01-12 01:28:34.716866,2021-01-12 02:08:03.330839,0 days 00:39:28.613973,64,10000,False,0.98,0.01084361739930275,medium,0.24236283671838724,ornstein-uhlenbeck,0.005,2000.0,COMPLETE
2,2,-1486.8520644,2021-01-12 02:08:03.350450,2021-01-12 02:47:17.164830,0 days 00:39:13.814380,128,100000,True,0.98,0.8800813545844574,medium,0.6124058896015748,normal,0.01,,COMPLETE
3,3,-115.84227839999998,2021-01-12 02:47:17.184369,2021-01-12 03:25:23.172482,0 days 00:38:05.988113,32,100000,False,0.98,5.9742054983520285e-05,small,0.8267488014062426,ornstein-uhlenbeck,0.01,128.0,COMPLETE
4,4,-105.05425799999998,2021-01-12 03:25:23.191673,2021-01-12 04:03:40.910285,0 days 00:38:17.718612,32,100000,False,0.9,0.0019239376559308577,small,0.6961080235898836,,0.005,128.0,COMPLETE
5,5,-1372.2904929999997,2021-01-12 04:03:40.942624,2021-01-12 04:41:43.128989,0 days 00:38:02.186365,16,10000,False,0.999,1.4819213488873247e-05,small,0.13862038600856796,ornstein-uhlenbeck,0.02,128.0,COMPLETE
6,6,-98.7579516,2021-01-12 04:41:43.159968,2021-01-12 05:21:00.794150,0 days 00:39:17.634182,64,100000,False,0.9999,0.002532031982391373,medium,0.548309870223251,,0.01,2000.0,COMPLETE
7,7,-124.88392180000001,2021-01-12 05:21:00.826228,2021-01-12 05:56:55.693819,0 days 00:35:54.867591,16,100000,False,0.9,8.362796218884144e-05,big,0.5805174259460615,normal,0.005,128.0,COMPLETE
8,8,-1607.6393628,2021-01-12 05:56:55.713944,2021-01-12 06:31:44.858882,0 days 00:34:49.144938,16,1000000,True,0.99,0.20848768370554124,big,0.8734376485249801,,0.005,,COMPLETE
9,9,-1486.8520644,2021-01-12 06:31:44.878969,2021-01-12 07:07:29.449902,0 days 00:35:44.570933,64,100000,True,0.999,0.1288946041380911,big,0.5922372361387659,normal,0.01,,COMPLETE
10,10,-96.0231732,2021-01-12 07:07:29.468891,2021-01-12 07:43:28.641128,0 days 00:35:59.172237,64,100000,False,0.9999,0.0023511539781499295,medium,0.5478270279948338,,0.01,256.0,COMPLETE
11,11,-1138.5761072,2021-01-12 07:43:28.660909,2021-01-12 08:19:20.702974,0 days 00:35:52.042065,128,1000000,False,0.9999,1e-05,medium,0.6176084649222023,normal,0.02,2000.0,COMPLETE
12,12,-1271.8976688,2021-01-12 08:19:20.722014,2021-01-12 08:55:18.409719,0 days 00:35:57.687705,64,100000,True,0.9999,1.4191926903496075e-05,big,0.06782791125372226,ornstein-uhlenbeck,0.005,,COMPLETE
13,13,-1441.3815399999999,2021-01-12 08:55:18.429210,2021-01-12 09:27:41.142213,0 days 00:32:22.713003,512,100000,False,0.9999,1e-05,big,0.0,,0.02,256.0,COMPLETE
14,14,-1215.5893205999998,2021-01-12 09:27:41.161137,2021-01-12 09:58:45.852056,0 days 00:31:04.690919,16,100000,False,0.98,0.43925655836686417,small,0.8002143969090825,ornstein-uhlenbeck,0.01,128.0,COMPLETE
15,15,-132.76785479999998,2021-01-12 09:58:45.883542,2021-01-12 10:29:48.539205,0 days 00:31:02.655663,16,1000000,True,0.9,0.002338571505902135,small,0.4502394209529958,,0.001,,COMPLETE
16,16,-107.35020360000001,2021-01-12 10:29:48.558601,2021-01-12 11:02:56.665914,0 days 00:33:08.107313,512,1000000,False,0.9999,0.00028037216947933555,small,0.9999999999999999,ornstein-uhlenbeck,0.02,1.0,COMPLETE
17,17,-111.7585204,2021-01-12 11:02:56.684699,2021-01-12 11:34:02.008178,0 days 00:31:05.323479,128,1000000,True,0.995,0.00010565147059042022,small,0.9999999999999999,ornstein-uhlenbeck,0.02,,COMPLETE
18,18,-112.0587444,2021-01-12 11:34:02.028019,2021-01-12 12:04:54.222747,0 days 00:30:52.194728,32,100000,False,0.98,7.155247753514948e-05,small,0.9999999999999999,ornstein-uhlenbeck,0.01,1000.0,COMPLETE
19,19,-95.6710102,2021-01-12 12:04:54.242183,2021-01-12 12:35:53.617402,0 days 00:30:59.375219,64,1000000,False,0.99,6.83924012569927e-05,small,0.9999999999999999,ornstein-uhlenbeck,0.02,16.0,COMPLETE
20,20,-100.33149399999999,2021-01-12 12:35:53.636272,2021-01-12 13:07:20.074266,0 days 00:31:26.437994,512,10000,True,0.9999,0.00047943338071557303,small,0.9919352453494122,ornstein-uhlenbeck,0.02,,COMPLETE
