#{"t_start": 1605916112.6244025, "env_id": "fishing-v1"}
r,l,t
0.75,1,2.669636
0.75,1,2.671979
0.75,1,2.674458
0.75,1,2.676751
0.75,1,2.678711
0.75,1,2.680499
0.75,1,2.68269
0.75,1,2.684872
0.75,1,2.687023
0.75,1,2.689115
0.75,1,2.691563
0.75,1,2.694002
0.75,1,2.696174
0.75,1,2.698385
0.75,1,2.700729
0.75,1,2.703397
0.75,1,2.705625
0.75,1,2.707897
0.75,1,2.710145
0.75,1,2.71292
0.75,1,2.715784
0.75,1,2.718299
0.75,1,2.720716
0.75,1,2.723034
0.75,1,2.725513
0.75,1,2.72831
0.75,1,2.731088
0.75,1,2.733416
0.75,1,2.735782
0.75,1,2.738279
0.75,1,2.740896
0.75,1,2.742824
0.75,1,2.745201
0.75,1,2.747353
0.75,1,2.749524
0.75,1,2.751637
0.75,1,2.753849
0.75,1,2.756245
0.75,1,2.758372
0.75,1,2.760712
0.75,1,2.76299
0.75,1,2.764879
0.75,1,2.766997
0.75,1,2.769825
0.75,1,2.772091
0.75,1,2.774184
0.75,1,2.776149
0.75,1,2.778285
0.75,1,2.780189
0.75,1,2.782313
0.75,1,2.784315
0.75,1,2.785881
0.75,1,2.787608
0.75,1,2.789778
0.75,1,2.791346
0.75,1,2.793384
0.75,1,2.795189
0.75,1,2.797001
0.75,1,2.799168
0.75,1,2.801371
0.75,1,2.80393
0.75,1,2.806489
0.75,1,2.808663
0.75,1,2.810478
0.75,1,2.812703
0.75,1,2.8146
0.75,1,2.816599
0.75,1,2.818502
0.75,1,2.82069
0.75,1,2.822358
0.75,1,2.824136
0.75,1,2.826139
0.75,1,2.828424
0.75,1,2.830937
0.75,1,2.833391
0.75,1,2.835989
0.75,1,2.838548
0.75,1,2.840513
0.75,1,2.842484
0.75,1,2.844196
0.75,1,2.845821
0.75,1,2.847547
0.75,1,2.849096
0.75,1,2.851045
0.75,1,2.852903
0.75,1,2.854832
0.75,1,2.85658
0.75,1,2.858323
0.75,1,2.860595
0.75,1,2.862356
0.75,1,2.864365
0.75,1,2.866513
0.75,1,2.868582
0.75,1,2.870299
0.75,1,2.872836
0.75,1,2.874816
0.75,1,2.876475
0.75,1,2.877813
0.75,1,2.879716
0.75,1,2.881783
0.75,1,2.88444
0.75,1,2.88628
0.75,1,2.887863
0.75,1,2.889282
0.75,1,2.89129
0.75,1,2.893835
0.75,1,2.897032
0.75,1,2.899469
0.75,1,2.901361
0.75,1,2.90366
0.75,1,2.905088
0.75,1,2.906675
0.75,1,2.908288
0.75,1,2.910415
0.75,1,2.912187
0.75,1,2.914122
0.75,1,2.91617
0.75,1,2.918067
0.75,1,2.920214
0.75,1,2.922294
0.75,1,2.924277
0.75,1,2.925974
0.75,1,2.928203
0.75,1,2.930303
0.75,1,2.932245
0.75,1,2.934299
0.75,1,2.936447
0.75,1,2.938756
0.75,1,2.940515
0.75,1,2.942595
0.75,1,2.944484
0.75,1,2.946223
0.75,1,2.948298
0.75,1,2.950517
0.75,1,2.953006
0.75,1,2.955038
0.75,1,2.956829
0.75,1,2.958784
0.75,1,2.960485
0.75,1,2.962662
0.75,1,2.964859
0.75,1,2.967024
0.75,1,2.969255
0.75,1,2.971611
0.75,1,2.973699
0.75,1,2.975872
0.75,1,2.978155
0.75,1,2.979979
0.75,1,2.982062
0.75,1,2.983841
0.75,1,2.985937
0.75,1,2.988134
0.75,1,2.990458
0.75,1,2.992446
0.75,1,2.994491
0.75,1,2.996875
0.75,1,2.998704
0.75,1,3.000407
0.75,1,3.002653
0.75,1,3.004702
0.75,1,3.006545
0.75,1,3.008379
0.75,1,3.010933
0.75,1,3.013252
0.75,1,3.015226
0.75,1,3.017005
0.75,1,3.018579
0.75,1,3.020303
0.75,1,3.022223
0.75,1,3.024607
0.75,1,3.026637
0.75,1,3.028237
0.75,1,3.030101
0.75,1,3.031871
0.75,1,3.034459
0.75,1,3.036469
0.75,1,3.038573
0.75,1,3.040384
0.75,1,3.042235
0.75,1,3.044476
0.75,1,3.046547
0.75,1,3.048407
0.75,1,3.050001
0.75,1,3.051943
0.75,1,3.054034
0.75,1,3.056203
0.75,1,3.058291
0.75,1,3.060265
0.75,1,3.062391
0.75,1,3.064708
0.75,1,3.06683
0.75,1,3.069562
0.75,1,3.071671
0.75,1,3.073952
0.75,1,3.075843
0.75,1,3.077635
0.75,1,3.080065
0.75,1,3.082163
0.75,1,3.084271
0.75,1,3.08618
0.75,1,3.088274
0.75,1,3.090777
0.75,1,3.092951
0.75,1,3.094644
0.75,1,3.096602
0.75,1,3.098502
0.75,1,3.100599
0.75,1,3.102481
0.75,1,3.104208
0.75,1,3.105983
0.75,1,3.107655
0.75,1,3.109393
0.75,1,3.112067
0.75,1,3.114112
0.75,1,3.1161
0.75,1,3.118001
0.75,1,3.120067
0.75,1,3.121827
0.75,1,3.123595
0.75,1,3.125855
0.75,1,3.127794
0.75,1,3.130016
0.75,1,3.131834
0.75,1,3.133869
0.75,1,3.136283
0.75,1,3.138381
0.75,1,3.140081
0.75,1,3.142102
0.75,1,3.144162
0.75,1,3.146233
0.75,1,3.1484
0.75,1,3.150674
0.75,1,3.152797
0.75,1,3.155006
0.75,1,3.157385
0.75,1,3.159366
0.75,1,3.16105
0.75,1,3.163127
