,time,state,action,reward,rep
0,0,0.75,0.0,0.0,0
1,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,0
2,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,0
3,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,0
4,0,0.75,0.0,0.0,1
5,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,1
6,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,1
7,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,1
8,0,0.75,0.0,0.0,2
9,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,2
10,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,2
11,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,2
12,0,0.75,0.0,0.0,3
13,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,3
14,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,3
15,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,3
16,0,0.75,0.0,0.0,4
17,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,4
18,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,4
19,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,4
20,0,0.75,0.0,0.0,5
21,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,5
22,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,5
23,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,5
24,0,0.75,0.0,0.0,6
25,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,6
26,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,6
27,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,6
28,0,0.75,0.0,0.0,7
29,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,7
30,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,7
31,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,7
32,0,0.75,0.0,0.0,8
33,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,8
34,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,8
35,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,8
36,0,0.75,0.0,0.0,9
37,1,0.5120067504514736,0.3118457794189453,0.3118457794189453,9
38,2,0.3582751421338908,0.21622061729431152,0.21622061729431152,9
39,3,0.00436940989695167,0.3549114465713501,0.3549114465713501,9
