,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,0.0,2021-06-01 22:37:28.504146,2021-06-01 23:14:01.926178,0 days 00:36:33.422032,100,10000,True,0.99,0.5858271368568415,medium,0.5591587920366521,normal,,COMPLETE
1,1,0.75,2021-06-01 23:14:01.946006,2021-06-01 23:46:30.413380,0 days 00:32:28.467374,256,10000,False,0.999,0.0036004733292339264,medium,0.9820788507238938,normal,1000.0,COMPLETE
2,2,0.75,2021-06-01 23:46:30.428536,2021-06-02 00:14:54.371253,0 days 00:28:23.942717,128,10000,False,0.98,0.04605089896815274,small,0.3238994673912453,normal,2000.0,COMPLETE
3,3,0.75,2021-06-02 00:14:54.385936,2021-06-02 00:47:51.597637,0 days 00:32:57.211701,2048,10000,True,0.999,0.374124146866871,big,0.35640095778888947,ornstein-uhlenbeck,,COMPLETE
4,4,7.309548000000001,2021-06-02 00:47:51.611452,2021-06-02 01:20:35.706612,0 days 00:32:44.095160,64,10000,False,0.999,0.00045154836446263425,small,0.9133044215253249,,256.0,COMPLETE
5,5,0.75,2021-06-02 01:20:35.722180,2021-06-02 01:56:29.258076,0 days 00:35:53.535896,128,1000000,False,0.9,0.04712774962537272,medium,0.44477209755892366,,2000.0,COMPLETE
6,6,0.75,2021-06-02 01:56:29.286723,2021-06-02 02:31:52.814373,0 days 00:35:23.527650,128,10000,False,0.999,0.05120186166948804,small,0.26414205373679867,ornstein-uhlenbeck,128.0,COMPLETE
7,7,0.75,2021-06-02 02:31:52.829367,2021-06-02 03:10:41.359868,0 days 00:38:48.530501,128,10000,True,0.9,0.6360892387953726,big,0.3896115535385094,normal,,COMPLETE
8,8,0.75,2021-06-02 03:10:41.374049,2021-06-02 03:46:01.034230,0 days 00:35:19.660181,128,100000,True,0.9,0.8899961901246581,big,0.6743251926874362,normal,,COMPLETE
9,9,0.75,2021-06-02 03:46:01.061461,2021-06-02 04:21:55.059117,0 days 00:35:53.997656,512,1000000,False,0.98,0.001155521407281886,medium,0.7610939312752656,normal,1.0,COMPLETE
10,10,6.944681,2021-06-02 04:21:55.073083,2021-06-02 04:54:29.179444,0 days 00:32:34.106361,64,100000,False,0.95,1.1128553628952655e-05,small,0.013040004337321054,,256.0,COMPLETE
11,11,7.457837,2021-06-02 04:54:29.205088,2021-06-02 05:27:17.499242,0 days 00:32:48.294154,64,100000,False,0.95,2.065125286299734e-05,small,0.03986705716444847,,256.0,COMPLETE
12,12,0.75,2021-06-02 05:27:17.514107,2021-06-02 05:59:56.156408,0 days 00:32:38.642301,64,100000,False,0.995,1.3495980199897093e-05,small,0.02635084015812423,,256.0,COMPLETE
13,13,7.1436329999999995,2021-06-02 05:59:56.195201,2021-06-02 06:30:25.295641,0 days 00:30:29.100440,64,100000,False,0.95,0.00010284329258984538,small,0.9584165477209745,,16.0,COMPLETE
14,14,6.705115000000001,2021-06-02 06:30:25.310969,2021-06-02 07:00:20.832401,0 days 00:29:55.521432,16,100000,False,0.9999,0.00014197907007186642,small,0.1733566077797507,,256.0,COMPLETE
15,15,0.75,2021-06-02 07:00:20.847378,2021-06-02 07:30:48.767073,0 days 00:30:27.919695,32,1000000,False,0.95,9.491004974018738e-05,small,0.8396103337677294,,256.0,COMPLETE
16,16,7.275889000000001,2021-06-02 07:30:48.796388,2021-06-02 08:02:04.850306,0 days 00:31:16.053918,1024,100000,False,0.999,0.0008132684923993832,small,0.5926703959877608,,256.0,COMPLETE
17,17,6.832967999999999,2021-06-02 08:02:04.865419,2021-06-02 08:33:46.870728,0 days 00:31:42.005309,64,10000,False,0.9999,3.410919324579116e-05,small,0.10679126654636484,,128.0,COMPLETE
18,18,0.75,2021-06-02 08:33:46.885509,2021-06-02 09:06:15.665956,0 days 00:32:28.780447,64,100000,False,0.95,0.0005068603803596647,small,0.8711499915436873,ornstein-uhlenbeck,1.0,COMPLETE
19,19,0.75,2021-06-02 09:06:15.680409,2021-06-02 09:38:24.021660,0 days 00:32:08.341251,2048,10000,False,0.99,0.00606180639694284,small,0.7029854261469028,,16.0,COMPLETE
20,20,7.556533,2021-06-02 09:38:24.035609,2021-06-02 10:10:24.505084,0 days 00:32:00.469475,64,1000000,False,0.995,0.00030773024666370816,big,0.2242089681930013,,256.0,COMPLETE
21,21,7.741578,2021-06-02 10:10:24.520438,2021-06-02 10:42:15.945030,0 days 00:31:51.424592,64,1000000,False,0.995,0.0002860615762660507,big,0.1814745458489158,,256.0,COMPLETE
22,22,7.302427,2021-06-02 10:42:15.959454,2021-06-02 11:13:55.896455,0 days 00:31:39.937001,64,1000000,False,0.995,2.8174023858201156e-05,big,0.20486454718011912,,256.0,COMPLETE
23,23,7.753527,2021-06-02 11:13:55.912339,2021-06-02 11:45:38.475326,0 days 00:31:42.562987,1024,1000000,False,0.995,0.00021157914225171135,big,0.07078227087080838,,256.0,COMPLETE
24,24,7.629849,2021-06-02 11:45:38.490102,2021-06-02 12:17:15.448396,0 days 00:31:36.958294,1024,1000000,False,0.995,0.00021932357421289072,big,0.13206322438907875,,1000.0,COMPLETE
25,25,0.75,2021-06-02 12:17:15.463443,2021-06-02 12:49:04.307402,0 days 00:31:48.843959,1024,1000000,False,0.995,0.0025858051760360664,big,0.1337178479480479,,1000.0,COMPLETE
26,26,7.566189,2021-06-02 12:49:04.336206,2021-06-02 13:20:38.425830,0 days 00:31:34.089624,1024,1000000,False,0.995,0.00016606253357102425,big,0.09337123723422375,,1000.0,COMPLETE
27,27,7.7581299999999995,2021-06-02 13:20:38.441085,2021-06-02 13:52:30.494636,0 days 00:31:52.053551,1024,1000000,True,0.995,5.734856973498736e-05,big,0.2563782533318185,ornstein-uhlenbeck,,COMPLETE
28,28,0.75,2021-06-02 13:52:30.520166,2021-06-02 14:02:14.918069,0 days 00:09:44.397903,1024,1000000,True,0.995,5.430344672773677e-05,big,0.27793074355101555,ornstein-uhlenbeck,,PRUNED
29,29,7.443716,2021-06-02 14:02:14.924572,2021-06-02 14:34:05.956544,0 days 00:31:51.031972,100,1000000,True,0.995,0.0016429197577317444,big,0.5057489216613925,ornstein-uhlenbeck,,COMPLETE
30,30,0.75,2021-06-02 14:34:05.971351,2021-06-02 14:43:40.703940,0 days 00:09:34.732589,256,1000000,True,0.99,5.655694491000336e-05,big,0.29985523663108904,ornstein-uhlenbeck,,PRUNED
31,31,0.75,2021-06-02 14:43:40.710257,2021-06-02 14:53:25.691159,0 days 00:09:44.980902,1024,1000000,True,0.995,0.00026476820082926725,big,0.07213524733487008,ornstein-uhlenbeck,,PRUNED
32,32,0.75,2021-06-02 14:53:25.698215,2021-06-02 15:03:13.980581,0 days 00:09:48.282366,1024,1000000,True,0.995,0.007371048862624978,big,0.1271216375125396,ornstein-uhlenbeck,,PRUNED
