,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,system_attrs_fail_reason,state
16,16,0.75,2020-12-23 07:12:27.882226,2020-12-23 07:59:27.158289,0 days 00:46:59.276063,100,100000,False,0.98,0.010269063767706256,medium,0.909097344409368,,128.0,,COMPLETE
17,17,0.75,2020-12-23 07:59:27.177529,2020-12-23 08:59:38.801244,0 days 01:00:11.623715,100,100000,True,0.995,0.031282301702439376,medium,0.16555803855160545,normal,,,COMPLETE
18,18,2.3e-05,2020-12-23 08:59:38.822380,2020-12-23 09:45:52.013614,0 days 00:46:13.191234,512,1000000,True,0.999,1.9677614853023396e-05,small,0.5993121975835471,normal,,,COMPLETE
19,19,0.75,2020-12-23 09:45:52.032283,2020-12-23 10:40:47.679732,0 days 00:54:55.647449,256,100000,True,0.9999,1.966618787937531e-05,small,0.03213582484450428,ornstein-uhlenbeck,,,COMPLETE
20,20,7.751633,2020-12-23 10:40:47.698341,2020-12-23 11:22:52.936251,0 days 00:42:05.237910,128,1000000,False,0.99,0.0038381135806549145,medium,0.06291168022397242,,1000.0,,COMPLETE
21,21,0.0,2020-12-23 11:22:52.956287,2020-12-23 11:35:31.567709,0 days 00:12:38.611422,128,100000,True,0.99,0.31559021275412125,medium,0.37552162216887164,ornstein-uhlenbeck,,,PRUNED
22,22,0.0,2020-12-23 11:35:31.575183,2020-12-23 11:47:34.081109,0 days 00:12:02.505926,64,1000000,False,0.98,0.678020565186975,small,0.17485661527672702,normal,1000.0,,PRUNED
23,23,0.75,2020-12-23 11:47:34.090035,2020-12-23 12:42:38.303655,0 days 00:55:04.213620,256,10000,True,0.995,0.0007330945000467534,big,0.7408716373062553,,,,COMPLETE
24,24,0.0,2020-12-23 12:42:38.321874,2020-12-23 12:54:41.527573,0 days 00:12:03.205699,64,10000,False,0.9999,0.05746950124348711,small,0.8222001351572655,normal,1000.0,,PRUNED
25,25,0.0,2020-12-23 12:54:41.534585,2020-12-23 13:06:58.068204,0 days 00:12:16.533619,16,10000,True,0.9,0.123613126221075,big,0.030282523404115302,normal,,,PRUNED
26,26,7.177462,2020-12-23 13:06:58.077339,2020-12-23 13:49:12.839459,0 days 00:42:14.762120,128,10000,False,0.98,0.0016878788798759272,big,0.7195347155566492,normal,2000.0,,COMPLETE
27,27,0.75,2020-12-23 13:49:12.871480,2020-12-23 14:29:55.622268,0 days 00:40:42.750788,32,1000000,False,0.9999,0.23951551389201176,small,0.998028163260154,normal,256.0,,COMPLETE
