,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,0.0,2020-11-20 17:46:25.549161,2020-11-20 19:31:53.966168,0 days 01:45:28.417007,128,100000,False,0.95,0.019778409303094765,medium,0.6637324147312134,ornstein-uhlenbeck,1000.0,COMPLETE
1,1,0.75,2020-11-20 17:46:25.560772,2020-11-20 19:29:26.490222,0 days 01:43:00.929450,128,100000,False,0.98,0.021312310920359165,big,0.5224317954648259,,1000.0,COMPLETE
2,2,8.015005111694336,2020-11-20 17:46:25.580319,2020-11-20 19:27:53.553376,0 days 01:41:27.973057,256,1000000,True,0.95,0.001737794384065678,medium,0.260511264163344,,,COMPLETE
3,3,7.35125732421875,2020-11-20 17:46:25.583854,2020-11-20 19:28:32.387883,0 days 01:42:06.804029,100,1000000,True,0.95,0.0001563063721498066,medium,0.9212650393399022,,,COMPLETE
4,4,0.75,2020-11-20 19:27:53.597224,2020-11-20 21:43:03.635880,0 days 02:15:10.038656,64,100000,True,0.999,6.723712021717861e-05,small,0.9952038317753847,normal,,COMPLETE
5,5,7.7622528076171875,2020-11-20 19:28:32.435075,2020-11-20 21:26:12.194033,0 days 01:57:39.758958,16,1000000,True,0.95,1.2030807297644494e-05,small,0.8204121810604509,ornstein-uhlenbeck,,COMPLETE
6,6,0.75,2020-11-20 19:29:26.520350,2020-11-20 21:53:05.913009,0 days 02:23:39.392659,16,10000,True,0.99,0.0018704023534181573,big,0.6972893840190348,ornstein-uhlenbeck,,COMPLETE
7,7,7.4185638427734375,2020-11-20 19:31:54.015602,2020-11-20 21:34:09.373723,0 days 02:02:15.358121,32,10000,True,0.9999,0.0007377716743275754,medium,0.7323156197405083,ornstein-uhlenbeck,,COMPLETE
8,8,7.44516658782959,2020-11-20 21:26:12.230370,2020-11-20 23:30:47.982217,0 days 02:04:35.751847,512,100000,False,0.98,0.0023396128658838976,big,0.06934836435205316,,2000.0,COMPLETE
9,9,,2020-11-20 21:34:09.410651,,,16,100000,True,0.9999,0.28127530140846996,medium,0.9054634524097632,,,RUNNING
10,10,,2020-11-20 21:43:03.676518,,,512,1000000,True,0.995,0.08555041553199917,small,0.4622206118624954,ornstein-uhlenbeck,,RUNNING
11,11,,2020-11-20 21:53:05.947055,,,32,10000,True,0.9,0.3415718800841596,medium,0.05678660007310932,normal,,RUNNING
12,12,,2020-11-20 23:30:48.032337,,,32,10000,False,0.9999,0.0033820518711566386,big,0.3422875541708099,,2000.0,RUNNING
