,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,0.0,2020-12-22 19:24:43.040943,2020-12-22 21:00:39.008164,0 days 01:35:55.967221,tanh,2.2628944386526634e-06,0.99,0.95,-0.6870523612691457,0.18187571654049378,linear,0.5,16,small,False,True,False,0.9262957049664667,COMPLETE
1,1,0.0,2020-12-22 19:24:43.092450,2020-12-22 20:48:43.032196,0 days 01:23:59.939746,tanh,0.00013499436374964663,0.99,0.95,-3.1681238605527495,0.32248472530124145,linear,0.8,32,medium,False,False,True,0.5651752499665774,COMPLETE
2,2,0.75,2020-12-22 19:24:43.101539,2020-12-22 20:36:19.333847,0 days 01:11:36.232308,tanh,0.00021325261394920204,0.98,0.99,-2.1376267073596633,0.0004100629158939051,constant,0.6,64,small,False,False,False,0.526497051259449,COMPLETE
3,3,0.75,2020-12-22 19:24:43.138399,2020-12-22 20:31:27.673552,0 days 01:06:44.535153,relu,9.04654091543466e-05,0.9,0.995,-1.3646768323387275,0.003157346769664835,constant,5.0,256,small,False,True,True,0.6049699925613821,COMPLETE
4,4,5.217355,2020-12-22 20:31:27.724977,2020-12-22 21:38:57.893586,0 days 01:07:30.168609,relu,4.619740078632123e-06,0.92,0.995,0.9514910382967141,0.00030258435267393574,constant,5.0,1024,medium,False,True,False,0.6557993084033911,COMPLETE
5,5,3.707809,2020-12-22 20:36:19.382550,2020-12-22 22:23:03.126864,0 days 01:46:43.744314,relu,3.7816688553552367e-06,0.98,0.9999,-0.5524110468685643,2.874927780599567e-05,linear,0.7,8,small,True,False,True,0.6045600034102642,COMPLETE
6,6,0.75,2020-12-22 20:48:43.071615,2020-12-22 21:56:47.460728,0 days 01:08:04.389113,relu,2.064270942225923e-08,0.98,0.9,0.8905631018933597,8.204298994141467e-05,linear,2.0,1024,small,True,False,False,0.17653393920686233,COMPLETE
7,7,0.75,2020-12-22 21:00:39.050678,2020-12-22 22:14:21.453840,0 days 01:13:42.403162,tanh,0.012802660960838711,0.99,0.95,-0.6393879756321423,0.00045341154477806486,linear,2.0,128,medium,True,False,True,0.41553314029154254,COMPLETE
8,8,0.75,2020-12-22 21:38:57.937779,2020-12-22 22:46:29.332186,0 days 01:07:31.394407,tanh,8.648835228159158e-06,1.0,0.99,-1.45540306364322,0.0007955997353257074,constant,0.7,1024,small,False,True,True,0.36862994994474174,COMPLETE
9,9,0.75,2020-12-22 21:56:47.506415,2020-12-22 23:29:12.063520,0 days 01:32:24.557105,tanh,8.14848415691898e-05,0.99,0.95,0.2603747839721322,0.00014599246286031212,constant,1.0,16,small,False,False,True,0.21805081367851542,COMPLETE
10,10,0.0,2020-12-22 22:14:21.510659,2020-12-22 23:18:55.797927,0 days 01:04:34.287268,tanh,1.3278113987392527e-07,0.99,0.98,-1.6513307241634387,0.17884616552020619,linear,0.5,256,small,False,True,False,0.6770404989108665,COMPLETE
11,11,0.75,2020-12-22 22:23:03.167428,2020-12-23 00:30:33.021502,0 days 02:07:29.854074,relu,1.230804047321447e-07,1.0,0.9,-2.5611991913177037,0.8499738176740024,linear,2.0,8,medium,True,True,True,0.6133683666967719,COMPLETE
12,12,0.75,2020-12-22 22:46:29.378908,2020-12-22 23:53:11.698673,0 days 01:06:42.319765,relu,0.02900844756395734,0.92,0.9,-0.10350923434857906,0.857141604668417,linear,0.3,64,small,False,False,False,0.8758111318125175,COMPLETE
13,13,0.75,2020-12-22 23:18:55.856223,2020-12-23 01:12:20.631303,0 days 01:53:24.775080,tanh,0.00013502390456521316,0.99,0.9999,-1.9656248866089445,0.0156252654192124,constant,2.0,16,medium,True,True,False,0.9990254326406115,COMPLETE
14,14,2.683802,2020-12-22 23:29:12.100923,2020-12-23 00:44:08.989771,0 days 01:14:56.888848,tanh,1.3780350494170673e-07,0.9,0.999,-0.22123980521066766,0.0001374670380833171,linear,0.8,128,medium,True,True,True,0.7920665486313091,COMPLETE
15,15,0.75,2020-12-22 23:53:11.740741,2020-12-23 01:00:05.759815,0 days 01:06:54.019074,relu,1.0011976413426788e-05,0.98,0.98,-2.317106954473376,0.0019693003442651153,constant,5.0,256,small,False,True,False,0.9291060806109199,COMPLETE
16,16,0.75,2020-12-23 00:30:33.065956,2020-12-23 02:43:49.703525,0 days 02:13:16.637569,relu,0.00012328654391721353,0.9,0.98,-2.782397511033804,0.05514006775883198,linear,5.0,8,medium,True,False,False,0.5583646905681956,COMPLETE
17,17,0.75,2020-12-23 00:44:09.041131,2020-12-23 01:48:48.693148,0 days 01:04:39.652017,relu,2.1466437443442544e-07,0.8,0.9,-1.4149273322865659,1.2105649506724461e-05,linear,0.7,2048,medium,False,False,True,0.9059659749912203,COMPLETE
18,18,0.75,2020-12-23 01:00:05.806123,2020-12-23 02:08:42.506376,0 days 01:08:36.700253,relu,3.464589269072476e-07,0.99,0.999,-1.223062866596,0.00013626935429363708,linear,2.0,512,medium,True,True,False,0.20093682766533483,COMPLETE
19,19,0.0,2020-12-23 01:12:20.679837,2020-12-23 01:32:25.772002,0 days 00:20:05.092165,tanh,3.1984131053739495e-06,0.8,0.95,-3.0528158596811337,0.12009232768903355,linear,0.3,1024,medium,True,False,True,0.43953018887714435,PRUNED
20,20,0.75,2020-12-23 01:32:25.788054,2020-12-23 02:37:50.346645,0 days 01:05:24.558591,tanh,5.979295894755391e-07,0.8,0.95,-3.5358353780838008,3.6839041146542666e-05,linear,0.7,2048,small,False,False,False,0.6685405868682811,COMPLETE
21,21,0.0,2020-12-23 01:48:48.737265,2020-12-23 03:10:29.382425,0 days 01:21:40.645160,tanh,4.887898428865323e-05,0.9,0.98,0.5602425268127043,0.05485868708341335,linear,0.6,32,small,False,False,True,0.5533148005376419,COMPLETE
22,22,0.75,2020-12-23 02:08:42.559025,2020-12-23 03:16:52.949836,0 days 01:08:10.390811,relu,0.004802649532212484,1.0,0.98,0.3483792520275433,0.34531073300540827,linear,0.9,512,small,False,True,True,0.6909127060106545,COMPLETE
23,23,0.75,2020-12-23 02:37:50.385296,2020-12-23 03:53:01.916938,0 days 01:15:11.531642,tanh,1.7395979868114277e-07,0.95,0.999,-3.7943337389791902,0.0010334097910247918,constant,0.3,128,medium,True,True,False,0.0633476275795789,COMPLETE
